row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số cuối năm > Giá trị hợp lý,Số đầu năm > Giá gốc,Số đầu năm > Dự phòng,Số đầu năm > Giá trị hợp lý,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Dự phòng,numeric__Số đầu năm > Giá trị hợp lý
Công ty TNHH Nguyên liệu giấy Quy Nhơn,Đầu tư vào công ty liên kết > Công ty TNHH Nguyên liệu giấy Quy Nhơn,Công ty TNHH Nguyên liệu giấy Quy Nhơn,5.787.821.081,-,5.787.821.081,5.787.821.081,-,5.787.821.081,5787821081.0,,5787821081.0,5787821081.0,,5787821081.0
Công ty Cổ phần Lâm nghiệp Miền Đông (**),Đầu tư vào công ty liên kết > Công ty Cổ phần Lâm nghiệp Miền Đông (**),Công ty Cổ phần Lâm nghiệp Miền Đông (**),-,-,-,4.891.656.170,-,4.891.656.170,,,,4891656170.0,,4891656170.0
Công ty TNHH Việt Nhật chế biến gỗ và đảm gỗ Dung Quát,Đầu tư vào công ty liên kết > Công ty TNHH Việt Nhật chế biến gỗ và đảm gỗ Dung Quát,Công ty TNHH Việt Nhật chế biến gỗ và đảm gỗ Dung Quát,4.625.605.602,(4.625.605.602),-,4.625.605.602,(4.625.605.602),-,4625605602.0,-4625605602.0,,4625605602.0,-4625605602.0,
Công ty Cổ phần Formach,Đầu tư vào công ty liên kết > Công ty Cổ phần Formach,Công ty Cổ phần Formach,4.155.164.541,(3.644.476.961),510.687.580,4.155.164.541,(3.644.476.961),510.687.580,4155164541.0,-3644476961.0,510687580.0,4155164541.0,-3644476961.0,510687580.0
Công ty Cổ phần Xuất nhập khẩu Lâm nông sản Sài Gòn,Đầu tư vào công ty liên kết > Công ty Cổ phần Xuất nhập khẩu Lâm nông sản Sài Gòn,Công ty Cổ phần Xuất nhập khẩu Lâm nông sản Sài Gòn,3.063.845.562,-,3.063.845.562,3.063.845.562,-,3.063.845.562,3063845562.0,,3063845562.0,3063845562.0,,3063845562.0
Công ty Cổ phần Gỗ lạng Buôn Ma Thuột,Đầu tư vào công ty liên kết > Công ty Cổ phần Gỗ lạng Buôn Ma Thuột,Công ty Cổ phần Gỗ lạng Buôn Ma Thuột,2.570.995.921,-,2.570.995.921,2.570.995.921,-,2.570.995.921,2570995921.0,,2570995921.0,2570995921.0,,2570995921.0
Công ty Cổ phần 19/5 Doan Hùng,Đầu tư vào công ty liên kết > Công ty Cổ phần 19/5 Doan Hùng,Công ty Cổ phần 19/5 Doan Hùng,2.139.792.559,-,2.139.792.559,2.139.792.559,-,2.139.792.559,2139792559.0,,2139792559.0,2139792559.0,,2139792559.0
Công ty Cổ phần Kon Hà rừng,Đầu tư vào công ty liên kết > Công ty Cổ phần Kon Hà rừng,Công ty Cổ phần Kon Hà rừng,1.945.917.957,-,1.945.917.957,1.945.917.957,-,1.945.917.957,1945917957.0,,1945917957.0,1945917957.0,,1945917957.0
Công ty Cổ phần Sản xuất và Xuất nhập khẩu Lâm sản Naforimex Hà Nội,Đầu tư vào công ty liên kết > Công ty Cổ phần Sản xuất và Xuất nhập khẩu Lâm sản Naforimex Hà Nội,Công ty Cổ phần Sản xuất và Xuất nhập khẩu Lâm sản Naforimex Hà Nội,1.436.982.760,-,1.436.982.760,1.436.982.760,-,1.436.982.760,1436982760.0,,1436982760.0,1436982760.0,,1436982760.0
Công ty Cổ phần Lâm đặc sản Mây tre xuất khẩu,Đầu tư vào công ty liên kết > Công ty Cổ phần Lâm đặc sản Mây tre xuất khẩu,Công ty Cổ phần Lâm đặc sản Mây tre xuất khẩu,1.115.926.139,-,1.115.926.139,1.115.926.139,-,1.115.926.139,1115926139.0,,1115926139.0,1115926139.0,,1115926139.0
Công ty Cổ phần Xây lắp Đầu tư Phát triển Nông lâm nghiệp Việt Nam,Đầu tư vào công ty liên kết > Công ty Cổ phần Xây lắp Đầu tư Phát triển Nông lâm nghiệp Việt Nam,Công ty Cổ phần Xây lắp Đầu tư Phát triển Nông lâm nghiệp Việt Nam,442.110.305,-,442.110.305,442.110.305,-,442.110.305,442110305.0,,442110305.0,442110305.0,,442110305.0
