row_label_raw,row_label_full,THUYẾT MINH BÁO CÁO TÀI CHÍNH (TIẾP THEO),THUYẾT MINH BÁO CÁO TÀI CHÍNH (TIẾP THEO)_1,THUYẾT MINH BÁO CÁO TÀI CHÍNH (TIẾP THEO)_2,THUYẾT MINH BÁO CÁO TÀI CHÍNH (TIẾP THEO)_3,THUYẾT MINH BÁO CÁO TÀI CHÍNH (TIẾP THEO)_4,THUYẾT MINH BÁO CÁO TÀI CHÍNH (TIẾP THEO)_5,THUYẾT MINH BÁO CÁO TÀI CHÍNH (TIẾP THEO)_6,numeric__THUYẾT MINH BÁO CÁO TÀI CHÍNH (TIẾP THEO)_1,numeric__THUYẾT MINH BÁO CÁO TÀI CHÍNH (TIẾP THEO)_2,numeric__THUYẾT MINH BÁO CÁO TÀI CHÍNH (TIẾP THEO)_3,numeric__THUYẾT MINH BÁO CÁO TÀI CHÍNH (TIẾP THEO)_4,numeric__THUYẾT MINH BÁO CÁO TÀI CHÍNH (TIẾP THEO)_5,numeric__THUYẾT MINH BÁO CÁO TÀI CHÍNH (TIẾP THEO)_6
Đầu tư vào công ty con,Đầu tư góp vốn vào đơn vị khác > Đầu tư vào công ty con,Đầu tư vào công ty con,1.551.361.316.160,(*),-,1.861.194.335.343,(*),-,1551361316160.0,,,1861194335343.0,,
Công ty TNHH MTV Tasco 6,Đầu tư góp vốn vào đơn vị khác > Công ty TNHH MTV Tasco 6,Công ty TNHH MTV Tasco 6,65.180.000.000,,-,65.180.000.000,,-,65180000000.0,,,65180000000.0,,
Công ty CP Tasco Nam Thái,Đầu tư góp vốn vào đơn vị khác > Công ty CP Tasco Nam Thái,Công ty CP Tasco Nam Thái,299.900.000.000,,-,299.900.000.000,,-,299900000000.0,,,299900000000.0,,
Công ty TNHH MTV Tasco,Đầu tư góp vốn vào đơn vị khác > Công ty TNHH MTV Tasco,Công ty TNHH MTV Tasco,328.130.000.000,,-,328.130.000.000,,-,328130000000.0,,,328130000000.0,,
Quảng Bình,Quảng Bình,Quảng Bình,,,,,,,,,,,,
Công ty TNHH MTV,Quảng Bình > Công ty TNHH MTV,Công ty TNHH MTV,1.000.000.000,,-,343.278.019.183,,-,1000000000.0,,,343278019183.0,,
Tasco Nam Định,Tasco Nam Định,Tasco Nam Định,,,,,,,,,,,,
Công ty CP Tasco Thành Công,Tasco Nam Định > Công ty CP Tasco Thành Công,Công ty CP Tasco Thành Công,6.120.000.000,,-,6.120.000.000,,-,6120000000.0,,,6120000000.0,,
Công ty CP VETC,Tasco Nam Định > Công ty CP VETC,Công ty CP VETC,247.300.000.000,,-,247.300.000.000,,-,247300000000.0,,,247300000000.0,,
Công ty TNHH MTV,Tasco Nam Định > Công ty TNHH MTV,Công ty TNHH MTV,384.000.000.000,,-,384.000.000.000,,-,384000000000.0,,,384000000000.0,,
Tasco Hải Phòng,Tasco Hải Phòng,Tasco Hải Phòng,,,,,,,,,,,,
Công ty TNHH Đào tạo,Tasco Hải Phòng > Công ty TNHH Đào tạo,Công ty TNHH Đào tạo,370.000.000,,-,368.000.000,,-,370000000.0,,,368000000.0,,
và Tư vấn Tasedu,và Tư vấn Tasedu,và Tư vấn Tasedu,,,,,,,,,,,,
Công ty TNHH T'Hospital,và Tư vấn Tasedu > Công ty TNHH T'Hospital,Công ty TNHH T'Hospital,158.600.000.000,,-,158.600.000.000,,-,158600000000.0,,,158600000000.0,,
Công ty TNHH An Nhiên Foods,và Tư vấn Tasedu > Công ty TNHH An Nhiên Foods,Công ty TNHH An Nhiên Foods,8.000.000.000,,-,8.000.000.000,,-,8000000000.0,,,8000000000.0,,
Công ty TNHH MTV,và Tư vấn Tasedu > Công ty TNHH MTV,Công ty TNHH MTV,2.418.316.160,,-,2.418.316.160,,-,2418316160.0,,,2418316160.0,,
Dịch vụ Tasco,Dịch vụ Tasco,Dịch vụ Tasco,,,,,,,,,,,,
Công ty CP Bệnh viện mắt,Dịch vụ Tasco > Công ty CP Bệnh viện mắt,Công ty CP Bệnh viện mắt,17.850.000.000,,-,17.850.000.000,,-,17850000000.0,,,17850000000.0,,
Hà Nội cơ sở 2,Hà Nội cơ sở 2,Hà Nội cơ sở 2,,,,,,,,,,,,
Công ty TNHH thu phí tự động,Hà Nội cơ sở 2 > Công ty TNHH thu phí tự động,Công ty TNHH thu phí tự động,32.493.000.000,,-,50.000.000,,-,32493000000.0,,,50000000.0,,
VETC,VETC,VETC,,,,,,,,,,,,
