row_label_raw,row_label_full,CHÌ TIÊU,Mã số,Năm nay,Năm trước,numeric__Mã số,numeric__Năm nay,numeric__Năm trước
"2. Tiền thu thanh lý, nhượng bán TSCĐ và cáctài sản dài hạn khác","II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỒNG ĐẦU TỰ > 2. Tiền thu thanh lý, nhượng bán TSCĐ và cáctài sản dài hạn khác","2. Tiền thu thanh lý, nhượng bán TSCĐ và cáctài sản dài hạn khác",22,-,72.727.273,22.0,,72727273.0
"3. Tiền chi cho vay, mua công cụ nợ của đơn vị khác","II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỒNG ĐẦU TỰ > 3. Tiền chi cho vay, mua công cụ nợ của đơn vị khác","3. Tiền chi cho vay, mua công cụ nợ của đơn vị khác",23,(211.500.000.000),(713.500.000.000),23.0,-211500000000.0,-713500000000.0
"4. Tiền thu hồi cho vay, bán lại công cụ nợ củadơn vị khác","II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỒNG ĐẦU TỰ > 4. Tiền thu hồi cho vay, bán lại công cụ nợ củadơn vị khác","4. Tiền thu hồi cho vay, bán lại công cụ nợ củadơn vị khác",24,47.000.000.000,713.500.000.000,24.0,47000000000.0,713500000000.0
5. Tiền chi đầu tư góp vốn vào các đơn vị khác,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỒNG ĐẦU TỰ > 5. Tiền chi đầu tư góp vốn vào các đơn vị khác,5. Tiền chi đầu tư góp vốn vào các đơn vị khác,25,(10.520.000.000),-,25.0,-10520000000.0,
"6. Thu lãi tiền cho vay, cổ tức và lợi nhuận được chia","II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỒNG ĐẦU TỰ > 6. Thu lãi tiền cho vay, cổ tức và lợi nhuận được chia","6. Thu lãi tiền cho vay, cổ tức và lợi nhuận được chia",27,3.795.578.213,2.514.909.407,27.0,3795578213.0,2514909407.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỒNG ĐẦU TỰ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,(228.411.183.532),(51.073.549.350),30.0,-228411183532.0,-51073549350.0
III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỒNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỒNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỒNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỒNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỒNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỒNG TÀI CHÍNH,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn gópcủa chủ sở hữu","III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỒNG TÀI CHÍNH > 1. Tiền thu từ phát hành cổ phiếu, nhận vốn gópcủa chủ sở hữu","1. Tiền thu từ phát hành cổ phiếu, nhận vốn gópcủa chủ sở hữu",31,-,625.000.000.000,31.0,,625000000000.0
"2. Tiền trả lại vốn góp cho các chủ sở hữu, mua lại cổphiếu của doanh nghiệp đã phát hành","III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỒNG TÀI CHÍNH > 2. Tiền trả lại vốn góp cho các chủ sở hữu, mua lại cổphiếu của doanh nghiệp đã phát hành","2. Tiền trả lại vốn góp cho các chủ sở hữu, mua lại cổphiếu của doanh nghiệp đã phát hành",32,(1.080.000),-,32.0,-1080000.0,
3. Tiền thu từ đi vay,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỒNG TÀI CHÍNH > 3. Tiền thu từ đi vay,3. Tiền thu từ đi vay,33,272.927.415.533,170.000.000.000,33.0,272927415533.0,170000000000.0
4. Tiền trả nợ gốc vay,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỒNG TÀI CHÍNH > 4. Tiền trả nợ gốc vay,4. Tiền trả nợ gốc vay,34,(360.200.000.000),(100.000.000.000),34.0,-360200000000.0,-100000000000.0
Lưu chuyển tiền thuần từ hoạt động tài chính,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỒNG TÀI CHÍNH > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,(87.273.664.467),695.000.000.000,40.0,-87273664467.0,695000000000.0
Lưu chuyển tiền thuần trong năm (50=20+30+40),III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỒNG TÀI CHÍNH > Lưu chuyển tiền thuần trong năm (50=20+30+40),Lưu chuyển tiền thuần trong năm (50=20+30+40),50,(148.969.484.190),251.272.324.835,50.0,-148969484190.0,251272324835.0
Tiền đầu năm,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỒNG TÀI CHÍNH > Tiền đầu năm,Tiền đầu năm,60,274.788.860.733,23.516.535.898,60.0,274788860733.0,23516535898.0
Tiền và tương đương tiền cuối năm (70=50+60),III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỒNG TÀI CHÍNH > Tiền và tương đương tiền cuối năm (70=50+60),Tiền và tương đương tiền cuối năm (70=50+60),70,125.819.376.543,274.788.860.733,70.0,125819376543.0,274788860733.0
