row_label_raw,row_label_full,Bên liên quan khác,Môi quan hệ,numeric__Môi quan hệ
Công ty TNHH Becamex Tokyu,Công ty TNHH Becamex Tokyu,Công ty TNHH Becamex Tokyu,Công ty liên kết của Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,
Công ty Cổ phần Phát triển Giáo dục Miền Đông,Công ty Cổ phần Phát triển Giáo dục Miền Đông,Công ty Cổ phần Phát triển Giáo dục Miền Đông,Công ty liên kết của Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,
Công ty Cổ phần Phát triển Công nghiệp BW,Công ty Cổ phần Phát triển Công nghiệp BW,Công ty Cổ phần Phát triển Công nghiệp BW,Công ty liên kết của Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,
Công ty Cổ phần Phát triển Hạ tầng Kỹ thuật Becamex Bình Phước,Công ty Cổ phần Phát triển Hạ tầng Kỹ thuật Becamex Bình Phước,Công ty Cổ phần Phát triển Hạ tầng Kỹ thuật Becamex Bình Phước,Công ty liên kết của Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,
Công ty Cổ phần Becamex Bình Định,Công ty Cổ phần Becamex Bình Định,Công ty Cổ phần Becamex Bình Định,Công ty liên kết của Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,
Công ty Cổ phần Giải pháp Năng lượng Thông minh Việt Nam – Singapore,Công ty Cổ phần Giải pháp Năng lượng Thông minh Việt Nam – Singapore,Công ty Cổ phần Giải pháp Năng lượng Thông minh Việt Nam – Singapore,Công ty liên kết của Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,
Công ty Cổ phần Đầu tư và Phát triển Công nghiệp Đông Sài Gòn,Công ty Cổ phần Đầu tư và Phát triển Công nghiệp Đông Sài Gòn,Công ty Cổ phần Đầu tư và Phát triển Công nghiệp Đông Sài Gòn,Công ty liên kết của Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,
Công ty Cổ phần Đầu tư và Phát triển Điện Becamex - Vsip,Công ty Cổ phần Đầu tư và Phát triển Điện Becamex - Vsip,Công ty Cổ phần Đầu tư và Phát triển Điện Becamex - Vsip,Công ty liên kết của Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,
Công ty Cổ phần VSIP Cần Thơ,Công ty Cổ phần VSIP Cần Thơ,Công ty Cổ phần VSIP Cần Thơ,Công ty liên kết của Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,
Công ty Cổ phần Xi măng Hà Tiên Kiên Giang – Becamex,Công ty Cổ phần Xi măng Hà Tiên Kiên Giang – Becamex,Công ty Cổ phần Xi măng Hà Tiên Kiên Giang – Becamex,Công ty con của Công ty Cổ phần Kinh doanh và Phát triển Bình Dương,
Công ty Cổ phần Vật liệu Xây dựng Becamex,Công ty Cổ phần Vật liệu Xây dựng Becamex,Công ty Cổ phần Vật liệu Xây dựng Becamex,Công ty con của Công ty Cổ phần Kinh doanh và Phát triển Bình Dương,
