row_label_raw,row_label_full,col_0,Vốn góp củachủ sở hữu,Thăng dư vốncổ phần,Vốn khác củachủ sở hữu,Cổ phiếu quỹ,Chênh lệch đánhgiá lại tài sản,Quỹ đầu tưphát triển,Quỹ khác thuộcvốn Chủ sở hữu,Lợi nhuận chưaphân phối,Lợi ích cổ đôngkhông kiểm soát,Nguồn vốn đàutư XDCB,Cộng,numeric__Vốn góp củachủ sở hữu,numeric__Thăng dư vốncổ phần,numeric__Vốn khác củachủ sở hữu,numeric__Cổ phiếu quỹ,numeric__Chênh lệch đánhgiá lại tài sản,numeric__Quỹ đầu tưphát triển,numeric__Quỹ khác thuộcvốn Chủ sở hữu,numeric__Lợi nhuận chưaphân phối,numeric__Lợi ích cổ đôngkhông kiểm soát,numeric__Nguồn vốn đàutư XDCB,numeric__Cộng
iều chỉnh theo thanh tra thuế,iều chỉnh theo thanh tra thuế,iều chỉnh theo thanh tra thuế,-,-,-,-,-,-,-,1.950.572.127,-,-,1.950.572.127,,,,,,,,1950572127.0,,,1950572127.0
iảm khác,iảm khác,iảm khác,-,(22.950.000),(459.000.000),-,(18.137.100.000),(6.547.129.984),(131.505.474),25.297.685.458,-,-,-,,-22950000.0,-459000000.0,,-18137100000.0,-6547129984.0,-131505474.0,25297685458.0,,,
yỉ ích cổ đông không kiểm soátng trong năm trước,yỉ ích cổ đông không kiểm soátng trong năm trước,yỉ ích cổ đông không kiểm soátng trong năm trước,-,-,-,-,-,-,-,-,77.265.689.768,-,77.265.689.768,,,,,,,,,77265689768.0,,77265689768.0
S dư cuối năm trước,S dư cuối năm trước,S dư cuối năm trước,3.070.000.000.000,120.425.969.561,21.824.042.505,(149.876.239),(211.681.407.015),91.436.312.355,6.603.291.499,741.287.274.365,414.435.843.316,46.000.000.000,4.300.181.450.347,3070000000000.0,120425969561.0,21824042505.0,-149876239.0,-211681407015.0,91436312355.0,6603291499.0,741287274365.0,414435843316.0,46000000000.0,4300181450347.0
tăng vốn trong năm nay [1],tăng vốn trong năm nay [1],tăng vốn trong năm nay [1],1.413.500.000.000,793.050.209.317,-,-,-,-,-,-,-,-,2.206.550.209.317,1413500000000.0,793050209317.0,,,,,,,,,2206550209317.0
lii trong năm nay,lii trong năm nay,lii trong năm nay,-,-,-,-,-,-,-,600.137.169.434,-,-,600.137.169.434,,,,,,,,600137169434.0,,,600137169434.0
bông ty con dùng các quỹ bù đáp lỗy kế,bông ty con dùng các quỹ bù đáp lỗy kế,bông ty con dùng các quỹ bù đáp lỗy kế,-,-,-,-,-,(692.105.827),-,692.105.827,-,-,-,,,,,,-692105827.0,,692105827.0,,,
hiía cổ tức,hiía cổ tức,hiía cổ tức,-,-,-,-,-,-,-,(405.650.000.000),-,-,(405.650.000.000),,,,,,,,-405650000000.0,,,-405650000000.0
rich lập quỹ đầu tư phát triển,rich lập quỹ đầu tư phát triển,rich lập quỹ đầu tư phát triển,-,-,-,-,-,104.104.475.411,-,(104.104.475.411),-,-,-,,,,,,104104475411.0,,-104104475411.0,,,
rich lập quỹ khen thưởng phúc lợi,rich lập quỹ khen thưởng phúc lợi,rich lập quỹ khen thưởng phúc lợi,-,-,-,-,-,-,-,(66.197.744.798),-,-,(66.197.744.798),,,,,,,,-66197744798.0,,,-66197744798.0
tăng khác,tăng khác,tăng khác,-,-,-,-,-,-,-,1.376.211.505,-,-,1.376.211.505,,,,,,,,1376211505.0,,,1376211505.0
ná thù lao của Hội đồng quản trị,ná thù lao của Hội đồng quản trị,ná thù lao của Hội đồng quản trị,-,-,-,-,-,-,-,(1.848.370.198),-,-,(1.848.370.198),,,,,,,,-1848370198.0,,,-1848370198.0
ét chuyển nguồn vốn đối với côngnh đã hoàn thành [2],ét chuyển nguồn vốn đối với côngnh đã hoàn thành [2],ét chuyển nguồn vốn đối với côngnh đã hoàn thành [2],-,-,-,-,-,-,-,-,-,(46.000.000.000),(46.000.000.000),,,,,,,,,,-46000000000.0,-46000000000.0
iảm do Công ty con điều chỉnh hồi lợi nhuận các năm trước,iảm do Công ty con điều chỉnh hồi lợi nhuận các năm trước,iảm do Công ty con điều chỉnh hồi lợi nhuận các năm trước,-,-,-,-,-,-,-,(15.318.995.176),-,-,(15.318.995.176),,,,,,,,-15318995176.0,,,-15318995176.0
tuy thu thuế,tuy thu thuế,tuy thu thuế,-,-,-,-,-,-,-,(197.619.752),-,-,(197.619.752),,,,,,,,-197619752.0,,,-197619752.0
S không phải gánh chịu khi thơiiống ty con thành công ty liên kết,S không phải gánh chịu khi thơiiống ty con thành công ty liên kết,S không phải gánh chịu khi thơiiống ty con thành công ty liên kết,-,-,-,-,-,-,-,14.944.354.648,-,-,14.944.354.648,,,,,,,,14944354648.0,,,14944354648.0
iảm khác,iảm khác,iảm khác,-,-,-,-,-,(12.871.931),(4.480.108),(37.263.983),-,-,(54.616.022),,,,,,-12871931.0,-4480108.0,-37263983.0,,,-54616022.0
yỉ ích cổ đông không kiểm soátng trong năm,yỉ ích cổ đông không kiểm soátng trong năm,yỉ ích cổ đông không kiểm soátng trong năm,-,-,-,-,-,-,-,-,67.633.648.193,-,67.633.648.193,,,,,,,,,67633648193.0,,67633648193.0
S dư cuối năm nay,S dư cuối năm nay,S dư cuối năm nay,4.483.500.000.000,913.476.178.878,21.824.042.505,(149.876.239),(211.681.407.015),194.835.810.008,6.598.811.391,765.082.646.461,482.069.491.509,-,6.655.555.697.498,4483500000000.0,913476178878.0,21824042505.0,-149876239.0,-211681407015.0,194835810008.0,6598811391.0,765082646461.0,482069491509.0,,6655555697498.0
