row_label_raw,row_label_full,col_0,Phải thu/(phải trả),Phải thu/(phải trả)_1,numeric__Phải thu/(phải trả),numeric__Phải thu/(phải trả)_1
- Nhận góp vốn,Công ty Cổ phần Tập đoàn T&T > - Nhận góp vốn,- Nhận góp vốn,(2.873.885),(3.618.885),-2873885.0,-3618885.0
- Nhận tiền gửi không kỳ hạn và có kỳ hạn,Công ty Cổ phần Tập đoàn T&T > - Nhận tiền gửi không kỳ hạn và có kỳ hạn,- Nhận tiền gửi không kỳ hạn và có kỳ hạn,(679.940),(769.387),-679940.0,-769387.0
- Lãi dự trả tiền gửi,Công ty Cổ phần Tập đoàn T&T > - Lãi dự trả tiền gửi,- Lãi dự trả tiền gửi,(777),(240),-777.0,-240.0
Tổng Công ty Cổ phần Bảo hiểm Sài Gòn - Hà Nội,Tổng Công ty Cổ phần Bảo hiểm Sài Gòn - Hà Nội,Tổng Công ty Cổ phần Bảo hiểm Sài Gòn - Hà Nội,Tổng Công ty Cổ phần Bảo hiểm Sài Gòn - Hà Nội,Tổng Công ty Cổ phần Bảo hiểm Sài Gòn - Hà Nội,,
- Góp vốn,Tổng Công ty Cổ phần Bảo hiểm Sài Gòn - Hà Nội > - Góp vốn,- Góp vốn,42.857,42.857,42857.0,42857.0
- Nhận tiền gửi không kỳ hạn và có kỳ hạn,Tổng Công ty Cổ phần Bảo hiểm Sài Gòn - Hà Nội > - Nhận tiền gửi không kỳ hạn và có kỳ hạn,- Nhận tiền gửi không kỳ hạn và có kỳ hạn,(1.055.828),(1.121.995),-1055828.0,-1121995.0
- Lãi dự trả tiền gửi,Tổng Công ty Cổ phần Bảo hiểm Sài Gòn - Hà Nội > - Lãi dự trả tiền gửi,- Lãi dự trả tiền gửi,(62.211),(14.572),-62211.0,-14572.0
Công ty Cổ phần Chứng khoán Sài Gòn - Hà Nội,Công ty Cổ phần Chứng khoán Sài Gòn - Hà Nội,Công ty Cổ phần Chứng khoán Sài Gòn - Hà Nội,Công ty Cổ phần Chứng khoán Sài Gòn - Hà Nội,Công ty Cổ phần Chứng khoán Sài Gòn - Hà Nội,,
- Nhận tiền gửi không kỳ hạn,Công ty Cổ phần Chứng khoán Sài Gòn - Hà Nội > - Nhận tiền gửi không kỳ hạn,- Nhận tiền gửi không kỳ hạn,(734.215),(2.982.979),-734215.0,-2982979.0
- Cho vay,Công ty Cổ phần Chứng khoán Sài Gòn - Hà Nội > - Cho vay,- Cho vay,400.000,-,400000.0,
- Lãi dự thu cho vay,Công ty Cổ phần Chứng khoán Sài Gòn - Hà Nội > - Lãi dự thu cho vay,- Lãi dự thu cho vay,1.037,-,1037.0,
