row_label_raw,row_label_full,col_0,Thuyết minh,31/12/2015Triệu đồng,31/12/2014Triệu đồng,numeric__Thuyết minh,numeric__31/12/2015Triệu đồng,numeric__31/12/2014Triệu đồng
"Góp vốn, đầu tư dài hạn","Chứng khoán kinh doanh > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",10,201.539,215.057,10.0,201539.0,215057.0
Đầu tư vào công ty con,Chứng khoán kinh doanh > Đầu tư vào công ty con,Đầu tư vào công ty con,,66.500,66.500,,66500.0,66500.0
Đầu tư dài hạn khác,Chứng khoán kinh doanh > Đầu tư dài hạn khác,Đầu tư dài hạn khác,,210.654,224.172,,210654.0,224172.0
Dự phòng giảm giá đầu tư dài hạn khác,Chứng khoán kinh doanh > Dự phòng giảm giá đầu tư dài hạn khác,Dự phòng giảm giá đầu tư dài hạn khác,,(75.615),(75.615),,-75615.0,-75615.0
Tài sản cố định,Chứng khoán kinh doanh > Tài sản cố định,Tài sản cố định,11,347.149,362.486,11.0,347149.0,362486.0
Tài sản cố định hữu hình,Chứng khoán kinh doanh > Tài sản cố định hữu hình,Tài sản cố định hữu hình,11.1,265.998,271.295,111.0,265998.0,271295.0
Nguyên giá tài sản cố định,Chứng khoán kinh doanh > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,,702.485,640.834,,702485.0,640834.0
Khấu hao tài sản cố định,Chứng khoán kinh doanh > Khấu hao tài sản cố định,Khấu hao tài sản cố định,,(436.487),(369.539),,-436487.0,-369539.0
Tài sản cố định vô hình,Chứng khoán kinh doanh > Tài sản cố định vô hình,Tài sản cố định vô hình,11.2,81.151,91.191,112.0,81151.0,91191.0
Nguyên giá tài sản cố định,Chứng khoán kinh doanh > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,,237.412,228.273,,237412.0,228273.0
Hao mòn tài sản cố định,Chứng khoán kinh doanh > Hao mòn tài sản cố định,Hao mòn tài sản cố định,,(156.261),(137.082),,-156261.0,-137082.0
Bất động sản đầu tư,Bất động sản đầu tư,Bất động sản đầu tư,,-,-,,,
Tài sản Có khác,Bất động sản đầu tư > Tài sản Có khác,Tài sản Có khác,12,2.399.026,4.201.502,12.0,2399026.0,4201502.0
Các khoản phải thu,Bất động sản đầu tư > Các khoản phải thu,Các khoản phải thu,12.1,1.225.372,3.028.640,121.0,1225372.0,3028640.0
"Các khoản lãi, phí phải thu","Bất động sản đầu tư > Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",12.2,986.102,1.011.364,122.0,986102.0,1011364.0
Tài sản Có khác,Bất động sản đầu tư > Tài sản Có khác,Tài sản Có khác,12.3,187.552,161.498,123.0,187552.0,161498.0
Các khoản dự phòng rủi ro cho các tài sản Có nội bằng khác,Các khoản dự phòng rủi ro cho các tài sản Có nội bằng khác,Các khoản dự phòng rủi ro cho các tài sản Có nội bằng khác,,-,-,,,
TỔNG TÀI SẢN,Các khoản dự phòng rủi ro cho các tài sản Có nội bằng khác > TỔNG TÀI SẢN,TỔNG TÀI SẢN,,84.592.672,79.327.501,,84592672.0,79327501.0
