row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12 năm 2025 > Triệu đồng,Ngày 31 tháng 12 năm 2024 (Trình bày lại) > Triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2025 > Triệu đồng,numeric__Ngày 31 tháng 12 năm 2024 (Trình bày lại) > Triệu đồng
Hao mòn tài sản cố định hữu hình,TÀI SẢN > Hao mòn tài sản cố định hữu hình,Hao mòn tài sản cố định hữu hình,,(2.298.618),(1.969.719),,-2298618.0,-1969719.0
Tài sản cố định vô hình,TÀI SẢN > Tài sản cố định vô hình,Tài sản cố định vô hình,15.2,549.555,586.817,152.0,549555.0,586817.0
Nguyễn giá tài sản cố định vô hình,TÀI SẢN > Nguyễn giá tài sản cố định vô hình,Nguyễn giá tài sản cố định vô hình,,2.205.181,2.086.191,,2205181.0,2086191.0
Hao mòn tài sản cố định vô hình,TÀI SẢN > Hao mòn tài sản cố định vô hình,Hao mòn tài sản cố định vô hình,,(1.655.626),(1.499.374),,-1655626.0,-1499374.0
Tài sản Có khác,TÀI SẢN > Tài sản Có khác,Tài sản Có khác,,39.136.947,22.417.344,,39136947.0,22417344.0
Các khoản phải thu,TÀI SẢN > Các khoản phải thu,Các khoản phải thu,16.1,17.522.681,6.515.935,161.0,17522681.0,6515935.0
"Các khoản lãi, phí phải thu","TÀI SẢN > Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",16.2,14.279.226,8.384.069,162.0,14279226.0,8384069.0
Tài sản thuế thu nhập doanh nghiệp hoãn lại,TÀI SẢN > Tài sản thuế thu nhập doanh nghiệp hoãn lại,Tài sản thuế thu nhập doanh nghiệp hoãn lại,24.2,1.143.728,1.195.836,242.0,1143728.0,1195836.0
Tài sản Có khác,TÀI SẢN > Tài sản Có khác,Tài sản Có khác,16.3,6.381.713,6.547.735,163.0,6381713.0,6547735.0
Trong đó: Lợi thế thương mại,TÀI SẢN > Trong đó: Lợi thế thương mại,Trong đó: Lợi thế thương mại,17,-,41.310,17.0,,41310.0
Dự phòng rủi ro cho các tài sản Có nội bảng khác,TÀI SẢN > Dự phòng rủi ro cho các tài sản Có nội bảng khác,Dự phòng rủi ro cho các tài sản Có nội bảng khác,16.4,(190.401),(226.231),164.0,-190401.0,-226231.0
TỔNG TÀI SẢN,TÀI SẢN > TỔNG TÀI SẢN,TỔNG TÀI SẢN,,1.260.149.596,923.847.637,,1260149596.0,923847637.0
