row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Chênh lệch tỷ giá hối đoái VND,Quỹ đầu tư phát triển VND,Lợi nhuận chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Chênh lệch tỷ giá hối đoái VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Tăng do hợp nhất công ty con mới trong năm,Tăng do hợp nhất công ty con mới trong năm,Tăng do hợp nhất công ty con mới trong năm,-,-,-,-,-,-,331.192.929.383,331.192.929.383,,,,,,,331192929383.0,331192929383.0
Chênh lệch phát sinh khi Công ty thay đổi tỷ lệ sở hữu tại công ty con nhưng không thay đổi quyền kiểm soát đối với công ty con,Chênh lệch phát sinh khi Công ty thay đổi tỷ lệ sở hữu tại công ty con nhưng không thay đổi quyền kiểm soát đối với công ty con,Chênh lệch phát sinh khi Công ty thay đổi tỷ lệ sở hữu tại công ty con nhưng không thay đổi quyền kiểm soát đối với công ty con,-,-,-,-,171.366.836,(2.955.913.231),(41.976.113.605),(44.760.660.000),,,,,171366836.0,-2955913231.0,-41976113605.0,-44760660000.0
Số dư tại ngày 1/1/2017,Số dư tại ngày 1/1/2017,Số dư tại ngày 1/1/2017,759.680.800.000,(33.000.000),(311.780.000),4.291.262.460,30.510.823.823,385.102.858.406,654.777.103.937,1.834.018.068.626,759680800000.0,-33000000.0,-311780000.0,4291262460.0,30510823823.0,385102858406.0,654777103937.0,1834018068626.0
Trả cổ tức bằng cổ phiếu thường,Trả cổ tức bằng cổ phiếu thường,Trả cổ tức bằng cổ phiếu thường,-,-,-,-,-,-,12.584.000.000,12.584.000.000,,,,,,,12584000000.0,12584000000.0
Phát hành cổ phiếu và góp vốn,Phát hành cổ phiếu và góp vốn,Phát hành cổ phiếu và góp vốn,-,-,-,-,-,-,87.360.300.000,87.360.300.000,,,,,,,87360300000.0,87360300000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,178.375.406.736,94.728.113.643,273.103.520.379,,,,,,178375406736.0,94728113643.0,273103520379.0
Chênh lệch tỷ giá,Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,-,-,(66.617.048),-,-,-,(66.617.048),,,,-66617048.0,,,,-66617048.0
Cổ tức (Thuyết minh 27),Cổ tức (Thuyết minh 27),Cổ tức (Thuyết minh 27),-,-,-,-,-,(75.948.528.200),(81.419.720.580),(157.368.248.780),,,,,,-75948528200.0,-81419720580.0,-157368248780.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,(3.557.296.422),(1.703.081.661),(5.260.378.083),,,,,,-3557296422.0,-1703081661.0,-5260378083.0
Biến động khác về vốn chủ sở hữu,Biến động khác về vốn chủ sở hữu,Biến động khác về vốn chủ sở hữu,-,-,-,-,-,(496.210.981),(454.180.272),(950.391.253),,,,,,-496210981.0,-454180272.0,-950391253.0
Chênh lệch phát sinh khi Công ty thay đổi tỷ lệ sở hữu tại công ty con nhưng không thay đổi quyền kiểm soát đối với công ty con,Chênh lệch phát sinh khi Công ty thay đổi tỷ lệ sở hữu tại công ty con nhưng không thay đổi quyền kiểm soát đối với công ty con,Chênh lệch phát sinh khi Công ty thay đổi tỷ lệ sở hữu tại công ty con nhưng không thay đổi quyền kiểm soát đối với công ty con,-,-,-,-,(103.927.022),(4.186.374.598),45.016.021.620,40.725.720.000,,,,,-103927022.0,-4186374598.0,45016021620.0,40725720000.0
Số dư tại ngày 31/12/2017,Số dư tại ngày 31/12/2017,Số dư tại ngày 31/12/2017,759.680.800.000,(33.000.000),(311.780.000),4.224.645.412,30.406.896.801,479.289.854.941,810.888.556.687,2.084.145.973.841,759680800000.0,-33000000.0,-311780000.0,4224645412.0,30406896801.0,479289854941.0,810888556687.0,2084145973841.0
