row_label_raw,row_label_full,"Tổng Công ty Lương thực Miền Nam - Công ty cổ phầnSố 333 Trần Hưng Đạo, Phường Cầu Kho, Quận 1, Thành phố Hồ Chí Minh","Tổng Công ty Lương thực Miền Nam - Công ty cổ phầnSố 333 Trần Hưng Đạo, Phường Cầu Kho, Quận 1, Thành phố Hồ Chí Minh > 31/12/2020 > Giá trịVND","Tổng Công ty Lương thực Miền Nam - Công ty cổ phầnSố 333 Trần Hưng Đạo, Phường Cầu Kho, Quận 1, Thành phố Hồ Chí Minh > 31/12/2020 > Dự phòngVND",Báo cáo tài chính hợp nhất giữa niên độTừ ngày 01/01/2020 đến ngày 31/12/2020 > 01/01/2020 > Giá trịVND,Báo cáo tài chính hợp nhất giữa niên độTừ ngày 01/01/2020 đến ngày 31/12/2020 > 01/01/2020 > Dự phòngVND,"numeric__Tổng Công ty Lương thực Miền Nam - Công ty cổ phầnSố 333 Trần Hưng Đạo, Phường Cầu Kho, Quận 1, Thành phố Hồ Chí Minh > 31/12/2020 > Giá trịVND","numeric__Tổng Công ty Lương thực Miền Nam - Công ty cổ phầnSố 333 Trần Hưng Đạo, Phường Cầu Kho, Quận 1, Thành phố Hồ Chí Minh > 31/12/2020 > Dự phòngVND",numeric__Báo cáo tài chính hợp nhất giữa niên độTừ ngày 01/01/2020 đến ngày 31/12/2020 > 01/01/2020 > Giá trịVND,numeric__Báo cáo tài chính hợp nhất giữa niên độTừ ngày 01/01/2020 đến ngày 31/12/2020 > 01/01/2020 > Dự phòngVND
"- Xiamen Biote Cerea oils and food Co., Ltd","a) Phải thu của khách hàng chi tiết theo khách hàng có số dư lớn > - Xiamen Biote Cerea oils and food Co., Ltd","- Xiamen Biote Cerea oils and food Co., Ltd",51.016.877.000,,,,51016877000.0,,,
"Xiamen Convergence and Harvest industry Co., Ltd","a) Phải thu của khách hàng chi tiết theo khách hàng có số dư lớn > Xiamen Convergence and Harvest industry Co., Ltd","Xiamen Convergence and Harvest industry Co., Ltd",31.642.600.000,,,,31642600000.0,,,
"Xiamen Youliang Comercial and Trade Co., Ltd","a) Phải thu của khách hàng chi tiết theo khách hàng có số dư lớn > Xiamen Youliang Comercial and Trade Co., Ltd","Xiamen Youliang Comercial and Trade Co., Ltd",26.229.219.000,,,,26229219000.0,,,
"Xiamen Lifanfa (Group) Forever co., Ltd","a) Phải thu của khách hàng chi tiết theo khách hàng có số dư lớn > Xiamen Lifanfa (Group) Forever co., Ltd","Xiamen Lifanfa (Group) Forever co., Ltd",13.222.090.000,,,,13222090000.0,,,
- Cty TNHH DTSX-TMDV Phan Minh,a) Phải thu của khách hàng chi tiết theo khách hàng có số dư lớn > - Cty TNHH DTSX-TMDV Phan Minh,- Cty TNHH DTSX-TMDV Phan Minh,10.129.171.106,-,,-,10129171106.0,,,
- Milmar riceland trading pte ltd,a) Phải thu của khách hàng chi tiết theo khách hàng có số dư lớn > - Milmar riceland trading pte ltd,- Milmar riceland trading pte ltd,3.060.292.811,,,,3060292811.0,,,
- Sima marketing pte ltd,a) Phải thu của khách hàng chi tiết theo khách hàng có số dư lớn > - Sima marketing pte ltd,- Sima marketing pte ltd,16.681.205.941,(16.861.205.941),16.681.205.941,(16.861.205.941),16681205941.0,-16861205941.0,16681205941.0,-16861205941.0
- Các khoản phải thu khác,a) Phải thu của khách hàng chi tiết theo khách hàng có số dư lớn > - Các khoản phải thu khác,- Các khoản phải thu khác,248.209.017.998,(81.584.712.762),550.838.250.111,(89.664.876.151),248209017998.0,-81584712762.0,550838250111.0,-89664876151.0
,,,1.266.073.288.781,(214.498.280.628),1.730.397.480.439,(222.578.444.017),1266073288781.0,-214498280628.0,1730397480439.0,-222578444017.0
b) Phải thu của khách hàng phân loại theo kỳ hạn thanh toán,b) Phải thu của khách hàng phân loại theo kỳ hạn thanh toán,b) Phải thu của khách hàng phân loại theo kỳ hạn thanh toán,b) Phải thu của khách hàng phân loại theo kỳ hạn thanh toán,b) Phải thu của khách hàng phân loại theo kỳ hạn thanh toán,b) Phải thu của khách hàng phân loại theo kỳ hạn thanh toán,b) Phải thu của khách hàng phân loại theo kỳ hạn thanh toán,,,,
- Các khoản phải thu khách hàng ngắn hạn,b) Phải thu của khách hàng phân loại theo kỳ hạn thanh toán > - Các khoản phải thu khách hàng ngắn hạn,- Các khoản phải thu khách hàng ngắn hạn,671.436.163.281,(214.498.280.628),1.135.632.283.191,(222.578.444.017),671436163281.0,-214498280628.0,1135632283191.0,-222578444017.0
- Các khoản phải thu khách hàng dài hạn,b) Phải thu của khách hàng phân loại theo kỳ hạn thanh toán > - Các khoản phải thu khách hàng dài hạn,- Các khoản phải thu khách hàng dài hạn,594.637.125.500,-,594.765.197.248,-,594637125500.0,,594765197248.0,
,,,1.266.073.288.781,(214.498.280.628),1.730.397.480.439,(222.578.444.017),1266073288781.0,-214498280628.0,1730397480439.0,-222578444017.0
