row_label_raw,row_label_full,CHỈ TIÊU,Mã số,2015,2014(Trình bày lại),numeric__Mã số,numeric__2015,numeric__2014(Trình bày lại)
"1. Tiền chi mua sắm, xây dựng tài sản cố định và cáctài sản dài hạn khác","II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 1. Tiền chi mua sắm, xây dựng tài sản cố định và cáctài sản dài hạn khác","1. Tiền chi mua sắm, xây dựng tài sản cố định và cáctài sản dài hạn khác",21,(1.968.298.134),(24.092.005.414),21.0,-1968298134.0,-24092005414.0
"2. Tiền chi cho vay, mua công cụ nợ của đơn vị khác","II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 2. Tiền chi cho vay, mua công cụ nợ của đơn vị khác","2. Tiền chi cho vay, mua công cụ nợ của đơn vị khác",23,(4.000.000.000),(1.482.539.704.339),23.0,-4000000000.0,-1482539704339.0
"3. Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác","II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 3. Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác","3. Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác",24,55.159.900.000,284.931.830.500,24.0,55159900000.0,284931830500.0
4. Tiền chi đầu tư góp vốn vào các đơn vị khác,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 4. Tiền chi đầu tư góp vốn vào các đơn vị khác,4. Tiền chi đầu tư góp vốn vào các đơn vị khác,25,(11.578.000.000),(98.440.000.000),25.0,-11578000000.0,-98440000000.0
5. Tiền thu hồi đầu tư vốn vào đơn vị khác,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 5. Tiền thu hồi đầu tư vốn vào đơn vị khác,5. Tiền thu hồi đầu tư vốn vào đơn vị khác,26,1.952.713.000.000,1.512.200.225.957,26.0,1952713000000.0,1512200225957.0
"6. Tiền thu lãi tiền cho vay, cổ tức và lợi nhuận được chia","II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 6. Tiền thu lãi tiền cho vay, cổ tức và lợi nhuận được chia","6. Tiền thu lãi tiền cho vay, cổ tức và lợi nhuận được chia",27,705.113.187,15.050.968.419,27.0,705113187.0,15050968419.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,1.991.031.715.053,207.111.315.123,30.0,1991031715053.0,207111315123.0
III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
1. Tiền thu từ đi vay,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 1. Tiền thu từ đi vay,1. Tiền thu từ đi vay,33,-,1.660.870.898.081,33.0,,1660870898081.0
2. Tiền trả nợ gốc vay,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 2. Tiền trả nợ gốc vay,2. Tiền trả nợ gốc vay,34,(895.000.000.000),(1.332.582.618.081),34.0,-895000000000.0,-1332582618081.0
Lưu chuyển tiền thuần từ hoạt động tài chính,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,(895.000.000.000),328.288.280.000,40.0,-895000000000.0,328288280000.0
Lưu chuyển tiền thuần trong năm (50=20+30+40),III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần trong năm (50=20+30+40),Lưu chuyển tiền thuần trong năm (50=20+30+40),50,(19.303.047.870),(7.565.476.814),50.0,-19303047870.0,-7565476814.0
Tiền và tương đương tiền đầu năm,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền đầu năm,Tiền và tương đương tiền đầu năm,60,42.547.395.347,50.112.872.161,60.0,42547395347.0,50112872161.0
Tiền và tương đương tiền cuối năm (70=50+60),III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền cuối năm (70=50+60),Tiền và tương đương tiền cuối năm (70=50+60),70,23.244.347.477,42.547.395.347,70.0,23244347477.0,42547395347.0
