row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Vốn khác của chủ sở hữu,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Chênh lệch tỷ giá hối đoai,Quỹ đầu tư phát triển,Quỹ dự phòng tài chính,Quỹ khác thuộc vốn CSH,Lợi nhuận chưa phân phối,Lợi ích cổ đông không kiểm soát,numeric__Vốn góp của chủ sở hữu,numeric__Vốn khác của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Chênh lệch tỷ giá hối đoai,numeric__Quỹ đầu tư phát triển,numeric__Quỹ dự phòng tài chính,numeric__Quỹ khác thuộc vốn CSH,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,-,-,-,1.488.213.481.717,34.247.867.339,,,,,,,,,1488213481717.0,34247867339.0
Trích lập các quỹ (1),Trích lập các quỹ (1),Trích lập các quỹ (1),-,-,-,-,-,4.386.836.518,-,-,(4.386.836.518),-,,,,,,4386836518.0,,,-4386836518.0,
Trích Quỹ Khen thưởng phúc lợi (1),Trích Quỹ Khen thưởng phúc lợi (1),Trích Quỹ Khen thưởng phúc lợi (1),-,-,-,-,-,-,-,-,(291.337.417.673),(5.728.298.310),,,,,,,,,-291337417673.0,-5728298310.0
Chia cổ tức (2),Chia cổ tức (2),Chia cổ tức (2),-,-,-,-,-,-,-,-,(1.519.737.040.000),(23.865.144.656),,,,,,,,,-1519737040000.0,-23865144656.0
Chuyển quỹ,Chuyển quỹ,Chuyển quỹ,-,-,-,-,-,1.014.770.873,-,(1.014.770.873),-,-,,,,,,1014770873.0,,-1014770873.0,,
Tăng/(giảm) do thơi vốn tại Công ty Cổ phần Bao bl Đạm Phú Mỹ,Tăng/(giảm) do thơi vốn tại Công ty Cổ phần Bao bl Đạm Phú Mỹ,Tăng/(giảm) do thơi vốn tại Công ty Cổ phần Bao bl Đạm Phú Mỹ,-,(2.038.211.449),-,-,-,(2.294.797.393),-,-,4.333.008.842,(34.237.899.815),,-2038211449.0,,,,-2294797393.0,,,4333008842.0,-34237899815.0
(Giảm) do Công ty liên kết thay đổi số dư đầu năm,(Giảm) do Công ty liên kết thay đổi số dư đầu năm,(Giảm) do Công ty liên kết thay đổi số dư đầu năm,-,-,-,-,-,-,-,-,(10.560.754.437),-,,,,,,,,,-10560754437.0,
Điều chính theo Thông tư 202 (3),Điều chính theo Thông tư 202 (3),Điều chính theo Thông tư 202 (3),-,-,-,-,-,-,-,-,(98.607.955.999),-,,,,,,,,,-98607955999.0,
Điều chính khác,Điều chính khác,Điều chính khác,-,(359.270.738),-,-,719.794,(404.498.539),-,-,218.050.059,4.723.594.968,,-359270738.0,,,719794.0,-404498539.0,,,218050059.0,4723594968.0
Số dư tại ngày 31/12/2015,Số dư tại ngày 31/12/2015,Số dư tại ngày 31/12/2015,3.800.000.000.000,-,21.179.913.858,(2.296.824.120),-,3.498.666.363.829,-,-,1.038.014.367.026,191.941.449.662,3800000000000.0,,21179913858.0,-2296824120.0,,3498666363829.0,,,1038014367026.0,191941449662.0
