row_label_raw,row_label_full,col_0,2015,2014,numeric__2015,numeric__2014
Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Trung,"Mua hàng hóa, dịch vụ > Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Trung",Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Trung,28.191.379.910,22.794.166.441,28191379910.0,22794166441.0
Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Bắc,"Mua hàng hóa, dịch vụ > Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Bắc",Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Bắc,18.505.308.881,14.267.121.935,18505308881.0,14267121935.0
Tổng Công ty Cổ phần Vận tải Dầu khí,"Mua hàng hóa, dịch vụ > Tổng Công ty Cổ phần Vận tải Dầu khí",Tổng Công ty Cổ phần Vận tải Dầu khí,13.966.295.773,9.292.966.983,13966295773.0,9292966983.0
Công ty Cổ phần Phân bón và Hóa chất Dầu khí Tây Nam Bộ,"Mua hàng hóa, dịch vụ > Công ty Cổ phần Phân bón và Hóa chất Dầu khí Tây Nam Bộ",Công ty Cổ phần Phân bón và Hóa chất Dầu khí Tây Nam Bộ,8.697.417.894,10.371.018.792,8697417894.0,10371018792.0
Công ty Cổ phần Phân bón và Hóa chất Dầu khí Đông Nam Bộ,"Mua hàng hóa, dịch vụ > Công ty Cổ phần Phân bón và Hóa chất Dầu khí Đông Nam Bộ",Công ty Cổ phần Phân bón và Hóa chất Dầu khí Đông Nam Bộ,6.568.456.221,8.034.927.016,6568456221.0,8034927016.0
Viện Dầu khí Việt Nam,"Mua hàng hóa, dịch vụ > Viện Dầu khí Việt Nam",Viện Dầu khí Việt Nam,4.567.940.948,5.659.469.821,4567940948.0,5659469821.0
Công ty Cổ phần Phát triển Đô thị Dầu khí,"Mua hàng hóa, dịch vụ > Công ty Cổ phần Phát triển Đô thị Dầu khí",Công ty Cổ phần Phát triển Đô thị Dầu khí,8.030.369.090,45.482.553.937,8030369090.0,45482553937.0
Tổng Công ty Cổ phần Dịch vụ tổng hợp dầu khí (Petrosetco),"Mua hàng hóa, dịch vụ > Tổng Công ty Cổ phần Dịch vụ tổng hợp dầu khí (Petrosetco)",Tổng Công ty Cổ phần Dịch vụ tổng hợp dầu khí (Petrosetco),10.153.508.365,8.000.497.447,10153508365.0,8000497447.0
Công ty Cổ phần Dịch vụ Báo vệ An ninh Dầu khí Việt Nam,"Mua hàng hóa, dịch vụ > Công ty Cổ phần Dịch vụ Báo vệ An ninh Dầu khí Việt Nam",Công ty Cổ phần Dịch vụ Báo vệ An ninh Dầu khí Việt Nam,5.971.976.988,5.569.558.940,5971976988.0,5569558940.0
Tổng Công ty Công nghệ năng lượng Dầu khí Việt Nam - Công ty Cổ phần (EIC),"Mua hàng hóa, dịch vụ > Tổng Công ty Công nghệ năng lượng Dầu khí Việt Nam - Công ty Cổ phần (EIC)",Tổng Công ty Công nghệ năng lượng Dầu khí Việt Nam - Công ty Cổ phần (EIC),33.919.499.821,29.064.546.639,33919499821.0,29064546639.0
Tổng Công ty Dầu Việt Nam (PVOil),"Mua hàng hóa, dịch vụ > Tổng Công ty Dầu Việt Nam (PVOil)",Tổng Công ty Dầu Việt Nam (PVOil),1.313.906.063,1.956.174.866,1313906063.0,1956174866.0
Tổng Công ty Tư vấn Thiết kế Dầu khí - Công ty Cổ phần (PVE),"Mua hàng hóa, dịch vụ > Tổng Công ty Tư vấn Thiết kế Dầu khí - Công ty Cổ phần (PVE)",Tổng Công ty Tư vấn Thiết kế Dầu khí - Công ty Cổ phần (PVE),-,2.980.080.744,,2980080744.0
,,,2.297.155.101.842,3.443.363.495.587,2297155101842.0,3443363495587.0
