row_label_raw,row_label_full,CHI TIEU,Mã số,Thuyết minh,31/12/2024,01/01/2024,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2024,numeric__01/01/2024
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,4.601.866.329.350,4.288.313.723.310,210.0,,4601866329350.0,4288313723310.0
1. Phải thu về cho vay dài hạn,1. Phải thu về cho vay dài hạn,1. Phải thu về cho vay dài hạn,215,,-,490.000.000.000,215.0,,,490000000000.0
2. Phải thu dài hạn khác,2. Phải thu dài hạn khác,2. Phải thu dài hạn khác,216,9,4.601.866.329.350,3.798.313.723.310,216.0,9.0,4601866329350.0,3798313723310.0
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,556.263.875,648.970.737,220.0,,556263875.0,648970737.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,12,491.548.723,447.455.585,221.0,12.0,491548723.0,447455585.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,4.550.328.026,4.098.015.063,222.0,,4550328026.0,4098015063.0
- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,223,,(4.058.779.303),(3.650.559.478),223.0,,-4058779303.0,-3650559478.0
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,13,64.715.152,201.515.152,227.0,13.0,64715152.0,201515152.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,575.365.500,575.365.500,228.0,,575365500.0,575365500.0
- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,229,,(510.650.348),(373.850.348),229.0,,-510650348.0,-373850348.0
III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,240,,215.065.483.849,212.821.780.144,240.0,,215065483849.0,212821780144.0
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn","1. Chi phí sản xuất, kinh doanh dở dang dài hạn","1. Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,2.115.483.849,821.780.144,241.0,,2115483849.0,821780144.0
2. Chi phí xây dựng cơ bản dở dang,2. Chi phí xây dựng cơ bản dở dang,2. Chi phí xây dựng cơ bản dở dang,242,14,212.950.000.000,212.000.000.000,242.0,14.0,212950000000.0,212000000000.0
IV. Tài sản dài hạn khác,IV. Tài sản dài hạn khác,IV. Tài sản dài hạn khác,260,,47.485.902.386,28.616.774.239,260.0,,47485902386.0,28616774239.0
1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,261,11,47.485.902.386,28.616.774.239,261.0,11.0,47485902386.0,28616774239.0
TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,270,,6.591.186.384.699,6.390.734.409.707,270.0,,6591186384699.0,6390734409707.0
