row_label_raw,row_label_full,col_0,Quá hạnTriệu đồng,Khôngchiụ lãiTriệu đồng,Thời hạn định lại lãi suất,Thời hạn định lại lãi suất_1,Thời hạn định lại lãi suất_2,Thời hạn định lại lãi suất_3,Thời hạn định lại lãi suất_4,Thời hạn định lại lãi suất_5,Tổng cộngTriệu đồng,numeric__Quá hạnTriệu đồng,numeric__Khôngchiụ lãiTriệu đồng,numeric__Thời hạn định lại lãi suất,numeric__Thời hạn định lại lãi suất_1,numeric__Thời hạn định lại lãi suất_2,numeric__Thời hạn định lại lãi suất_3,numeric__Thời hạn định lại lãi suất_4,numeric__Thời hạn định lại lãi suất_5,numeric__Tổng cộngTriệu đồng
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,5.857.969,116.179.112,74.466.487,108.335.519,3.393.631,3.188.365,24.865.738,1.033.365,337.320.186,5857969.0,116179112.0,74466487.0,108335519.0,3393631.0,3188365.0,24865738.0,1033365.0,337320186.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ NHNN Việt Nam,Nợ phải trả > Các khoản nợ NHNN Việt Nam,Các khoản nợ NHNN Việt Nam,-,-,3.774.694,-,-,-,-,-,3.774.694,,,3774694.0,,,,,,3774694.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,73,4.488.513,3.349.901,177.272,93.893,-,-,8.109.652,,73.0,4488513.0,3349901.0,177272.0,93893.0,,,8109652.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,627.956,110.657.576,80.272.611,45.555.190,49.541.307,4.950.922,47.539,291.653.101,,627956.0,110657576.0,80272611.0,45555190.0,49541307.0,4950922.0,47539.0,291653101.0
"Vốn tài trợ, uỷ thác đầu tư, cho vay chịu rủi ro","Nợ phải trả > Vốn tài trợ, uỷ thác đầu tư, cho vay chịu rủi ro","Vốn tài trợ, uỷ thác đầu tư, cho vay chịu rủi ro",-,-,50.676,1.351.356,-,2.123,-,-,1.404.155,,,50676.0,1351356.0,,2123.0,,,1404155.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,600,-,-,-,-,-,600,,,600.0,,,,,,600.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,4.888.907,-,-,-,-,-,-,4.888.907,,4888907.0,,,,,,,4888907.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,5.516.936,118.972.059,84.973.868,45.732.462,49.637.323,4.950.922,47.539,309.831.109,,5516936.0,118972059.0,84973868.0,45732462.0,49637323.0,4950922.0,47539.0,309831109.0
Mức chênh nhạy cảm với lãi suất nội bằng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bằng,Mức chênh nhạy cảm với lãi suất nội bằng,5.857.969,110.662.176,(44.505.572),23.361.651,(42.338.831),(46.448.958),19.914.816,985.826,27.489.077,5857969.0,110662176.0,-44505572.0,23361651.0,-42338831.0,-46448958.0,19914816.0,985826.0,27489077.0
