row_label_raw,row_label_full,col_0,Số liệu theobáo cáo trước đây,Điều chỉnh,Phân loại,VND Số liệu sau điều chỉnh,numeric__Số liệu theobáo cáo trước đây,numeric__Điều chỉnh,numeric__Phân loại,numeric__VND Số liệu sau điều chỉnh
Vay ngắn hạn,BÀNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT > Vay ngắn hạn,Vay ngắn hạn,942.577.741.415,-,7.000.000.000,949.577.741.415,942577741415.0,,7000000000.0,949577741415.0
Người mua trả tiền trước dài hạn,BÀNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT > Người mua trả tiền trước dài hạn,Người mua trả tiền trước dài hạn,2.790.936.400,-,(2.790.936.400),-,2790936400.0,,-2790936400.0,
Doanh thu chưa thực hiện dài hạn,BÀNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT > Doanh thu chưa thực hiện dài hạn,Doanh thu chưa thực hiện dài hạn,2.722.221.520,-,2.790.936.400,5.513.157.920,2722221520.0,,2790936400.0,5513157920.0
Lợi nhuận sau thuế chưa phân phối,BÀNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT > Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,58.671.666.727,(13.476.572.255),-,45.195.094.472,58671666727.0,-13476572255.0,,45195094472.0
Lợi ích cố đông không kiểm soát,BÀNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT > Lợi ích cố đông không kiểm soát,Lợi ích cố đông không kiểm soát,41.413.381.740,(33.775.870),-,41.379.605.870,41413381740.0,-33775870.0,,41379605870.0
BẢO CẢO KẾT QUẢ HOẠT ĐÔNG KINH DOANH HỢP NHẤT,BẢO CẢO KẾT QUẢ HOẠT ĐÔNG KINH DOANH HỢP NHẤT,BẢO CẢO KẾT QUẢ HOẠT ĐÔNG KINH DOANH HỢP NHẤT,BẢO CẢO KẾT QUẢ HOẠT ĐÔNG KINH DOANH HỢP NHẤT,BẢO CẢO KẾT QUẢ HOẠT ĐÔNG KINH DOANH HỢP NHẤT,BẢO CẢO KẾT QUẢ HOẠT ĐÔNG KINH DOANH HỢP NHẤT,BẢO CẢO KẾT QUẢ HOẠT ĐÔNG KINH DOANH HỢP NHẤT,,,,
Giá vốn hàng bán và dịch vụ cung cấp,BẢO CẢO KẾT QUẢ HOẠT ĐÔNG KINH DOANH HỢP NHẤT > Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,(1.690.937.870.040),(2.155.603.200),(4.605.021.587),(1.697.698.494.827),-1690937870040.0,-2155603200.0,-4605021587.0,-1697698494827.0
Chi phí quản lý doanh nghiệp,BẢO CẢO KẾT QUẢ HOẠT ĐÔNG KINH DOANH HỢP NHẤT > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,(49.762.537.472),(1.317.921.848),-,(51.080.459.320),-49762537472.0,-1317921848.0,,-51080459320.0
Chi phí khác,BẢO CẢO KẾT QUẢ HOẠT ĐÔNG KINH DOANH HỢP NHẤT > Chi phí khác,Chi phí khác,(6.871.867.018),(363.364.185),4.605.021.587,(2.630.209.616),-6871867018.0,-363364185.0,4605021587.0,-2630209616.0
Lỗ sau thuế của cố đông không kiểm soát,BẢO CẢO KẾT QUẢ HOẠT ĐÔNG KINH DOANH HỢP NHẤT > Lỗ sau thuế của cố đông không kiểm soát,Lỗ sau thuế của cố đông không kiểm soát,(734.610.634),(33.775.870),-,(768.386.504),-734610634.0,-33775870.0,,-768386504.0
