row_label_raw,row_label_full,col_0,Quả hạnTriệu đồng,Khôngchịu lãiTriệu đồng,Thời hạn định lại lãi suất,Thời hạn định lại lãi suất_1,Thời hạn định lại lãi suất_2,Thời hạn định lại lãi suất_3,Thời hạn định lại lãi suất_4,Thời hạn định lại lãi suất_5,Tổng cộngTriệu đồng,numeric__Quả hạnTriệu đồng,numeric__Khôngchịu lãiTriệu đồng,numeric__Thời hạn định lại lãi suất,numeric__Thời hạn định lại lãi suất_1,numeric__Thời hạn định lại lãi suất_2,numeric__Thời hạn định lại lãi suất_3,numeric__Thời hạn định lại lãi suất_4,numeric__Thời hạn định lại lãi suất_5,numeric__Tổng cộngTriệu đồng
Tổng tài sản,Tải sản > Tổng tài sản,Tổng tài sản,10.988.290,70.404.048,532.062.772,236.442.582,135.362.279,102.227.749,80.648.837,15.333.899,1.183.470.456,10988290.0,70404048.0,532062772.0,236442582.0,135362279.0,102227749.0,80648837.0,15333899.0,1183470456.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ Chính phủ và NHNN Việt Nam,Nợ phải trả > Các khoản nợ Chính phủ và NHNN Việt Nam,Các khoản nợ Chính phủ và NHNN Việt Nam,-,-,15.305,-,-,-,-,-,15.305,,,15305.0,,,,,,15305.0
"Tiền gửi và vay các Tổ chức tải chính, Tổ chức tin dụng khác","Nợ phải trả > Tiền gửi và vay các Tổ chức tải chính, Tổ chức tin dụng khác","Tiền gửi và vay các Tổ chức tải chính, Tổ chức tin dụng khác",-,-,186.559.375,30.653.249,36.843.626,10.987.780,-,-,265.044.030,,,186559375.0,30653249.0,36843626.0,10987780.0,,,265044030.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,190.379.485,148.871.600,178.314.036,105.119.179,8.661.486,375,631.346.161,,,190379485.0,148871600.0,178314036.0,105119179.0,8661486.0,375.0,631346161.0
Công cụ tải chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Công cụ tải chính phải sinh và các khoản nợ tài chính khác,Công cụ tải chính phải sinh và các khoản nợ tài chính khác,-,-,4.878.835,7.422.753,(2.247.864),(1.161.610),(7.934.894),-,957.220,,,4878835.0,7422753.0,-2247864.0,-1161610.0,-7934894.0,,957220.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,10.872,5.522,-,-,-,-,16.394,,,10872.0,5522.0,,,,,16394.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,10.113.926,1.630.000,11.128.883,67.714.900,-,90.587.709,,,,10113926.0,1630000.0,11128883.0,67714900.0,,90587709.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,25.526.951,-,-,-,-,-,-,25.526.951,,25526951.0,,,,,,,25526951.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,25.526.951,381.843.872,197.067.050,214.539.798,126.074.232,68.441.492,375,1.013.493.770,,25526951.0,381843872.0,197067050.0,214539798.0,126074232.0,68441492.0,375.0,1013493770.0
Mức chênh nhạy cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,10.988.290,44.877.097,150.218.900,39.375.532,(79.177.519),(23.846.483),12.207.345,15.333.524,169.976.686,10988290.0,44877097.0,150218900.0,39375532.0,-79177519.0,-23846483.0,12207345.0,15333524.0,169976686.0
Mức chênh nhạy cảm với lãi suất ngoại bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất ngoại bảng,Mức chênh nhạy cảm với lãi suất ngoại bảng,-,-,16.863.579,(457.373),796.224,(977.074),(16.225.356),-,-,,,16863579.0,-457373.0,796224.0,-977074.0,-16225356.0,,
"Mức chênh nhạy cảm với lãi suất nội, ngoại bảng","Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội, ngoại bảng","Mức chênh nhạy cảm với lãi suất nội, ngoại bảng",10.988.290,44.877.097,167.082.479,38.918.159,(78.381.295),(24.823.557),(4.018.011),15.333.524,169.976.686,10988290.0,44877097.0,167082479.0,38918159.0,-78381295.0,-24823557.0,-4018011.0,15333524.0,169976686.0
