row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm > 2025,Ngày 31 tháng 12 năm > 2025_1,Ngày 31 tháng 12 năm > 2024,Ngày 31 tháng 12 năm > 2024_1,numeric__Ngày 31 tháng 12 năm > 2025,numeric__Ngày 31 tháng 12 năm > 2025_1,numeric__Ngày 31 tháng 12 năm > 2024,numeric__Ngày 31 tháng 12 năm > 2024_1
Sản xuất phối thép,Sản xuất phối thép,Sản xuất phối thép,-,-,4.789,"0,00",,,4789.0,0.0
Sản xuất Inox và luyện kim khác,Sản xuất Inox và luyện kim khác,Sản xuất Inox và luyện kim khác,89.925,"0,04",84.256,"0,05",89925.0,0.04,84256.0,0.05
"Cơ khí, lắp ráp, chế tạo máy móc, ô tô, xemáy","Cơ khí, lắp ráp, chế tạo máy móc, ô tô, xemáy","Cơ khí, lắp ráp, chế tạo máy móc, ô tô, xemáy",4.672.517,"2,32",3.913.479,"2,24",4672517.0,2.32,3913479.0,2.24
"Sản xuất điện tử, thiết bị điện, máy vi tínhquang học, thiết bị viễn thông","Sản xuất điện tử, thiết bị điện, máy vi tínhquang học, thiết bị viễn thông","Sản xuất điện tử, thiết bị điện, máy vi tínhquang học, thiết bị viễn thông",2.997.376,"1,49",7.270.865,"4,16",2997376.0,1.49,7270865.0,4.16
"Đồng tàu, thuyền","Đồng tàu, thuyền","Đồng tàu, thuyền",10.149,"0,01",521,"0,00",10149.0,0.01,521.0,0.0
"Sản xuất thiết bị văn phòng, đồ gia dụng,thiết bị y tế, giáo dục, thể dục thể thao","Sản xuất thiết bị văn phòng, đồ gia dụng,thiết bị y tế, giáo dục, thể dục thể thao","Sản xuất thiết bị văn phòng, đồ gia dụng,thiết bị y tế, giáo dục, thể dục thể thao",234.342,"0,12",167.999,"0,10",234342.0,0.12,167999.0,0.1
"Sản xuất và phân phối điện, năng lượng,cung cấp nước, hoạt động quản lý và xử lýrác thải, nước thải","Sản xuất và phân phối điện, năng lượng,cung cấp nước, hoạt động quản lý và xử lýrác thải, nước thải","Sản xuất và phân phối điện, năng lượng,cung cấp nước, hoạt động quản lý và xử lýrác thải, nước thải",5.236.113,"2,60",5.083.131,"2,91",5236113.0,2.6,5083131.0,2.91
Xây dựng,Xây dựng,Xây dựng,19.800.759,"9,83",15.786.992,"9,04",19800759.0,9.83,15786992.0,9.04
Thương mại hàng công nghiệp nhẹ và hàngtiêu dùng,Thương mại hàng công nghiệp nhẹ và hàngtiêu dùng,Thương mại hàng công nghiệp nhẹ và hàngtiêu dùng,23.076.154,"11,47",19.990.140,"11,44",23076154.0,11.47,19990140.0,11.44
"Kinh doanh phân bón, hóa chất, các sànphẩm hóa chất khác, thuốc, hóa dược,dược liệu, thiết bị y tế","Kinh doanh phân bón, hóa chất, các sànphẩm hóa chất khác, thuốc, hóa dược,dược liệu, thiết bị y tế","Kinh doanh phân bón, hóa chất, các sànphẩm hóa chất khác, thuốc, hóa dược,dược liệu, thiết bị y tế",1.886.242,"0,94",1.662.526,"0,95",1886242.0,0.94,1662526.0,0.95
"Thương mại xăng, đầu, gas, khí đốt","Thương mại xăng, đầu, gas, khí đốt","Thương mại xăng, đầu, gas, khí đốt",1.418.293,"0,70",1.737.040,"0,99",1418293.0,0.7,1737040.0,0.99
"Kinh doanh sắt thép, xi măng, vật liệu xâydụng tổng hợp khác","Kinh doanh sắt thép, xi măng, vật liệu xâydụng tổng hợp khác","Kinh doanh sắt thép, xi măng, vật liệu xâydụng tổng hợp khác",9.646.788,"4,79",13.463.100,"7,71",9646788.0,4.79,13463100.0,7.71
Thương mại hàng công nghiệp nặng khác,Thương mại hàng công nghiệp nặng khác,Thương mại hàng công nghiệp nặng khác,4.659.173,"2,31",3.817.147,"2,18",4659173.0,2.31,3817147.0,2.18
Kinh doanh vận tải bộ và đường sông,Kinh doanh vận tải bộ và đường sông,Kinh doanh vận tải bộ và đường sông,6.015.874,"2,99",4.370.573,"2,50",6015874.0,2.99,4370573.0,2.5
Kinh doanh vận tải biển,Kinh doanh vận tải biển,Kinh doanh vận tải biển,1.626.106,"0,81",1.652.285,"0,95",1626106.0,0.81,1652285.0,0.95
"Kinh doanh dịch vụ khách sạn, du lịch, ănuống, vui chơi giải trí","Kinh doanh dịch vụ khách sạn, du lịch, ănuống, vui chơi giải trí","Kinh doanh dịch vụ khách sạn, du lịch, ănuống, vui chơi giải trí",344.296,"0,17",448.558,"0,26",344296.0,0.17,448558.0,0.26
Kinh doanh bất động sản và cơ sở hạ tầng,Kinh doanh bất động sản và cơ sở hạ tầng,Kinh doanh bất động sản và cơ sở hạ tầng,28.252.415,"14,03",16.883.000,"9,66",28252415.0,14.03,16883000.0,9.66
Kinh doanh dịch vụ bưu chính viễn thông,Kinh doanh dịch vụ bưu chính viễn thông,Kinh doanh dịch vụ bưu chính viễn thông,364.996,"0,18",327.385,"0,19",364996.0,0.18,327385.0,0.19
"Dịch vụ công nghệ, khoa học công nghệ,dịch vụ hành chính, hỗ trợ, giáo dục y tế,thống tin và truyền thông khác","Dịch vụ công nghệ, khoa học công nghệ,dịch vụ hành chính, hỗ trợ, giáo dục y tế,thống tin và truyền thông khác","Dịch vụ công nghệ, khoa học công nghệ,dịch vụ hành chính, hỗ trợ, giáo dục y tế,thống tin và truyền thông khác",9.562.717,"4,75",7.984.989,"4,57",9562717.0,4.75,7984989.0,4.57
Kinh doanh kho bãi và các dịch vụ hỗ trợ,Kinh doanh kho bãi và các dịch vụ hỗ trợ,Kinh doanh kho bãi và các dịch vụ hỗ trợ,593.791,"0,29",445.206,"0,25",593791.0,0.29,445206.0,0.25
Hoạt động tài chính và chứng khoán,Hoạt động tài chính và chứng khoán,Hoạt động tài chính và chứng khoán,5.220.081,"2,59",5.669.152,"3,24",5220081.0,2.59,5669152.0,3.24
Ngành khác,Ngành khác,Ngành khác,1.379.416,"0,68",2.282.421,"1,32",1379416.0,0.68,2282421.0,1.32
Cá nhân,Cá nhân,Cá nhân,58.699.120,"29,14",44.640.025,"25,55",58699120.0,29.14,44640025.0,25.55
,,,201.404.014,"100,00",174.718.888,"100,00",201404014.0,100.0,174718888.0,100.0
