row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2025Phải thu/(Phải trả)triệu đồng,Ngày 31 tháng 12năm 2024Phải thu/(Phải trả)triệu đồng,numeric__Ngày 31 tháng 12năm 2025Phải thu/(Phải trả)triệu đồng,numeric__Ngày 31 tháng 12năm 2024Phải thu/(Phải trả)triệu đồng
Tiền gửi không kỳ hạn,"Tập đoàn Bưu chính viễn thông Việt Nam (""VNPT"") – Cổ đông lớn > Tiền gửi không kỳ hạn",Tiền gửi không kỳ hạn,(59),(6.607),-59.0,-6607.0
Tiền gửi có kỳ hạn,"Tập đoàn Bưu chính viễn thông Việt Nam (""VNPT"") – Cổ đông lớn > Tiền gửi có kỳ hạn",Tiền gửi có kỳ hạn,(4.230.000),-,-4230000.0,
Phải trả lãi tiền gửi,"Tập đoàn Bưu chính viễn thông Việt Nam (""VNPT"") – Cổ đông lớn > Phải trả lãi tiền gửi",Phải trả lãi tiền gửi,(75.561),-,-75561.0,
CTCP Tập đoàn ROX – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Tập đoàn ROX – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Tập đoàn ROX – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Tập đoàn ROX – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Tập đoàn ROX – Bên liên quan của thành viên Hội đồng Quản trị,,
Tiền gửi không kỳ hạn,CTCP Tập đoàn ROX – Bên liên quan của thành viên Hội đồng Quản trị > Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,(6.136),(8.515),-6136.0,-8515.0
Tiền gửi có kỳ hạn,CTCP Tập đoàn ROX – Bên liên quan của thành viên Hội đồng Quản trị > Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,(760),(760),-760.0,-760.0
Phải trả lãi tiền gửi,CTCP Tập đoàn ROX – Bên liên quan của thành viên Hội đồng Quản trị > Phải trả lãi tiền gửi,Phải trả lãi tiền gửi,(3),(2),-3.0,-2.0
Tiền vay,CTCP Tập đoàn ROX – Bên liên quan của thành viên Hội đồng Quản trị > Tiền vay,Tiền vay,41,35,41.0,35.0
CTCP FamilyMart Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị,CTCP FamilyMart Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị,CTCP FamilyMart Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị,CTCP FamilyMart Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị,CTCP FamilyMart Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị,,
Tiền gửi không kỳ hạn,CTCP FamilyMart Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị > Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,(578),(705),-578.0,-705.0
Tiền vay,CTCP FamilyMart Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị > Tiền vay,Tiền vay,21,17,21.0,17.0
CTCP ROX Asset – Bên liên quan của thành viên Hội đồng Quản trị,CTCP ROX Asset – Bên liên quan của thành viên Hội đồng Quản trị,CTCP ROX Asset – Bên liên quan của thành viên Hội đồng Quản trị,CTCP ROX Asset – Bên liên quan của thành viên Hội đồng Quản trị,CTCP ROX Asset – Bên liên quan của thành viên Hội đồng Quản trị,,
Tiền gửi không kỳ hạn,CTCP ROX Asset – Bên liên quan của thành viên Hội đồng Quản trị > Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,(3),(449),-3.0,-449.0
CTCP ROX Living – Bên liên quan của thành viên Hội đồng Quản trị,CTCP ROX Living – Bên liên quan của thành viên Hội đồng Quản trị,CTCP ROX Living – Bên liên quan của thành viên Hội đồng Quản trị,CTCP ROX Living – Bên liên quan của thành viên Hội đồng Quản trị,CTCP ROX Living – Bên liên quan của thành viên Hội đồng Quản trị,,
Tiền gửi không kỳ hạn,CTCP ROX Living – Bên liên quan của thành viên Hội đồng Quản trị > Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,(1.256),(437),-1256.0,-437.0
Tiền vay,CTCP ROX Living – Bên liên quan của thành viên Hội đồng Quản trị > Tiền vay,Tiền vay,67,5,67.0,5.0
Các khoản phải thu khác,CTCP ROX Living – Bên liên quan của thành viên Hội đồng Quản trị > Các khoản phải thu khác,Các khoản phải thu khác,230,-,230.0,
"Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc, Ban kiểm soát và những người có liên quan của các thành viên này","Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc, Ban kiểm soát và những người có liên quan của các thành viên này","Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc, Ban kiểm soát và những người có liên quan của các thành viên này","Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc, Ban kiểm soát và những người có liên quan của các thành viên này","Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc, Ban kiểm soát và những người có liên quan của các thành viên này",,
Tiền gửi không kỳ hạn,"Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc, Ban kiểm soát và những người có liên quan của các thành viên này > Tiền gửi không kỳ hạn",Tiền gửi không kỳ hạn,(13.191),(13.085),-13191.0,-13085.0
Tiền gửi có kỳ hạn và chứng chỉ tiền gửi,"Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc, Ban kiểm soát và những người có liên quan của các thành viên này > Tiền gửi có kỳ hạn và chứng chỉ tiền gửi",Tiền gửi có kỳ hạn và chứng chỉ tiền gửi,(62.546),(60.977),-62546.0,-60977.0
Tiền vay,"Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc, Ban kiểm soát và những người có liên quan của các thành viên này > Tiền vay",Tiền vay,73.588,111.891,73588.0,111891.0
"Các khoản lãi, phí phải thu và các khoản phải thu khác","Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc, Ban kiểm soát và những người có liên quan của các thành viên này > Các khoản lãi, phí phải thu và các khoản phải thu khác","Các khoản lãi, phí phải thu và các khoản phải thu khác",376,499,376.0,499.0
Các khoản lãi phải trả và các khoản chờ thanh toán khác,"Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc, Ban kiểm soát và những người có liên quan của các thành viên này > Các khoản lãi phải trả và các khoản chờ thanh toán khác",Các khoản lãi phải trả và các khoản chờ thanh toán khác,(1.357),(645),-1357.0,-645.0
