row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Năm nay,Đơn vị tính: VNDNăm trước,numeric__Mã số,numeric__Năm nay,numeric__Đơn vị tính: VNDNăm trước
Tiền chi khác cho hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,(73.168.823.428),(51.176.168.027),17.0,-73168823428.0,-51176168027.0
Lưu chuyển tiền thuần từ hoạt động kinhdoanh,2. Điều chỉnh cho các khoản: > Lưu chuyển tiền thuần từ hoạt động kinhdoanh,Lưu chuyển tiền thuần từ hoạt động kinhdoanh,20,1.230.728.331.051,790.721.168.279,20.0,1230728331051.0,790721168279.0
II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
"1. Tiền chi mua sắm, xây dựng TSCĐ và các tàisản dài hạn khác","II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 1. Tiền chi mua sắm, xây dựng TSCĐ và các tàisản dài hạn khác","1. Tiền chi mua sắm, xây dựng TSCĐ và các tàisản dài hạn khác",21,(365.120.418.195),(367.096.554.508),21.0,-365120418195.0,-367096554508.0
"2. Tiền thu thanh lý, nhượng bán TSCĐ và các tàisản dài hạn khác","II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 2. Tiền thu thanh lý, nhượng bán TSCĐ và các tàisản dài hạn khác","2. Tiền thu thanh lý, nhượng bán TSCĐ và các tàisản dài hạn khác",22,58.080.913.148,49.564.651.805,22.0,58080913148.0,49564651805.0
"3. Tiền chi cho vay, mua công cụ nợ của đơn vịkhác","II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 3. Tiền chi cho vay, mua công cụ nợ của đơn vịkhác","3. Tiền chi cho vay, mua công cụ nợ của đơn vịkhác",23,(2.047.519.013.699),(371.341.695.000),23.0,-2047519013699.0,-371341695000.0
"4. Tiền thu hồi cho vay, bán lại các công cụ nợcủa đơn vị khác","II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 4. Tiền thu hồi cho vay, bán lại các công cụ nợcủa đơn vị khác","4. Tiền thu hồi cho vay, bán lại các công cụ nợcủa đơn vị khác",24,1.024.841.695.000,628.138.747.293,24.0,1024841695000.0,628138747293.0
5. Tiền chi đầu tư khác (*),II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 5. Tiền chi đầu tư khác (*),5. Tiền chi đầu tư khác (*),25,(51.381.375.305),-,25.0,-51381375305.0,
6. Tiền thu hồi đầu tư vốn vào đơn vị khác,II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 6. Tiền thu hồi đầu tư vốn vào đơn vị khác,6. Tiền thu hồi đầu tư vốn vào đơn vị khác,26,1.025.000.000,4.489.422.749,26.0,1025000000.0,4489422749.0
"7. Thu lãi tiền cho vay, cổ tức và lợi nhuận đượcchiai","II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 7. Thu lãi tiền cho vay, cổ tức và lợi nhuận đượcchiai","7. Thu lãi tiền cho vay, cổ tức và lợi nhuận đượcchiai",27,171.598.154.620,128.246.006.438,27.0,171598154620.0,128246006438.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,(1.208.475.044.431),72.000.578.777,30.0,-1208475044431.0,72000578777.0
