row_label_raw,row_label_full,col_0,Miền BắcTriệu đồng,Miền TrungTriệu đồng,Miền NamTriệu đồng,Tổng bộ phậnđã báo cáoTriệu đồng,Loại IrừTriệu đồng,Tổng cộngTriệu đồng,numeric__Miền BắcTriệu đồng,numeric__Miền TrungTriệu đồng,numeric__Miền NamTriệu đồng,numeric__Tổng bộ phậnđã báo cáoTriệu đồng,numeric__Loại IrừTriệu đồng,numeric__Tổng cộngTriệu đồng
Tiền mặt và vàng,TẢI SẢN > Tiền mặt và vàng,Tiền mặt và vàng,327.671,259.225,1.486.230,2.073.126,-,2.073.126,327671.0,259225.0,1486230.0,2073126.0,,2073126.0
Tiền gửi tai và cho vay NHNN Việt Nam và các TCTD khác,TẢI SẢN > Tiền gửi tai và cho vay NHNN Việt Nam và các TCTD khác,Tiền gửi tai và cho vay NHNN Việt Nam và các TCTD khác,35.153,10.159,36.243.429,36.288.741,,36.288.741,35153.0,10159.0,36243429.0,36288741.0,,36288741.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,TẢI SẢN > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,49.073,49.073,-,49.073,,,49073.0,49073.0,,49073.0
Cho vay khách hàng – gộp,TẢI SẢN > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,13.410.032,13.177.535,74.179.839,100.767.406,-,100.767.406,13410032.0,13177535.0,74179839.0,100767406.0,,100767406.0
Đầu tư – gộp,TẢI SẢN > Đầu tư – gộp,Đầu tư – gộp,-,-,16.948.419,16.948.419,-,16.948.419,,,16948419.0,16948419.0,,16948419.0
Tải sản cố định,TẢI SẢN > Tải sản cố định,Tải sản cố định,16.432,3.685,3.328.268,3.348.385,-,3.348.385,16432.0,3685.0,3328268.0,3348385.0,,3348385.0
Tải sản khác – gộp,TẢI SẢN > Tải sản khác – gộp,Tải sản khác – gộp,14.367.650,92.197,3.416.728,17.876.575,(14.221.805),3.654.770,14367650.0,92197.0,3416728.0,17876575.0,-14221805.0,3654770.0
TỔNG TẢI SẢN,TẢI SẢN > TỔNG TẢI SẢN,TỔNG TẢI SẢN,28.156.938,13.542.801,135.651.986,177.351.725,(14.221.805),163.129.920,28156938.0,13542801.0,135651986.0,177351725.0,-14221805.0,163129920.0
Nợ PHẢI TRẢ,Nợ PHẢI TRẢ,Nợ PHẢI TRẢ,,,,,-,,,,,,,
Các khoản nợ NHNN Việt Nam,Nợ PHẢI TRẢ > Các khoản nợ NHNN Việt Nam,Các khoản nợ NHNN Việt Nam,-,-,33.805,33.805,-,33.805,,,33805.0,33805.0,,33805.0
Tiền gửi và vay các TCTD khác,Nợ PHẢI TRẢ > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,288,13.874,6.306.200,6.320.362,-,6.320.362,288.0,13874.0,6306200.0,6320362.0,,6320362.0
Tiền gửi của khách hàng,Nợ PHẢI TRẢ > Tiền gửi của khách hàng,Tiền gửi của khách hàng,27.105.419,9.269.553,97.542.768,133.917.740,-,133.917.740,27105419.0,9269553.0,97542768.0,133917740.0,,133917740.0
Nợ phải trả khác,Nợ PHẢI TRẢ > Nợ phải trả khác,Nợ phải trả khác,630.127,4.122.452,12.813.006,17.565.585,(14.221.805),3.343.780,630127.0,4122452.0,12813006.0,17565585.0,-14221805.0,3343780.0
TỔNG Nợ PHẢI TRẢ,Nợ PHẢI TRẢ > TỔNG Nợ PHẢI TRẢ,TỔNG Nợ PHẢI TRẢ,27.735.834,13.405.879,116.695.779,157.837.492,(14.221.805),143.615.687,27735834.0,13405879.0,116695779.0,157837492.0,-14221805.0,143615687.0
