row_label_raw,row_label_full,col_0,Quá hạnVND,Đến 01 nămVND,Từ 01 – 05 nămVND,Trên 05 nămVND,Tổng cộngVND,numeric__Quá hạnVND,numeric__Đến 01 nămVND,numeric__Từ 01 – 05 nămVND,numeric__Trên 05 nămVND,numeric__Tổng cộngVND
NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,,,,,
Vay ngắn hạn,NỘ TÀI CHÍNH > Vay ngắn hạn,Vay ngắn hạn,-,427.000.000.000,-,-,427.000.000.000,,427000000000.0,,,427000000000.0
Phải trả hoạt động kinh doanh chứng khoán,NỘ TÀI CHÍNH > Phải trả hoạt động kinh doanh chứng khoán,Phải trả hoạt động kinh doanh chứng khoán,-,4.176.063.812,-,-,4.176.063.812,,4176063812.0,,,4176063812.0
Phải trả người bán ngắn hạn,NỘ TÀI CHÍNH > Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,-,7.488.668.464,-,-,7.488.668.464,,7488668464.0,,,7488668464.0
Người mua trả tiền trước ngắn hạn,NỘ TÀI CHÍNH > Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,-,2.409.002.000,-,-,2.409.002.000,,2409002000.0,,,2409002000.0
Thuế và các khoản phải nộp Nhà nước,NỘ TÀI CHÍNH > Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,-,14.364.889.406,-,-,14.364.889.406,,14364889406.0,,,14364889406.0
Chi phí phải trả ngắn hạn,NỘ TÀI CHÍNH > Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,-,80.292.797.998,-,-,80.292.797.998,,80292797998.0,,,80292797998.0
"Phải trả, phải nộp khác","NỘ TÀI CHÍNH > Phải trả, phải nộp khác","Phải trả, phải nộp khác",-,12.746.017.646,-,-,12.746.017.646,,12746017646.0,,,12746017646.0
"Nhận ký quỹ, ký cược ngắn hạn","NỘ TÀI CHÍNH > Nhận ký quỹ, ký cược ngắn hạn","Nhận ký quỹ, ký cược ngắn hạn",-,916.732.952.769,-,-,916.732.952.769,,916732952769.0,,,916732952769.0
Quỹ khen thưởng phúc lợi,NỘ TÀI CHÍNH > Quỹ khen thưởng phúc lợi,Quỹ khen thưởng phúc lợi,-,-,-,1.182.140.150,1.182.140.150,,,,1182140150.0,1182140150.0
Trái phiếu phát hành dài hạn,NỘ TÀI CHÍNH > Trái phiếu phát hành dài hạn,Trái phiếu phát hành dài hạn,-,-,846.581.816.346,-,846.581.816.346,,,846581816346.0,,846581816346.0
"Nhận ký quỹ, ký cược dài hạn","NỘ TÀI CHÍNH > Nhận ký quỹ, ký cược dài hạn","Nhận ký quỹ, ký cược dài hạn",-,-,1.373.385.670,-,1.373.385.670,,,1373385670.0,,1373385670.0
Tổng cộng,NỘ TÀI CHÍNH > Tổng cộng,Tổng cộng,-,1.465.210.392.095,847.955.202.016,1.182.140.150,2.314.347.734.261,,1465210392095.0,847955202016.0,1182140150.0,2314347734261.0
Mức chênh lệch thanh khoản ròng,NỘ TÀI CHÍNH > Mức chênh lệch thanh khoản ròng,Mức chênh lệch thanh khoản ròng,250.779.404.529,2.301.857.248.739,(766.677.540.217),46.522.168.394,1.832.481.281.445,250779404529.0,2301857248739.0,-766677540217.0,46522168394.0,1832481281445.0
,,,,64,,,,,64.0,,,
