row_label_raw,row_label_full,TÀI SẢN,TÀI SẢN_1,Mã số,Thuyết minh,31/12/2021,Đơn vị tính: VND01/01/2021,numeric__TÀI SẢN_1,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2021,numeric__Đơn vị tính: VND01/01/2021
II,II,II,Tài sản cố định,220,,1.444.167.991.026,1.346.032.537.254,,220.0,,1444167991026.0,1346032537254.0
1,1,1,Tài sản cố định hữu hình,221,V.8.,1.394.537.259.760,1.302.667.555.611,,221.0,,1394537259760.0,1302667555611.0
-,-,-,Nguyên giá,222,,1.715.276.091.730,1.556.910.558.463,,222.0,,1715276091730.0,1556910558463.0
-,-,-,Giá trị hao mòn luy kế,223,,(320.738.831.970),(254.243.002.852),,223.0,,-320738831970.0,-254243002852.0
2,2,2,Tài sản cố định thuê tài chính,224,V.10.,-,4.153.685.775,,224.0,,,4153685775.0
-,-,-,Nguyên giá,225,,-,10.604.545.454,,225.0,,,10604545454.0
-,-,-,Giá trị hao mòn luy kế,226,,-,(6.450.859.679),,226.0,,,-6450859679.0
3,3,3,Tài sản cố định vô hình,227,V.9.,49.630.731.266,39.211.295.868,,227.0,,49630731266.0,39211295868.0
-,-,-,Nguyên giá,228,,65.649.827.455,50.815.024.549,,228.0,,65649827455.0,50815024549.0
-,-,-,Giá trị hao mòn luy kế,229,,(16.019.096.189),(11.603.728.681),,229.0,,-16019096189.0,-11603728681.0
III,III,III,Bất động sản đầu tư,230,V.11.,734.956.993.003,813.075.312.679,,230.0,,734956993003.0,813075312679.0
-,-,-,Nguyên giá,231,,826.681.837.983,885.826.794.084,,231.0,,826681837983.0,885826794084.0
-,-,-,Giá trị hao mòn luy kế,232,,(91.724.844.980),(72.751.481.405),,232.0,,-91724844980.0,-72751481405.0
IV,IV,IV,Tài sản dở dang dài hạn,240,V.12.,2.121.591.044.273,2.338.095.559.133,,240.0,,2121591044273.0,2338095559133.0
1,1,1,Chi phí xây dựng cơ bản dở dang,242,,2.121.591.044.273,2.338.095.559.133,,242.0,,2121591044273.0,2338095559133.0
V,V,V,Đầu tư tài chính dài hạn,250,V.2.,1.600.000.000,1.600.000.000,,250.0,,1600000000.0,1600000000.0
1,1,1,Đầu tư góp vốn vào đơn vị khác,253,,1.600.000.000,1.600.000.000,,253.0,,1600000000.0,1600000000.0
VI,VI,VI,Tài sản dài hạn khác,260,,174.638.158.337,426.411.474.929,,260.0,,174638158337.0,426411474929.0
1,1,1,Chi phí trả trước dài hạn,261,V.13.,62.351.632.792,85.977.471.614,,261.0,,62351632792.0,85977471614.0
2,2,2,Tài sản thuế thu nhập hoãn lại,262,,21.042.926.131,16.155.894.057,,262.0,,21042926131.0,16155894057.0
3,3,3,Lợi thế thương mại,269,V.18.,91.243.599.414,324.278.109.258,,269.0,,91243599414.0,324278109258.0
,,,TỔNG CỘNG TÀI SẢN (270=100+200),270,,7.050.051.693.659,7.438.270.078.385,,270.0,,7050051693659.0,7438270078385.0
