row_label_raw,row_label_full,Khoản mục,Số đã trình bày,Điều chỉnh,Số trình bày lại,numeric__Số đã trình bày,numeric__Điều chỉnh,numeric__Số trình bày lại
Các khoản phải thu,BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT > Các khoản phải thu,Các khoản phải thu,22.728.033,6.793,22.734.826,22728033.0,6793.0,22734826.0
"Các khoản lãi, phí phải thu","BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT > Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",13.016.124,(109.946),12.906.178,13016124.0,-109946.0,12906178.0
Tài sản Có khác,BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT > Tài sản Có khác,Tài sản Có khác,3.212.892,2.003,3.214.895,3212892.0,2003.0,3214895.0
TỔNG TÀI SẢN,BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT > TỔNG TÀI SẢN,TỔNG TÀI SẢN,2.120.609.384,67.327,2.120.676.711,2120609384.0,67327.0,2120676711.0
Các khoản nợ khác,BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT > Các khoản nợ khác,Các khoản nợ khác,42.557.996,138.817,42.696.813,42557996.0,138817.0,42696813.0
Các khoản phải trả và công nợ khác,BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT > Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,16.408.992,138.817,16.547.809,16408992.0,138817.0,16547809.0
Vốn và các quỹ,BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT > Vốn và các quỹ,Vốn và các quỹ,104.189.995,(71.490),104.118.505,104189995.0,-71490.0,104118505.0
Lợi nhuận chưa phân phối,BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT > Lợi nhuận chưa phân phối,Lợi nhuận chưa phân phối,21.576.100,(72.589),21.503.511,21576100.0,-72589.0,21503511.0
Lợi ích cố đông không kiểm soát,BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT > Lợi ích cố đông không kiểm soát,Lợi ích cố đông không kiểm soát,4.722.139,1.099,4.723.238,4722139.0,1099.0,4723238.0
TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT > TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,2.120.609.384,67.327,2.120.676.711,2120609384.0,67327.0,2120676711.0
Khoản mục,Khoản mục,Khoản mục,Số đã trình bày,Điều chỉnh,Số trình bày lại,,,
CÁC CHỈ TIÊU NGOÀI BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT,CÁC CHỈ TIÊU NGOÀI BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT,CÁC CHỈ TIÊU NGOÀI BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT,CÁC CHỈ TIÊU NGOÀI BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT,CÁC CHỈ TIÊU NGOÀI BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT,CÁC CHỈ TIÊU NGOÀI BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT,,,
Bảo lãnh khác,CÁC CHỈ TIÊU NGOÀI BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT > Bảo lãnh khác,Bảo lãnh khác,181.453.905,(13.987),181.439.918,181453905.0,-13987.0,181439918.0
Lãi cho vay và phí phải thu chưa thu được,CÁC CHỈ TIÊU NGOÀI BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT > Lãi cho vay và phí phải thu chưa thu được,Lãi cho vay và phí phải thu chưa thu được,13.490.033,110.008,13.600.041,13490033.0,110008.0,13600041.0
Nợ khó đòi đã xử lý,CÁC CHỈ TIÊU NGOÀI BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT > Nợ khó đòi đã xử lý,Nợ khó đòi đã xử lý,194.266.771,(3.731),194.263.040,194266771.0,-3731.0,194263040.0
Nợ gốc của các khoản nợ khó đòi đã xử lý,CÁC CHỈ TIÊU NGOÀI BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT > Nợ gốc của các khoản nợ khó đòi đã xử lý,Nợ gốc của các khoản nợ khó đòi đã xử lý,99.410.360,(3.731),99.406.629,99410360.0,-3731.0,99406629.0
