row_label_raw,row_label_full,Họ và tên,Chức vụ,Năm nay,Năm trước,Ghi chú,numeric__Chức vụ,numeric__Năm nay,numeric__Năm trước,numeric__Ghi chú
Ông Nguyễn Thiên Hoàng,"Lương, thưởng > Ông Nguyễn Thiên Hoàng",Ông Nguyễn Thiên Hoàng,Phó Tổng Giám đốc,1.811,1.667,,,1811.0,1667.0,
Ông Trần Long,"Lương, thưởng > Ông Trần Long",Ông Trần Long,Phó Tổng Giám đốc,1.641,1.526,,,1641.0,1526.0,
Bà Nguyễn Thị Quỳnh Giao,"Lương, thưởng > Bà Nguyễn Thị Quỳnh Giao",Bà Nguyễn Thị Quỳnh Giao,Phó Tổng Giám đốc,1.641,1.526,,,1641.0,1526.0,
Ông Phan Thanh Hải,"Lương, thưởng > Ông Phan Thanh Hải",Ông Phan Thanh Hải,Phó Tổng Giám đốc,1.625,1.467,,,1625.0,1467.0,
Ông Hoàng Việt Hùng,"Lương, thưởng > Ông Hoàng Việt Hùng",Ông Hoàng Việt Hùng,Phó Tổng Giám đốc,1.641,1.526,,,1641.0,1526.0,
THÀNH VIÊN BAN KIỂM SOÁT,THÀNH VIÊN BAN KIỂM SOÁT,THÀNH VIÊN BAN KIỂM SOÁT,THÀNH VIÊN BAN KIỂM SOÁT,THÀNH VIÊN BAN KIỂM SOÁT,THÀNH VIÊN BAN KIỂM SOÁT,THÀNH VIÊN BAN KIỂM SOÁT,,,,
"Thù lao, thưởng","Thù lao, thưởng","Thù lao, thưởng","Thù lao, thưởng","Thù lao, thưởng","Thù lao, thưởng","Thù lao, thưởng",,,,
Bà Võ Bích Hà,"Thù lao, thưởng > Bà Võ Bích Hà",Bà Võ Bích Hà,Trưởng Ban Kiểm soát,-,1.487,Nghĩ hưu theo chế độ từ ngày 01 tháng 12 năm 2022,,,1487.0,
Bà Tạ Thị Hạnh,"Thù lao, thưởng > Bà Tạ Thị Hạnh",Bà Tạ Thị Hạnh,Trưởng Ban Kiểm soát,1.818,1.625,Miễn nhiệm Kế toán trưởng ngày 30 tháng 01 năm 2024; Bố nhiệm Trường Ban Kiểm soát ngày 30 tháng 01 năm 2024,,1818.0,1625.0,
Ông Cao Cự Trí,"Thù lao, thưởng > Ông Cao Cự Trí",Ông Cao Cự Trí,Thành viên,1.487,1.095,,,1487.0,1095.0,
Bà Nguyễn Thị Thu Hà,"Thù lao, thưởng > Bà Nguyễn Thị Thu Hà",Bà Nguyễn Thị Thu Hà,Thành viên chuyên trách,974,898,,,974.0,898.0,
