row_label_raw,row_label_full,col_0,Không chịu lãi,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Trong hạn_5,Tổng,numeric__Không chịu lãi,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Trong hạn_5,numeric__Tổng
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,5.328.025,-,-,-,-,-,-,-,-,5.328.025,5328025.0,,,,,,,,,5328025.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),37.108.419,39.438,3.402.131,795.511,2.149.235,2.938.990,650.392,-,-,47.084.116,37108419.0,39438.0,3402131.0,795511.0,2149235.0,2938990.0,650392.0,,,47084116.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,71.997.713,15.631.049,8.782.378,227.457.799,319.091.284,38.901.603,24.253.615,26.103.370,24.740.360,756.959.171,71997713.0,15631049.0,8782378.0,227457799.0,319091284.0,38901603.0,24253615.0,26103370.0,24740360.0,756959171.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,
Các khoản nợ Chính phủ và Ngân hàng Trung ương,Nợ phải trả > Các khoản nợ Chính phủ và Ngân hàng Trung ương,Các khoản nợ Chính phủ và Ngân hàng Trung ương,-,-,-,-,10.077,-,1.232.787,-,-,1.242.864,,,,,10077.0,,1232787.0,,,1242864.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,-,106.112.370,21.485.112,4.301.592,1.703.434,467.440,21.042,134.090.990,,,,106112370.0,21485112.0,4301592.0,1703434.0,467440.0,21042.0,134090990.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,120.123.781,105.468.656,134.031.591,115.180.277,25.075.372,16.894,499.896.571,,,,120123781.0,105468656.0,134031591.0,115180277.0,25075372.0,16894.0,499896571.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Nợ phải trả > Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),61.927,-,-,-,-,-,-,-,-,61.927,61927.0,,,,,,,,,61927.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,220.371,31.268,47.794,119.586,576.687,433.944,1.429.650,,,,220371.0,31268.0,47794.0,119586.0,576687.0,433944.0,1429650.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,2.355.138,4.577.426,14.425.646,13.889.972,4.000.013,-,39.248.195,,,,2355138.0,4577426.0,14425646.0,13889972.0,4000013.0,,39248195.0
Các khoản nợ khác (*),Nợ phải trả > Các khoản nợ khác (*),Các khoản nợ khác (*),13.440.528,-,-,-,-,-,-,-,-,13.440.528,13440528.0,,,,,,,,,13440528.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,13.502.455,-,-,228.811.660,131.572.539,152.806.623,132.126.056,30.119.512,471.880,689.410.725,13502455.0,,,228811660.0,131572539.0,152806623.0,132126056.0,30119512.0,471880.0,689410725.0
Mức chênh nhạy cảm với lãi suất nội bằng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bằng,Mức chênh nhạy cảm với lãi suất nội bằng,58.495.258,15.631.049,8.782.378,(1.353.861),187.518.745,(113.905.020),(107.872.441),(4.016.142),24.268.480,67.548.446,58495258.0,15631049.0,8782378.0,-1353861.0,187518745.0,-113905020.0,-107872441.0,-4016142.0,24268480.0,67548446.0
Các cam kết ngoại bằng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ,Nợ phải trả > Các cam kết ngoại bằng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ,Các cam kết ngoại bằng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ,264,-,-,-,-,-,-,-,-,264,264.0,,,,,,,,,264.0
"Mức chênh nhạy cảm với lãi suất nội, ngoại bằng","Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội, ngoại bằng","Mức chênh nhạy cảm với lãi suất nội, ngoại bằng",58.495.522,15.631.049,8.782.378,(1.353.861),187.518.745,(113.905.020),(107.872.441),(4.016.142),24.268.480,67.548.710,58495522.0,15631049.0,8782378.0,-1353861.0,187518745.0,-113905020.0,-107872441.0,-4016142.0,24268480.0,67548710.0
