row_label_raw,row_label_full,col_0,Giá gốcVND,Dự phòngVND,Số cuối nămGiá trị có thể thu hồi (*)VND,Giá gốcVND_1,Dự phòngVND_1,Số đầu nămGiá trị có thể thu hồi (*)VND,numeric__Giá gốcVND,numeric__Dự phòngVND,numeric__Số cuối nămGiá trị có thể thu hồi (*)VND,numeric__Giá gốcVND_1,numeric__Dự phòngVND_1,numeric__Số đầu nămGiá trị có thể thu hồi (*)VND
Từ 2 năm đến dưới 3 năm,Trên 3 năm > Từ 2 năm đến dưới 3 năm,Từ 2 năm đến dưới 3 năm,-,-,-,40.098.227.943,28.068.759.560,12.029.468.383,,,,40098227943.0,28068759560.0,12029468383.0
Từ 1 năm đến dưới 2 năm,Trên 3 năm > Từ 1 năm đến dưới 2 năm,Từ 1 năm đến dưới 2 năm,-,-,-,72.661.863.320,36.330.931.660,36.330.931.660,,,,72661863320.0,36330931660.0,36330931660.0
Từ 6 tháng đến dưới 1 năm,Trên 3 năm > Từ 6 tháng đến dưới 1 năm,Từ 6 tháng đến dưới 1 năm,-,-,-,53.673.922.352,16.102.176.706,37.571.745.646,,,,53673922352.0,16102176706.0,37571745646.0
c) Phải thu ngắn hạn khác,Trên 3 năm > c) Phải thu ngắn hạn khác,c) Phải thu ngắn hạn khác,61.083.108.031,61.083.108.031,-,61.083.108.031,61.083.108.031,-,61083108031.0,61083108031.0,,61083108031.0,61083108031.0,
Công ty Cổ phần Phát triển Đô thị Dầu khí,Trên 3 năm > Công ty Cổ phần Phát triển Đô thị Dầu khí,Công ty Cổ phần Phát triển Đô thị Dầu khí,56.212.500.000,56.212.500.000,-,56.212.500.000,56.212.500.000,-,56212500000.0,56212500000.0,,56212500000.0,56212500000.0,
Trên 3 năm,Trên 3 năm > Trên 3 năm,Trên 3 năm,56.212.500.000,56.212.500.000,-,50.000.000.000,50.000.000.000,-,56212500000.0,56212500000.0,,50000000000.0,50000000000.0,
Từ 2 năm đến dưới 3 năm,Trên 3 năm > Từ 2 năm đến dưới 3 năm,Từ 2 năm đến dưới 3 năm,-,-,-,6.212.500.000,6.212.500.000,-,,,,6212500000.0,6212500000.0,
Công ty Cổ phần Xây lắp Dầu khí 2,Trên 3 năm > Công ty Cổ phần Xây lắp Dầu khí 2,Công ty Cổ phần Xây lắp Dầu khí 2,4.870.608.031,4.870.608.031,-,4.870.608.031,4.870.608.031,-,4870608031.0,4870608031.0,,4870608031.0,4870608031.0,
Trên 3 năm,Trên 3 năm > Trên 3 năm,Trên 3 năm,4.870.608.031,4.870.608.031,-,4.870.608.031,4.870.608.031,-,4870608031.0,4870608031.0,,4870608031.0,4870608031.0,
,,,3.442.697.082.435,2.332.239.888.361,1.110.457.194.074,5.669.294.639.373,2.768.794.271.757,2.900.500.367.616,3442697082435.0,2332239888361.0,1110457194074.0,5669294639373.0,2768794271757.0,2900500367616.0
