row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm 2019 > VND,Từ ngày 01/11/2018 đến 31/12/2018 > VND,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm 2019 > VND,numeric__Từ ngày 01/11/2018 đến 31/12/2018 > VND
15,2. Điều chỉnh cho các khoản > 15,15,Thuế thu nhập doanh nghiệp đã nộp,,(28.144.743.461),-,,,-28144743461.0,
17,2. Điều chỉnh cho các khoản > 17,17,Tiền chí khác cho hoạt động kinh doanh,,(4.817.990.081),-,,,-4817990081.0,
20,2. Điều chỉnh cho các khoản > 20,20,Lưu chuyển tiền thuần từ hoạt động kinh doanh,,(615.344.110.765),(381.084.931.461),,,-615344110765.0,-381084931461.0
II. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
21,II. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 21,21,"Tiền chỉ để mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác",,(1.726.179.445),(6.600.555),,,-1726179445.0,-6600555.0
23,II. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 23,23,"Tiền chỉ cho vay, mua các công cụ nợ của đơn vị khác",,(30.000.000.000),(9.000.000.000),,,-30000000000.0,-9000000000.0
24,II. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 24,24,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",,22.254.732.240,147.380.945.970,,,22254732240.0,147380945970.0
25,II. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 25,25,Tiền chỉ đầu tư góp vốn vào đơn vị khác,,-,(203.015.040.000),,,,-203015040000.0
26,II. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 26,26,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,203.015.040.000,-,,,203015040000.0,
27,II. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 27,27,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được",,539.249.332.075,1.002.060.230,,,539249332075.0,1002060230.0
20,II. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 20,20,Lưu chuyển tiền thuần từ hoạt động đầu tư,,732.792.924.870,(63.638.634.355),,,732792924870.0,-63638634355.0
