row_label_raw,row_label_full,CHÍ TIÊU,Mã số,Thuyếtmlnh,31/12/2024VND,01/01/2024VND,numeric__Mã số,numeric__Thuyếtmlnh,numeric__31/12/2024VND,numeric__01/01/2024VND
2. Trá trước cho người bán ngắn hạn,TÀI SẢN > 2. Trá trước cho người bán ngắn hạn,2. Trá trước cho người bán ngắn hạn,132,5.3,1.149.112.923.939,1.085.691.012.027,132.0,53.0,1149112923939.0,1085691012027.0
3. Phải thu nổl bộ ngắn hạn,TÀI SẢN > 3. Phải thu nổl bộ ngắn hạn,3. Phải thu nổl bộ ngắn hạn,133,,-,-,133.0,,,
4. Phải thu theo tiến độ kế hoạch hợpđồng xây dựng,TÀI SẢN > 4. Phải thu theo tiến độ kế hoạch hợpđồng xây dựng,4. Phải thu theo tiến độ kế hoạch hợpđồng xây dựng,134,5.4,2.260.215.162.259,3.082.749.777.246,134.0,54.0,2260215162259.0,3082749777246.0
5. Phải thu về cho vay ngắn hạn,TÀI SẢN > 5. Phải thu về cho vay ngắn hạn,5. Phải thu về cho vay ngắn hạn,135,5.5,257.190.569.857,66.992.144.281,135.0,55.0,257190569857.0,66992144281.0
6. Phải thu ngắn hạn khác,TÀI SẢN > 6. Phải thu ngắn hạn khác,6. Phải thu ngắn hạn khác,136,5.6,2.391.412.491.045,1.678.209.750.074,136.0,56.0,2391412491045.0,1678209750074.0
7. Dự phòng phải thu ngắn hạn khó đòi,TÀI SẢN > 7. Dự phòng phải thu ngắn hạn khó đòi,7. Dự phòng phải thu ngắn hạn khó đòi,137,5.7,(1.897.075.557.883),(2.476.507.836.278),137.0,57.0,-1897075557883.0,-2476507836278.0
8. Tài sản thiếu chờ xử lý,TÀI SẢN > 8. Tài sản thiếu chờ xử lý,8. Tài sản thiếu chờ xử lý,139,,-,-,139.0,,,
III. Hàng tồn kho,TÀI SẢN > III. Hàng tồn kho,III. Hàng tồn kho,140,5.9,2.357.127.255.268,2.278.108.073.684,140.0,59.0,2357127255268.0,2278108073684.0
1. Hàng tồn kho,TÀI SẢN > 1. Hàng tồn kho,1. Hàng tồn kho,141,,2.396.702.177.680,2.333.547.446.966,141.0,,2396702177680.0,2333547446966.0
2. Dự phòng giảm giá hàng tồn kho,TÀI SẢN > 2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,149,,(39.574.922.412),(55.439.373.282),149.0,,-39574922412.0,-55439373282.0
IV. Tài sản ngắn hạn khác,TÀI SẢN > IV. Tài sản ngắn hạn khác,IV. Tài sản ngắn hạn khác,150,,82.986.989.505,97.105.112.652,150.0,,82986989505.0,97105112652.0
1. Chi phí trả trước ngắn hạn,TÀI SẢN > 1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,5.11,15.675.228.907,15.982.341.307,151.0,511.0,15675228907.0,15982341307.0
2. Thuế GTGT được khấu trừ,TÀI SẢN > 2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,152,,62.572.707.775,76.686.829.835,152.0,,62572707775.0,76686829835.0
3. Thuế và các khoản khác phải thu Nhà nước,TÀI SẢN > 3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,153,5.20,4.739.052.823,4.435.941.510,153.0,520.0,4739052823.0,4435941510.0
4. Giao dịch mua bản lại trái phiếu Chính phủ,TÀI SẢN > 4. Giao dịch mua bản lại trái phiếu Chính phủ,4. Giao dịch mua bản lại trái phiếu Chính phủ,154,,-,-,154.0,,,
5. Tài sản ngắn hạn khác,TÀI SẢN > 5. Tài sản ngắn hạn khác,5. Tài sản ngắn hạn khác,155,,-,-,155.0,,,
