row_label_raw,row_label_full,Đơn vị: triệu VND > I. Kết quả kinh doanh bộ phận,Đơn vị: triệu VND > Nước ngoài,Đơn vị: triệu VND > Việt Nam > Miền Bắc,Đơn vị: triệu VND > Việt Nam > Miền Trung,Đơn vị: triệu VND > Việt Nam > Miền Nam,Đơn vị: triệu VND > Tổng cộng,numeric__Đơn vị: triệu VND > Nước ngoài,numeric__Đơn vị: triệu VND > Việt Nam > Miền Bắc,numeric__Đơn vị: triệu VND > Việt Nam > Miền Trung,numeric__Đơn vị: triệu VND > Việt Nam > Miền Nam,numeric__Đơn vị: triệu VND > Tổng cộng
Tổng lợi nhuận trước thuế,Tổng lợi nhuận trước thuế,Tổng lợi nhuận trước thuế,191.948,1.116.150,253.542,363.671,1.925.311,191948.0,1116150.0,253542.0,363671.0,1925311.0
II. Tài sản,II. Tài sản,II. Tài sản,,,,,,,,,,
"1. Tiền mặt, vàng","II. Tài sản > 1. Tiền mặt, vàng","1. Tiền mặt, vàng",49.850,1.014.234,118.504,263.960,1.446.548,49850.0,1014234.0,118504.0,263960.0,1446548.0
2. Tiền gửi tại NHNN,II. Tài sản > 2. Tiền gửi tại NHNN,2. Tiền gửi tại NHNN,771.700,2.961.064,3.736,6.159,3.742.659,771700.0,2961064.0,3736.0,6159.0,3742659.0
3. Tiền gửi và cho vay các TCTD khác,II. Tài sản > 3. Tiền gửi và cho vay các TCTD khác,3. Tiền gửi và cho vay các TCTD khác,1.028.993,32.482.469,1.441,613,33.513.516,1028993.0,32482469.0,1441.0,613.0,33513516.0
4. Cho vay và ứng trước khách hàng,II. Tài sản > 4. Cho vay và ứng trước khách hàng,4. Cho vay và ứng trước khách hàng,5.660.999,139.157.737,17.376.168,33.246.647,195.441.551,5660999.0,139157737.0,17376168.0,33246647.0,195441551.0
5. Đầu tư tài chính,II. Tài sản > 5. Đầu tư tài chính,5. Đầu tư tài chính,1.370,21.559.374,-,-,21.560.744,1370.0,21559374.0,,,21560744.0
6. Tài sản cố định,II. Tài sản > 6. Tài sản cố định,6. Tài sản cố định,21.195,3.887.117,15.405,28.600,3.952.317,21195.0,3887117.0,15405.0,28600.0,3952317.0
7. Tài sản khác,II. Tài sản > 7. Tài sản khác,7. Tài sản khác,767.927,23.584.928,228.476,1.771.415,26.352.746,767927.0,23584928.0,228476.0,1771415.0,26352746.0
Tổng tài sản,II. Tài sản > Tổng tài sản,Tổng tài sản,8.302.034,224.646.923,17.743.730,35.317.394,286.010.081,8302034.0,224646923.0,17743730.0,35317394.0,286010081.0
III. Nợ phải trả,III. Nợ phải trả,III. Nợ phải trả,,,,,,,,,,
1. Tiền gửi và vay các TCTD khác,III. Nợ phải trả > 1. Tiền gửi và vay các TCTD khác,1. Tiền gửi và vay các TCTD khác,385.187,55.372.994,543,38,55.758.762,385187.0,55372994.0,543.0,38.0,55758762.0
2. Tiền gửi khách hàng,III. Nợ phải trả > 2. Tiền gửi khách hàng,2. Tiền gửi khách hàng,710.597,146.056.773,13.740.270,34.382.130,194.889.770,710597.0,146056773.0,13740270.0,34382130.0,194889770.0
3. Huy động khác,III. Nợ phải trả > 3. Huy động khác,3. Huy động khác,-,13.355.681,2.654.299,21.450,16.031.430,,13355681.0,2654299.0,21450.0,16031430.0
4. Nợ phải trả khác,III. Nợ phải trả > 4. Nợ phải trả khác,4. Nợ phải trả khác,69.292,3.745.073,274.427,550.107,4.638.899,69292.0,3745073.0,274427.0,550107.0,4638899.0
Tổng nợ phải trả,III. Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,1.165.076,218.530.521,16.669.539,34.953.725,271.318.861,1165076.0,218530521.0,16669539.0,34953725.0,271318861.0
