row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,Năm kết thúc ngày > 30/9/2021 VND,Năm kết thúc ngày > 30/9/2020 VND,numeric__Mã số,numeric__Thuyết minh,numeric__Năm kết thúc ngày > 30/9/2021 VND,numeric__Năm kết thúc ngày > 30/9/2020 VND
Biến động hàng tồn kho,(Lãi)/lỗ chênh lệch tỷ giá do đánh giá lại > Biến động hàng tồn kho,Biến động hàng tồn kho,10,,(3.443.191.373.178),(922.226.907.987),10.0,,-3443191373178.0,-922226907987.0
Biến động các khoản phải trả và nợ phải trả khác,(Lãi)/lỗ chênh lệch tỷ giá do đánh giá lại > Biến động các khoản phải trả và nợ phải trả khác,Biến động các khoản phải trả và nợ phải trả khác,11,,5.901.843.863.791,1.502.784.567.628,11.0,,5901843863791.0,1502784567628.0
Biến động chi phí trả trước,(Lãi)/lỗ chênh lệch tỷ giá do đánh giá lại > Biến động chi phí trả trước,Biến động chi phí trả trước,12,,28.508.264.282,60.193.117.360,12.0,,28508264282.0,60193117360.0
,,,,,1.028.649.318.834,1.344.191.564.133,,,1028649318834.0,1344191564133.0
Tiền lãi vay đã trả,(Lãi)/lỗ chênh lệch tỷ giá do đánh giá lại > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,,(158.824.335.187),(277.754.143.955),14.0,,-158824335187.0,-277754143955.0
Thuế thu nhập doanh nghiệp đã nộp,(Lãi)/lỗ chênh lệch tỷ giá do đánh giá lại > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,,(436.616.991.261),(110.417.388.642),15.0,,-436616991261.0,-110417388642.0
Tiền chi khác cho hoạt động kinh doanh,(Lãi)/lỗ chênh lệch tỷ giá do đánh giá lại > Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,,(63.628.027.964),(30.964.795.406),17.0,,-63628027964.0,-30964795406.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,(Lãi)/lỗ chênh lệch tỷ giá do đánh giá lại > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,369.579.964.422,925.055.236.130,20.0,,369579964422.0,925055236130.0
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
"Tiền chi mua sắm, xây dựng tài sản cố định và tài sản dài hạn khác","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi mua sắm, xây dựng tài sản cố định và tài sản dài hạn khác","Tiền chi mua sắm, xây dựng tài sản cố định và tài sản dài hạn khác",21,,(240.276.296.923),(21.342.822.954),21.0,,-240276296923.0,-21342822954.0
Tiền thu từ thanh lý tài sản cố định,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu từ thanh lý tài sản cố định,Tiền thu từ thanh lý tài sản cố định,22,,3.272.245.830,16.403.189.295,22.0,,3272245830.0,16403189295.0
Tiền chi cho vay và tiền gửi có kỳ hạn,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi cho vay và tiền gửi có kỳ hạn,Tiền chi cho vay và tiền gửi có kỳ hạn,23,,(101.326.172.142),(155.899.989.000),23.0,,-101326172142.0,-155899989000.0
Tiền thu hồi từ khoản cho vay và tiền gửi có kỳ hạn,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu hồi từ khoản cho vay và tiền gửi có kỳ hạn,Tiền thu hồi từ khoản cho vay và tiền gửi có kỳ hạn,24,,5.000.000.000,82.750.000.000,24.0,,5000000000.0,82750000000.0
Tiền chi đầu tư vào công ty con,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi đầu tư vào công ty con,Tiền chi đầu tư vào công ty con,25,,(22.668.142.693),(30.500.000.000),25.0,,-22668142693.0,-30500000000.0
Tiền thu hồi đầu tư góp vốn vào các đơn vị khác,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu hồi đầu tư góp vốn vào các đơn vị khác,Tiền thu hồi đầu tư góp vốn vào các đơn vị khác,26,,-,2.683.257.535,26.0,,,2683257535.0
Tiền thu từ chuyển nhượng công ty con,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu từ chuyển nhượng công ty con,Tiền thu từ chuyển nhượng công ty con,26,,188.100.000.000,40.500.000.000,26.0,,188100000000.0,40500000000.0
Tiền thu lãi tiền gửi và cổ tức,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu lãi tiền gửi và cổ tức,Tiền thu lãi tiền gửi và cổ tức,27,,16.649.919.883,4.966.948.321,27.0,,16649919883.0,4966948321.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,(151.248.446.045),(60.439.416.803),30.0,,-151248446045.0,-60439416803.0
