row_label_raw,row_label_full,Giá trị hàng mua và dịch vụ cung cấp (Tiếp theo),Năm nay > VND,Năm trước > VND,numeric__Năm nay > VND,numeric__Năm trước > VND
Chỉ nhánh Tổng Công ty Cổ phần Dịch vụ Kỹ thuật,Việt Nam > Chỉ nhánh Tổng Công ty Cổ phần Dịch vụ Kỹ thuật,Chỉ nhánh Tổng Công ty Cổ phần Dịch vụ Kỹ thuật,295.949.962,410.795.221,295949962.0,410795221.0
Dầu khí Việt Nam - Công ty Dịch vụ Dầu khí Đà Nẵng,Dầu khí Việt Nam - Công ty Dịch vụ Dầu khí Đà Nẵng,Dầu khí Việt Nam - Công ty Dịch vụ Dầu khí Đà Nẵng,,,,
Trường Đại học Dầu khí,Dầu khí Việt Nam - Công ty Dịch vụ Dầu khí Đà Nẵng > Trường Đại học Dầu khí,Trường Đại học Dầu khí,295.000.000,854.920.000,295000000.0,854920000.0
Công ty Cổ phần Thương mại & Dịch vụ Dầu khí,Dầu khí Việt Nam - Công ty Dịch vụ Dầu khí Đà Nẵng > Công ty Cổ phần Thương mại & Dịch vụ Dầu khí,Công ty Cổ phần Thương mại & Dịch vụ Dầu khí,280.000.000,570.878.800,280000000.0,570878800.0
Việt Nam,Việt Nam,Việt Nam,,,,
Công ty Cổ phần Vận tải Dầu khí Quảng Ngãi,Việt Nam > Công ty Cổ phần Vận tải Dầu khí Quảng Ngãi,Công ty Cổ phần Vận tải Dầu khí Quảng Ngãi,224.560.000,-,224560000.0,
Công ty Cổ phần Hóa dầu và Xơ sợi Việt Nam,Việt Nam > Công ty Cổ phần Hóa dầu và Xơ sợi Việt Nam,Công ty Cổ phần Hóa dầu và Xơ sợi Việt Nam,200.000.000,200.000.000,200000000.0,200000000.0
Công ty Cổ phần Nhiên liệu Sinh học Dầu khí,Việt Nam > Công ty Cổ phần Nhiên liệu Sinh học Dầu khí,Công ty Cổ phần Nhiên liệu Sinh học Dầu khí,150.000.000,150.000.000,150000000.0,150000000.0
Miền Trung,Miền Trung,Miền Trung,,,,
Trường Cao đẳng Dầu khí,Miền Trung > Trường Cao đẳng Dầu khí,Trường Cao đẳng Dầu khí,121.000.000,2.760.837.500,121000000.0,2760837500.0
Công ty Cổ phần Vận tải Xăng dầu Phương Nam,Miền Trung > Công ty Cổ phần Vận tải Xăng dầu Phương Nam,Công ty Cổ phần Vận tải Xăng dầu Phương Nam,-,2.520.000.000,,2520000000.0
Công ty Cổ phần Dịch vụ Kỹ thuật Điện lực Dầu khí,Miền Trung > Công ty Cổ phần Dịch vụ Kỹ thuật Điện lực Dầu khí,Công ty Cổ phần Dịch vụ Kỹ thuật Điện lực Dầu khí,-,2.385.450.000,,2385450000.0
Việt Nam,Việt Nam,Việt Nam,,,,
Tổng Công ty Phân bón và Hóa chất Dầu khí -,Việt Nam > Tổng Công ty Phân bón và Hóa chất Dầu khí -,Tổng Công ty Phân bón và Hóa chất Dầu khí -,-,1.226.930.741,,1226930741.0
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,,,,
Công ty Cổ phần - Tổng Công ty Cổ phần Phân bón,Công ty Cổ phần > Công ty Cổ phần - Tổng Công ty Cổ phần Phân bón,Công ty Cổ phần - Tổng Công ty Cổ phần Phân bón,-,722.093.798,,722093798.0
Dầu khí Cà Mau,Dầu khí Cà Mau,Dầu khí Cà Mau,,,,
Công ty TNHH PVChem - Tech,Dầu khí Cà Mau > Công ty TNHH PVChem - Tech,Công ty TNHH PVChem - Tech,-,264.049.447,,264049447.0
Ngân hàng TMCP Đại Chứng Việt Nam - Chi nhánh,Dầu khí Cà Mau > Ngân hàng TMCP Đại Chứng Việt Nam - Chi nhánh,Ngân hàng TMCP Đại Chứng Việt Nam - Chi nhánh,-,26.988.803,,26988803.0
Quảng Ngãi,Quảng Ngãi,Quảng Ngãi,,,,
