row_label_raw,row_label_full,col_0,"Sản xuất, bán thức ăn chăn nuôi và nguyên vật liệu sản xuất thức ăn và dịch vụ xây lắp và hoạt chăn nuôi động thương mại khác","Sản xuất, bán thức ăn chăn nuôi và nguyên vật liệu sản xuất thức ăn và dịch vụ xây lắp và hoạt chăn nuôi động thương mại khác_1",Điều chỉnh và loại trừ,Tổng cộng,"numeric__Sản xuất, bán thức ăn chăn nuôi và nguyên vật liệu sản xuất thức ăn và dịch vụ xây lắp và hoạt chăn nuôi động thương mại khác","numeric__Sản xuất, bán thức ăn chăn nuôi và nguyên vật liệu sản xuất thức ăn và dịch vụ xây lắp và hoạt chăn nuôi động thương mại khác_1",numeric__Điều chỉnh và loại trừ,numeric__Tổng cộng
Kết quả,Kết quả,Kết quả,,,,,,,,
Lợi nhuận kế toán trước thuế,Kết quả > Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,191.663.447.042,61.252.661.536,-,252.916.108.578,191663447042.0,61252661536.0,,252916108578.0
Chi phí thuế TNDN,Kết quả > Chi phí thuế TNDN,Chi phí thuế TNDN,19.627.200.391,9.210.532.717,-,28.837.733.108,19627200391.0,9210532717.0,,28837733108.0
Lợi nhuận thuần sau thuế,Kết quả > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,172.036.246.651,52.042.128.819,-,224.078.375.470,172036246651.0,52042128819.0,,224078375470.0
Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,,,,,,,,
Tổng tài sản,Tài sản và nợ phải trả > Tổng tài sản,Tổng tài sản,,,,8.519.263.607.948,,,,8519263607948.0
Tài sản bộ phận,Tài sản và nợ phải trả > Tài sản bộ phận,Tài sản bộ phận,6.487.615.038.113,509.683.079.303,-,6.997.298.117.416,6487615038113.0,509683079303.0,,6997298117416.0
Tài sản không phân bổ (*),Tài sản và nợ phải trả > Tài sản không phân bổ (*),Tài sản không phân bổ (*),,,,1.521.965.490.532,,,,1521965490532.0
Tổng nợ phải trả,Tài sản và nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,,,,5.642.850.781.775,,,,5642850781775.0
Nợ phải trả bộ phận,Tài sản và nợ phải trả > Nợ phải trả bộ phận,Nợ phải trả bộ phận,5.571.428.396.174,71.422.385.601,-,5.642.850.781.775,5571428396174.0,71422385601.0,,5642850781775.0
