row_label_raw,row_label_full,col_0,Vốn góp củachủ sở hữuVND,Thắng dưvốn cổ phànvND,Chênh lệch tỷ giáhối đoái (°)VND,Quỹ đầu tưphát triển và dựphòng tài chínhVND,Quỹ khác thuộcvốn chủ sở hữu (**)VND,Lợi nhuậnsau thuệchưa phân phốiVND,Quỹ dự trữbắt buộc hoạt độngbảo huệtvND,Lợi ích cổ đôngkhông kiểm soátVND,Tổng cộngVND,numeric__Vốn góp củachủ sở hữuVND,numeric__Thắng dưvốn cổ phànvND,numeric__Chênh lệch tỷ giáhối đoái (°)VND,numeric__Quỹ đầu tưphát triển và dựphòng tài chínhVND,numeric__Quỹ khác thuộcvốn chủ sở hữu (**)VND,numeric__Lợi nhuậnsau thuệchưa phân phốiVND,numeric__Quỹ dự trữbắt buộc hoạt độngbảo huệtvND,numeric__Lợi ích cổ đôngkhông kiểm soátVND,numeric__Tổng cộngVND
Trích quỹ khen thưởngphúc lợi,Năm nay > Trích quỹ khen thưởngphúc lợi,Trích quỹ khen thưởngphúc lợi,-,-,-,-,-,(58.137.516.706),-,-,(58.137.516.706),,,,,,-58137516706.0,,,-58137516706.0
Của công ty mẹ (***),Năm nay > Của công ty mẹ (***),Của công ty mẹ (***),-,-,-,-,-,(56.941.024.621),-,(1.622.140.316),(58.563.164.937),,,,,,-56941024621.0,,-1622140316.0,-58563164937.0
Của các công ty con,Năm nay > Của các công ty con,Của các công ty con,-,-,-,-,-,(10.023.709.777),-,-,(10.023.709.777),,,,,,-10023709777.0,,,-10023709777.0
Trích quỹ phục vu hoatđộng An sinh xã hội (***),Năm nay > Trích quỹ phục vu hoatđộng An sinh xã hội (***),Trích quỹ phục vu hoatđộng An sinh xã hội (***),-,-,-,-,-,(154.843.961.621),-,-,-,,,,,,-154843961621.0,,,
Trích lập quỹ đầu tư pháttruyền,Năm nay > Trích lập quỹ đầu tư pháttruyền,Trích lập quỹ đầu tư pháttruyền,-,-,-,154.843.961.821,-,(150.355.646.654),-,-,-,,,,154843961821.0,,-150355646654.0,,,
Của công ty mẹ (***),Năm nay > Của công ty mẹ (***),Của công ty mẹ (***),-,-,-,150.355.646.654,-,(4.288.314.967),-,-,-,,,,150355646654.0,,-4288314967.0,,,
Của các công ty con,Năm nay > Của các công ty con,Của các công ty con,-,-,-,4.288.314.967,-,1.123.333.060.371,-,41.815.866.742,1.164.948.927.113,,,,4288314967.0,,1123333060371.0,,41815866742.0,1164948927113.0
Lợi nhuận tầng trong nămChi trả thủ lao Hội đồngQuản trị và Ban Kiểm soátcủa Tập đoàn và các Côngty con,Năm nay > Lợi nhuận tầng trong nămChi trả thủ lao Hội đồngQuản trị và Ban Kiểm soátcủa Tập đoàn và các Côngty con,Lợi nhuận tầng trong nămChi trả thủ lao Hội đồngQuản trị và Ban Kiểm soátcủa Tập đoàn và các Côngty con,-,-,-,-,-,(4.853.851.057),-,(20.800.000),(4.874.651.057),,,,,,-4853851057.0,,-20800000.0,-4874651057.0
Trích lập quỹ dự phòng tài chính,Năm nay > Trích lập quỹ dự phòng tài chính,Trích lập quỹ dự phòng tài chính,-,-,-,4.288.314.969,-,(44.962.899.534),40.674.584.565,-,-,,,,4288314969.0,,-44962899534.0,40674584565.0,,
Giảm khác,Năm nay > Giảm khác,Giảm khác,-,-,(630.418.000),-,-,264.887.526,-,(262.830.766),(628.359.240),,,-630418000.0,,,264887526.0,,-262830766.0,-628359240.0
Số dư cuối năm,Năm nay > Số dư cuối năm,Số dư cuối năm,6.804.714.340.000,3.184.332.381.197,15.445.192.000,301.301.554.536,103.568.802.818,2.288.129.402.650,333.123.774.337,655.920.177.506,13.686.535.625.044,6804714340000.0,3184332381197.0,15445192000.0,301301554536.0,103568802818.0,2288129402650.0,333123774337.0,655920177506.0,13686535625044.0
