row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải truyền dẫn,"Thiết bị,dụng cụ quản lý",TSCDhữu hình khác,Cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải truyền dẫn,"numeric__Thiết bị,dụng cụ quản lý",numeric__TSCDhữu hình khác,numeric__Cộng
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,4.345.853.262,(518.667.900),(3.934.994.529),65.000.000,42.809.167,-,4345853262.0,-518667900.0,-3934994529.0,65000000.0,42809167.0,
Số cuối năm,NGUYÊN GIÁ > Số cuối năm,Số cuối năm,1.287.553.015.766,405.327.079.782,361.613.841.908,39.201.773.335,7.526.079.455.625,9.619.775.166.416,1287553015766.0,405327079782.0,361613841908.0,39201773335.0,7526079455625.0,9619775166416.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số đầu năm,Số đầu năm,403.548.772.981,204.485.635.714,71.971.760.932,25.205.505.171,2.101.466.104.634,2.806.677.779.432,403548772981.0,204485635714.0,71971760932.0,25205505171.0,2101466104634.0,2806677779432.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,81.911.531.653,37.352.556.159,45.147.085.900,1.826.659.172,352.024.089.825,518.261.922.709,81911531653.0,37352556159.0,45147085900.0,1826659172.0,352024089825.0,518261922709.0
Tăng do hợp nhất kinh doanh,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,41.213.580.963,48.150.528.327,13.033.323.800,77.445.629,7.214.721.151,109.689.599.870,41213580963.0,48150528327.0,13033323800.0,77445629.0,7214721151.0,109689599870.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(336.862.280),(4.866.106.110),(31.382.834.144),(930.964.104),(480.575.139),(37.997.341.777),-336862280.0,-4866106110.0,-31382834144.0,-930964104.0,-480575139.0,-37997341777.0
Chuyển sang Bắt động sản đầu tư,GIÁ TRỊ HAO MÒN LỦY KẾ > Chuyển sang Bắt động sản đầu tư,Chuyển sang Bắt động sản đầu tư,(17.973.960),(154.451.887),-,-,(44.987.362),(217.413.209),-17973960.0,-154451887.0,,,-44987362.0,-217413209.0
Giảm do thoái vốn tại Công ty con,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm do thoái vốn tại Công ty con,Giảm do thoái vốn tại Công ty con,(36.451.795),(30.903.565),-,-,-,(67.355.360),-36451795.0,-30903565.0,,,,-67355360.0
Giảm khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm khác,Giảm khác,(1.637.400),(47.741.523),(3.949.605.406),-,8.993.879,(3.989.990.450),-1637400.0,-47741523.0,-3949605406.0,,8993879.0,-3989990450.0
Phân loại lại,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại,Phân loại lại,(591.847.808),(1.416.391.794),1.995.645.476,65.437.778,(52.843.652),-,-591847808.0,-1416391794.0,1995645476.0,65437778.0,-52843652.0,
Số cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số cuối năm,Số cuối năm,525.689.112.354,283.473.125.321,96.815.376.558,26.244.083.646,2.460.135.503.336,3.392.357.201.215,525689112354.0,283473125321.0,96815376558.0,26244083646.0,2460135503336.0,3392357201215.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Số đầu năm,GIÁ TRỊ CÒN LẠI > Số đầu năm,Số đầu năm,656.453.894.034,123.538.528.269,184.365.585.771,8.151.849.258,5.409.617.044.785,6.382.126.902.117,656453894034.0,123538528269.0,184365585771.0,8151849258.0,5409617044785.0,6382126902117.0
Số cuối năm,GIÁ TRỊ CÒN LẠI > Số cuối năm,Số cuối năm,761.863.903.412,121.853.954.461,264.798.465.350,12.957.689.689,5.065.943.952.289,6.227.417.965.201,761863903412.0,121853954461.0,264798465350.0,12957689689.0,5065943952289.0,6227417965201.0
"Trong đó:Nguyên giá TSCĐ hữu hình tại ngày 31/12/2024 đã hết khấu hao nhưng vẫn còn sử dụng là 923.029.055.963 VND (tại ngày 31/12/2023 là 828.417.251.659 VND).Giá trị còn lại của TSCĐ hữu hình tại ngày 31/12/2024 đã dùng thế chấp, cầm cố, đảm bảo khoản vay là 5.495.729.840.310 VND (tại ngày 31/12/2023 là 5.830.568.062.453 VND).","Trong đó:Nguyên giá TSCĐ hữu hình tại ngày 31/12/2024 đã hết khấu hao nhưng vẫn còn sử dụng là 923.029.055.963 VND (tại ngày 31/12/2023 là 828.417.251.659 VND).Giá trị còn lại của TSCĐ hữu hình tại ngày 31/12/2024 đã dùng thế chấp, cầm cố, đảm bảo khoản vay là 5.495.729.840.310 VND (tại ngày 31/12/2023 là 5.830.568.062.453 VND).","Trong đó:Nguyên giá TSCĐ hữu hình tại ngày 31/12/2024 đã hết khấu hao nhưng vẫn còn sử dụng là 923.029.055.963 VND (tại ngày 31/12/2023 là 828.417.251.659 VND).Giá trị còn lại của TSCĐ hữu hình tại ngày 31/12/2024 đã dùng thế chấp, cầm cố, đảm bảo khoản vay là 5.495.729.840.310 VND (tại ngày 31/12/2023 là 5.830.568.062.453 VND).","Trong đó:Nguyên giá TSCĐ hữu hình tại ngày 31/12/2024 đã hết khấu hao nhưng vẫn còn sử dụng là 923.029.055.963 VND (tại ngày 31/12/2023 là 828.417.251.659 VND).Giá trị còn lại của TSCĐ hữu hình tại ngày 31/12/2024 đã dùng thế chấp, cầm cố, đảm bảo khoản vay là 5.495.729.840.310 VND (tại ngày 31/12/2023 là 5.830.568.062.453 VND).","Trong đó:Nguyên giá TSCĐ hữu hình tại ngày 31/12/2024 đã hết khấu hao nhưng vẫn còn sử dụng là 923.029.055.963 VND (tại ngày 31/12/2023 là 828.417.251.659 VND).Giá trị còn lại của TSCĐ hữu hình tại ngày 31/12/2024 đã dùng thế chấp, cầm cố, đảm bảo khoản vay là 5.495.729.840.310 VND (tại ngày 31/12/2023 là 5.830.568.062.453 VND).","Trong đó:Nguyên giá TSCĐ hữu hình tại ngày 31/12/2024 đã hết khấu hao nhưng vẫn còn sử dụng là 923.029.055.963 VND (tại ngày 31/12/2023 là 828.417.251.659 VND).Giá trị còn lại của TSCĐ hữu hình tại ngày 31/12/2024 đã dùng thế chấp, cầm cố, đảm bảo khoản vay là 5.495.729.840.310 VND (tại ngày 31/12/2023 là 5.830.568.062.453 VND).","Trong đó:Nguyên giá TSCĐ hữu hình tại ngày 31/12/2024 đã hết khấu hao nhưng vẫn còn sử dụng là 923.029.055.963 VND (tại ngày 31/12/2023 là 828.417.251.659 VND).Giá trị còn lại của TSCĐ hữu hình tại ngày 31/12/2024 đã dùng thế chấp, cầm cố, đảm bảo khoản vay là 5.495.729.840.310 VND (tại ngày 31/12/2023 là 5.830.568.062.453 VND).","Trong đó:Nguyên giá TSCĐ hữu hình tại ngày 31/12/2024 đã hết khấu hao nhưng vẫn còn sử dụng là 923.029.055.963 VND (tại ngày 31/12/2023 là 828.417.251.659 VND).Giá trị còn lại của TSCĐ hữu hình tại ngày 31/12/2024 đã dùng thế chấp, cầm cố, đảm bảo khoản vay là 5.495.729.840.310 VND (tại ngày 31/12/2023 là 5.830.568.062.453 VND).","Trong đó:Nguyên giá TSCĐ hữu hình tại ngày 31/12/2024 đã hết khấu hao nhưng vẫn còn sử dụng là 923.029.055.963 VND (tại ngày 31/12/2023 là 828.417.251.659 VND).Giá trị còn lại của TSCĐ hữu hình tại ngày 31/12/2024 đã dùng thế chấp, cầm cố, đảm bảo khoản vay là 5.495.729.840.310 VND (tại ngày 31/12/2023 là 5.830.568.062.453 VND).",,,,,,
