row_label_raw,row_label_full,Bên cho vay,Lợi tiên,31/12/2017VND,1/1/2017VND,numeric__Lợi tiên,numeric__31/12/2017VND,numeric__1/1/2017VND
Khoản vay 6,Ngân hàng TMCP Ngoại thương Việt Nam > Khoản vay 6,Khoản vay 6,USD,386.495.000.000,682.060.978.753,,386495000000.0,682060978753.0
Ngân hàng TMCP Xăng dầu Petrolimex,Ngân hàng TMCP Xăng dầu Petrolimex,Ngân hàng TMCP Xăng dầu Petrolimex,Ngân hàng TMCP Xăng dầu Petrolimex,Ngân hàng TMCP Xăng dầu Petrolimex,Ngân hàng TMCP Xăng dầu Petrolimex,,,
Khoản vay 7,Ngân hàng TMCP Xăng dầu Petrolimex > Khoản vay 7,Khoản vay 7,VND,-,118.684.487.400,,,118684487400.0
Ngân hàng TMCP Quân đội,Ngân hàng TMCP Quân đội,Ngân hàng TMCP Quân đội,Ngân hàng TMCP Quân đội,Ngân hàng TMCP Quân đội,Ngân hàng TMCP Quân đội,,,
Khoản vay 8,Ngân hàng TMCP Quân đội > Khoản vay 8,Khoản vay 8,VND,1.029.431.351.660,770.578.961.161,,1029431351660.0,770578961161.0
Khoản vay 9,Ngân hàng TMCP Quân đội > Khoản vay 9,Khoản vay 9,USD,-,79.764.999.999,,,79764999999.0
Ngân hàng TMCP Hàng hải Việt Nam,Ngân hàng TMCP Hàng hải Việt Nam,Ngân hàng TMCP Hàng hải Việt Nam,Ngân hàng TMCP Hàng hải Việt Nam,Ngân hàng TMCP Hàng hải Việt Nam,Ngân hàng TMCP Hàng hải Việt Nam,,,
Khoản vay 10,Ngân hàng TMCP Hàng hải Việt Nam > Khoản vay 10,Khoản vay 10,USD,325.269.962.608,128.315.091.936,,325269962608.0,128315091936.0
Ngân hàng Đầu tư và Phát triển Việt Nam,Ngân hàng Đầu tư và Phát triển Việt Nam,Ngân hàng Đầu tư và Phát triển Việt Nam,Ngân hàng Đầu tư và Phát triển Việt Nam,Ngân hàng Đầu tư và Phát triển Việt Nam,Ngân hàng Đầu tư và Phát triển Việt Nam,,,
Khoản vay 11,Ngân hàng Đầu tư và Phát triển Việt Nam > Khoản vay 11,Khoản vay 11,VND,-,894.341.373.335,,,894341373335.0
Ngân hàng TMCP An Bình,Ngân hàng TMCP An Bình,Ngân hàng TMCP An Bình,Ngân hàng TMCP An Bình,Ngân hàng TMCP An Bình,Ngân hàng TMCP An Bình,,,
Khoản vay 12,Ngân hàng TMCP An Bình > Khoản vay 12,Khoản vay 12,USD,529.374.865.825,433.497.690.959,,529374865825.0,433497690959.0
Ngân hàng TNHH Một Thành Viên HSBC Việt Nam,Ngân hàng TNHH Một Thành Viên HSBC Việt Nam,Ngân hàng TNHH Một Thành Viên HSBC Việt Nam,Ngân hàng TNHH Một Thành Viên HSBC Việt Nam,Ngân hàng TNHH Một Thành Viên HSBC Việt Nam,Ngân hàng TNHH Một Thành Viên HSBC Việt Nam,,,
Khoản vay 13,Ngân hàng TNHH Một Thành Viên HSBC Việt Nam > Khoản vay 13,Khoản vay 13,VND,561.500.918.161,166.665.685.684,,561500918161.0,166665685684.0
Ngân hàng TMCP Tiên Phong,Ngân hàng TMCP Tiên Phong,Ngân hàng TMCP Tiên Phong,Ngân hàng TMCP Tiên Phong,Ngân hàng TMCP Tiên Phong,Ngân hàng TMCP Tiên Phong,,,
Khoản vay 14,Ngân hàng TMCP Tiên Phong > Khoản vay 14,Khoản vay 14,USD,-,332.823.634.893,,,332823634893.0
,,,,6.831.894.847.293,6.036.432.585.285,,6831894847293.0,6036432585285.0
