row_label_raw,row_label_full,"MIÊN NAM - CÔNG TY CỔ PHẦNSố 333 đường Trần Hưng Đạo, phường Cầu KhoQuận 1, Tp.Hồ Chí Minh","MIÊN NAM - CÔNG TY CỔ PHẦNSố 333 đường Trần Hưng Đạo, phường Cầu KhoQuận 1, Tp.Hồ Chí Minh > Nhà cửa,vật kiến trúc","MIÊN NAM - CÔNG TY CỔ PHẦNSố 333 đường Trần Hưng Đạo, phường Cầu KhoQuận 1, Tp.Hồ Chí Minh > Máy móc,thiết bị","MIÊN NAM - CÔNG TY CỔ PHẦNSố 333 đường Trần Hưng Đạo, phường Cầu KhoQuận 1, Tp.Hồ Chí Minh > Phương tiện vântải, truyền dẫn","MIÊN NAM - CÔNG TY CỔ PHẦNSố 333 đường Trần Hưng Đạo, phường Cầu KhoQuận 1, Tp.Hồ Chí Minh > Thiết bị,dụng cụ quản lý","MIÊN NAM - CÔNG TY CỔ PHẦNSố 333 đường Trần Hưng Đạo, phường Cầu KhoQuận 1, Tp.Hồ Chí Minh > TSCĐ hữuhình khác","MIÊN NAM - CÔNG TY CỔ PHẦNSố 333 đường Trần Hưng Đạo, phường Cầu KhoQuận 1, Tp.Hồ Chí Minh > Đơn vị tính: VNDTổng","numeric__MIÊN NAM - CÔNG TY CỔ PHẦNSố 333 đường Trần Hưng Đạo, phường Cầu KhoQuận 1, Tp.Hồ Chí Minh > Nhà cửa,vật kiến trúc","numeric__MIÊN NAM - CÔNG TY CỔ PHẦNSố 333 đường Trần Hưng Đạo, phường Cầu KhoQuận 1, Tp.Hồ Chí Minh > Máy móc,thiết bị","numeric__MIÊN NAM - CÔNG TY CỔ PHẦNSố 333 đường Trần Hưng Đạo, phường Cầu KhoQuận 1, Tp.Hồ Chí Minh > Phương tiện vântải, truyền dẫn","numeric__MIÊN NAM - CÔNG TY CỔ PHẦNSố 333 đường Trần Hưng Đạo, phường Cầu KhoQuận 1, Tp.Hồ Chí Minh > Thiết bị,dụng cụ quản lý","numeric__MIÊN NAM - CÔNG TY CỔ PHẦNSố 333 đường Trần Hưng Đạo, phường Cầu KhoQuận 1, Tp.Hồ Chí Minh > TSCĐ hữuhình khác","numeric__MIÊN NAM - CÔNG TY CỔ PHẦNSố 333 đường Trần Hưng Đạo, phường Cầu KhoQuận 1, Tp.Hồ Chí Minh > Đơn vị tính: VNDTổng"
Tăng do phân loại,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng do phân loại,Tăng do phân loại,-,92.027.471.905,5.136.243.973,-,-,97.163.715.878,,92027471905.0,5136243973.0,,,97163715878.0
Giảm trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm trong năm,Giảm trong năm,106.182.029.212,76.901.086.144,11.557.119.348,2.019.194.210,149.222.489,196.808.651.403,106182029212.0,76901086144.0,11557119348.0,2019194210.0,149222489.0,196808651403.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",8.403.628.020,76.901.086.144,11.557.119.348,1.299.815.170,33.163.394,98.194.812.076,8403628020.0,76901086144.0,11557119348.0,1299815170.0,33163394.0,98194812076.0
Tháo dỡ,GIÁ TRỊ HAO MÒN LỦY KẾ > Tháo dỡ,Tháo dỡ,74.644.917,-,-,-,-,74.644.917,74644917.0,,,,,74644917.0
Giảm do phân loại,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm do phân loại,Giảm do phân loại,96.328.277.743,-,-,719.379.040,116.059.095,97.163.715.878,96328277743.0,,,719379040.0,116059095.0,97163715878.0
Giảm khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm khác,Giảm khác,1.375.478.532,-,-,-,-,1.375.478.532,1375478532.0,,,,,1375478532.0
Số dư tại 31/12/2023,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư tại 31/12/2023,Số dư tại 31/12/2023,2.144.098.874.091,1.816.398.437.825,252.614.102.088,52.482.894.681,32.602.050.740,4.298.196.359.425,2144098874091.0,1816398437825.0,252614102088.0,52482894681.0,32602050740.0,4298196359425.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại 01/01/2023,GIÁ TRỊ CÒN LẠI > Tại 01/01/2023,Tại 01/01/2023,1.203.452.807.781,619.385.234.152,42.818.331.603,5.626.399.182,4.335.979.073,1.875.618.751.791,1203452807781.0,619385234152.0,42818331603.0,5626399182.0,4335979073.0,1875618751791.0
Tại 31/12/2023,GIÁ TRỊ CÒN LẠI > Tại 31/12/2023,Tại 31/12/2023,1.247.692.233.251,514.145.162.603,32.265.608.223,5.752.978.486,4.022.783.928,1.803.878.766.491,1247692233251.0,514145162603.0,32265608223.0,5752978486.0,4022783928.0,1803878766491.0
