row_label_raw,row_label_full,col_0,Giá trị giao dịch cho,Giá trị giao dịch cho_1,numeric__Giá trị giao dịch cho,numeric__Giá trị giao dịch cho_1
Công ty Viễn thông Điện lực và Công nghệ Thông tin,Công ty Viễn thông Điện lực và Công nghệ Thông tin,Công ty Viễn thông Điện lực và Công nghệ Thông tin,Công ty Viễn thông Điện lực và Công nghệ Thông tin,Công ty Viễn thông Điện lực và Công nghệ Thông tin,,
Chi phí dịch vụ công nghệ thông tin,Công ty Viễn thông Điện lực và Công nghệ Thông tin > Chi phí dịch vụ công nghệ thông tin,Chi phí dịch vụ công nghệ thông tin,298.988.429,-,298988429.0,
Công ty TNHH MTV Khách sạn Du lịch và Dịch vụ,Công ty TNHH MTV Khách sạn Du lịch và Dịch vụ,Công ty TNHH MTV Khách sạn Du lịch và Dịch vụ,Công ty TNHH MTV Khách sạn Du lịch và Dịch vụ,Công ty TNHH MTV Khách sạn Du lịch và Dịch vụ,,
Thương mại Điện lực,Thương mại Điện lực,Thương mại Điện lực,Thương mại Điện lực,Thương mại Điện lực,,
Chi phí mua dịch vụ,Thương mại Điện lực > Chi phí mua dịch vụ,Chi phí mua dịch vụ,121.680.000,-,121680000.0,
Công ty TNHH MTV Thí nghiệm điện Miền Bắc,Công ty TNHH MTV Thí nghiệm điện Miền Bắc,Công ty TNHH MTV Thí nghiệm điện Miền Bắc,Công ty TNHH MTV Thí nghiệm điện Miền Bắc,Công ty TNHH MTV Thí nghiệm điện Miền Bắc,,
Chi phí mua dịch vụ,Công ty TNHH MTV Thí nghiệm điện Miền Bắc > Chi phí mua dịch vụ,Chi phí mua dịch vụ,1.550.810.500,-,1550810500.0,
Trường cao đẳng Điện lực Hồ Chí Minh,Trường cao đẳng Điện lực Hồ Chí Minh,Trường cao đẳng Điện lực Hồ Chí Minh,Trường cao đẳng Điện lực Hồ Chí Minh,Trường cao đẳng Điện lực Hồ Chí Minh,,
Chi phí dịch vụ,Trường cao đẳng Điện lực Hồ Chí Minh > Chi phí dịch vụ,Chi phí dịch vụ,83.514.260,-,83514260.0,
GENCO3 - Ban QLDA Nhiệt điện 1,GENCO3 - Ban QLDA Nhiệt điện 1,GENCO3 - Ban QLDA Nhiệt điện 1,GENCO3 - Ban QLDA Nhiệt điện 1,GENCO3 - Ban QLDA Nhiệt điện 1,,
Chi phí phải trả,GENCO3 - Ban QLDA Nhiệt điện 1 > Chi phí phải trả,Chi phí phải trả,1.038.733.359,-,1038733359.0,
Công ty CP Nhiệt điện Bà Rịa,Công ty CP Nhiệt điện Bà Rịa,Công ty CP Nhiệt điện Bà Rịa,Công ty CP Nhiệt điện Bà Rịa,Công ty CP Nhiệt điện Bà Rịa,,
Cổ tức đã trả,Công ty CP Nhiệt điện Bà Rịa > Cổ tức đã trả,Cổ tức đã trả,7.500.000.000,-,7500000000.0,
Công ty Mua bán điện – Tập đoàn Điện lực Việt Nam,Công ty Mua bán điện – Tập đoàn Điện lực Việt Nam,Công ty Mua bán điện – Tập đoàn Điện lực Việt Nam,Công ty Mua bán điện – Tập đoàn Điện lực Việt Nam,Công ty Mua bán điện – Tập đoàn Điện lực Việt Nam,,
Bán điện,Công ty Mua bán điện – Tập đoàn Điện lực Việt Nam > Bán điện,Bán điện,11.291.413.188.043,9.518.449.008.449,11291413188043.0,9518449008449.0
