row_label_raw,row_label_full,Giá trị quyết toán thì công công trình cải tạo tuyến và nút giao thông trên Quốc lộ 13 đoạn từ nút Hữu Nghị đến nút Tư do theo hợp đồng 345/HDKT/2014,Năm nay,Năm trước > 21.785.582.290,numeric__Năm nay,numeric__Năm trước > 21.785.582.290
Tiền thuê mặt bằng,Tiền thuê mặt bằng,Tiền thuê mặt bằng,8.824.612.104,1.400.943.350,8824612104.0,1400943350.0
Chia giá vốn hợp đồng hợp tác kinh doanh,Chia giá vốn hợp đồng hợp tác kinh doanh,Chia giá vốn hợp đồng hợp tác kinh doanh,25.003.531.475,4.800.000.000,25003531475.0,4800000000.0
Chia chỉ phi quản lý hợp đồng hợp tác kinh doanh,Chia chỉ phi quản lý hợp đồng hợp tác kinh doanh,Chia chỉ phi quản lý hợp đồng hợp tác kinh doanh,11.977.443.793,17.151.989.070,11977443793.0,17151989070.0
"Cung cấp, lắp đặt thiết bị cho 24 căn Aroma Hợp đồng 66/HĐXD-2012","Cung cấp, lắp đặt thiết bị cho 24 căn Aroma Hợp đồng 66/HĐXD-2012","Cung cấp, lắp đặt thiết bị cho 24 căn Aroma Hợp đồng 66/HĐXD-2012",1.659.494.980,13.706.867.578,1659494980.0,13706867578.0
"Dịch vụ quản lý, vận hành nhà ở xã hội","Dịch vụ quản lý, vận hành nhà ở xã hội","Dịch vụ quản lý, vận hành nhà ở xã hội",1.253.972.727,-,1253972727.0,
Công ty Cổ phần Bê tông Becamex,Công ty Cổ phần Bê tông Becamex,Công ty Cổ phần Bê tông Becamex,Công ty Cổ phần Bê tông Becamex,Công ty Cổ phần Bê tông Becamex,,
Thi công xây dựng,Công ty Cổ phần Bê tông Becamex > Thi công xây dựng,Thi công xây dựng,47.999.995.880,140.194.501.169,47999995880.0,140194501169.0
"Mua vật tư, thiết bị","Công ty Cổ phần Bê tông Becamex > Mua vật tư, thiết bị","Mua vật tư, thiết bị",4.830.840.675,-,4830840675.0,
Tiền diện,Công ty Cổ phần Bê tông Becamex > Tiền diện,Tiền diện,32.510.000,-,32510000.0,
Công ty Cổ phần Vật liệu xây dựng Becamex,Công ty Cổ phần Vật liệu xây dựng Becamex,Công ty Cổ phần Vật liệu xây dựng Becamex,Công ty Cổ phần Vật liệu xây dựng Becamex,Công ty Cổ phần Vật liệu xây dựng Becamex,,
Mua vật liệu xây dựng,Công ty Cổ phần Vật liệu xây dựng Becamex > Mua vật liệu xây dựng,Mua vật liệu xây dựng,-,1.100.000,,1100000.0
