row_label_raw,row_label_full,TÀI SẢN,Mã Thuyết số minh,Mã Thuyết số minh_1,Số cuối năm,Số đầu năm(Trình bày lại),numeric__Mã Thuyết số minh,numeric__Mã Thuyết số minh_1,numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,,493.477.521.187,469.441.554.267,140.0,,493477521187.0,469441554267.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,11,493.477.521.187,469.441.554.267,141.0,11.0,493477521187.0,469441554267.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,166.320.151.242,286.599.028.936,150.0,,166320151242.0,286599028936.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,12,25.094.700.547,32.501.705.783,151.0,12.0,25094700547.0,32501705783.0
2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,152,,129.964.189.872,190.948.883.103,152.0,,129964189872.0,190948883103.0
3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,153,20,11.261.260.823,63.148.440.050,153.0,20.0,11261260823.0,63148440050.0
B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,200,,20.884.728.742.227,22.344.125.091.033,200.0,,20884728742227.0,22344125091033.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,304.526.717.164,321.162.713.296,210.0,,304526717164.0,321162713296.0
1. Phải thu dài hạn của khách hàng,1. Phải thu dài hạn của khách hàng,1. Phải thu dài hạn của khách hàng,211,7,6.300.000.200,6.300.000.200,211.0,7.0,6300000200.0,6300000200.0
2. Phải thu dài hạn khác,2. Phải thu dài hạn khác,2. Phải thu dài hạn khác,216,9,298.226.716.964,314.862.713.096,216.0,9.0,298226716964.0,314862713096.0
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,16.345.334.397.848,18.447.261.180.067,220.0,,16345334397848.0,18447261180067.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,13,16.340.489.929.357,18.443.956.413.054,221.0,13.0,16340489929357.0,18443956413054.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,41.893.901.590.433,40.087.651.629.600,222.0,,41893901590433.0,40087651629600.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,,(25.553.411.661.076),(21.643.695.216.546),223.0,,-25553411661076.0,-21643695216546.0
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,14,4.844.468.491,3.304.767.013,227.0,14.0,4844468491.0,3304767013.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,21.353.986.282,18.575.451.988,228.0,,21353986282.0,18575451988.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,229,,(16.509.517.791),(15.270.684.975),229.0,,-16509517791.0,-15270684975.0
III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,240,,865.253.027.542,591.549.228.201,240.0,,865253027542.0,591549228201.0
1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,242,15,865.253.027.542,591.549.228.201,242.0,15.0,865253027542.0,591549228201.0
IV. Đầu tư tài chính dài hạn,IV. Đầu tư tài chính dài hạn,IV. Đầu tư tài chính dài hạn,250,,2.962.726.492.115,2.806.157.523.805,250.0,,2962726492115.0,2806157523805.0
"1. Đầu tư vào công ty liên doanh, liên kết","1. Đầu tư vào công ty liên doanh, liên kết","1. Đầu tư vào công ty liên doanh, liên kết",252,16,2.777.926.492.115,2.622.657.523.805,252.0,16.0,2777926492115.0,2622657523805.0
2. Đầu tư góp vốn vào đơn vị khác,2. Đầu tư góp vốn vào đơn vị khác,2. Đầu tư góp vốn vào đơn vị khác,253,17,184.800.000.000,184.800.000.000,253.0,17.0,184800000000.0,184800000000.0
3. Dự phòng đầu tư tài chính dài hạn,3. Dự phòng đầu tư tài chính dài hạn,3. Dự phòng đầu tư tài chính dài hạn,254,,-,(1.300.000.000),254.0,,,-1300000000.0
V. Tài sản dài hạn khác,V. Tài sản dài hạn khác,V. Tài sản dài hạn khác,260,,406.888.107.558,177.994.445.664,260.0,,406888107558.0,177994445664.0
1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,261,12,304.772.846.785,70.047.981.387,261.0,12.0,304772846785.0,70047981387.0
2. Tài sản thuế thu nhập hoãn lại,2. Tài sản thuế thu nhập hoãn lại,2. Tài sản thuế thu nhập hoãn lại,262,18,102.115.260.773,107.946.464.277,262.0,18.0,102115260773.0,107946464277.0
TỔNG CỘNG TÀI SẢN (270=100+200)270,TỔNG CỘNG TÀI SẢN (270=100+200)270,TỔNG CỘNG TÀI SẢN (270=100+200)270,TỔNG CỘNG TÀI SẢN (270=100+200)270,TỔNG CỘNG TÀI SẢN (270=100+200)270,58.176.195.336.654,53.624.854.042.612,,,58176195336654.0,53624854042612.0
