row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị","Phương tiệnvận tải, truyền dẫn","Thiết bị, dụng cụquản lý",Đơn vị tính: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị","numeric__Phương tiệnvận tải, truyền dẫn","numeric__Thiết bị, dụng cụquản lý",numeric__Đơn vị tính: VNDTổng cộng
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,318.546.341.517,606.432.483.697,50.245.716.689,13.046.198.783,988.270.740.686,318546341517.0,606432483697.0,50245716689.0,13046198783.0,988270740686.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,1.643.882.075.393,1.398.171.981.549,690.824.967.163,26.588.356.751,3.759.467.380.856,1643882075393.0,1398171981549.0,690824967163.0,26588356751.0,3759467380856.0
- Khẩu hao trong năm,Giá trị khấu hao lũy kế: > - Khẩu hao trong năm,- Khẩu hao trong năm,184.544.162.439,292.703.755.233,47.430.297.415,3.367.875.573,528.046.090.660,184544162439.0,292703755233.0,47430297415.0,3367875573.0,528046090660.0
- Phân loại lại,Giá trị khấu hao lũy kế: > - Phân loại lại,- Phân loại lại,(274.483.362),274.483.362,-,-,-,-274483362.0,274483362.0,,,
"- Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(8.836.343.441),(15.168.302.586),(160.990.242),(24.165.636.269),,-8836343441.0,-15168302586.0,-160990242.0,-24165636269.0
- Phân loại sang bắt động sản đầu tư,Giá trị khấu hao lũy kế: > - Phân loại sang bắt động sản đầu tư,- Phân loại sang bắt động sản đầu tư,(987.013.558),(361.628.897),-,(2.054.579.205),(3.403.221.660),-987013558.0,-361628897.0,,-2054579205.0,-3403221660.0
- Giảm khác,Giá trị khấu hao lũy kế: > - Giảm khác,- Giảm khác,(15.033.830),(718.196.759),(84.815.000),(75.972.706),(894.018.295),-15033830.0,-718196759.0,-84815000.0,-75972706.0,-894018295.0
- Tăng do hợp nhất kinh doanh,Giá trị khấu hao lũy kế: > - Tăng do hợp nhất kinh doanh,- Tăng do hợp nhất kinh doanh,138.452.837.407,235.893.393.470,3.309.411.092,843.301.796,378.498.943.765,138452837407.0,235893393470.0,3309411092.0,843301796.0,378498943765.0
- Giảm do thoái vốn tại công ty con,Giá trị khấu hao lũy kế: > - Giảm do thoái vốn tại công ty con,- Giảm do thoái vốn tại công ty con,(193.475.282.398),(61.833.761.023),(602.119.946.211),(3.644.095.459),(861.073.085.091),-193475282398.0,-61833761023.0,-602119946211.0,-3644095459.0,-861073085091.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,1.772.127.262.091,1.855.293.683.494,124.191.611.873,24.863.896.508,3.776.476.453.966,1772127262091.0,1855293683494.0,124191611873.0,24863896508.0,3776476453966.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,3.013.569.630.584,2.273.657.919.094,362.880.652.012,18.039.030.693,5.668.147.232.383,3013569630584.0,2273657919094.0,362880652012.0,18039030693.0,5668147232383.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,2.712.780.127.768,2.580.987.117.891,94.796.675.787,11.903.808.045,5.400.467.729.491,2712780127768.0,2580987117891.0,94796675787.0,11903808045.0,5400467729491.0
