row_label_raw,row_label_full,Chỉ tiêu,Quá hạn,Không chịu lãi,Dưới 1 tháng,Từ 1 đến 3 tháng,Từ trên 3 đến 6 tháng,Từ trên 6 đến 12 tháng,Từ trên 1 đến 5 năm,Trên 5 năm,Tổng,numeric__Quá hạn,numeric__Không chịu lãi,numeric__Dưới 1 tháng,numeric__Từ 1 đến 3 tháng,numeric__Từ trên 3 đến 6 tháng,numeric__Từ trên 6 đến 12 tháng,numeric__Từ trên 1 đến 5 năm,numeric__Trên 5 năm,numeric__Tổng
II.Tiền gửi của và vay từ NHNN và các TCTD khác,Nợ phải trả > II.Tiền gửi của và vay từ NHNN và các TCTD khác,II.Tiền gửi của và vay từ NHNN và các TCTD khác,-,-,10.578.441,1.627.155,-,1.900.000,-,-,14.105.596,,,10578441.0,1627155.0,,1900000.0,,,14105596.0
III.Tiền gửi của khách hàng,Nợ phải trả > III.Tiền gửi của khách hàng,III.Tiền gửi của khách hàng,-,-,3.656.553,2.687.401,1.129.509,56.252.365,26.092.986,470.608,90.289.422,,,3656553.0,2687401.0,1129509.0,56252365.0,26092986.0,470608.0,90289422.0
IV.Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > IV.Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,IV.Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,8.625,-,-,,-,-,8.625,,,8625.0,,,,,,8625.0
"V.Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","V.Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","V.Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,-,-,,-,-,-,,,,,,,,,
VI.Phát hành giấy tờ có giá,"V.Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro > VI.Phát hành giấy tờ có giá",VI.Phát hành giấy tờ có giá,-,-,-,-,-,1.145.000,-,1.000.000,2.145.000,,,,,,1145000.0,,1000000.0,2145000.0
VII.Các khoản nợ khác,"V.Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro > VII.Các khoản nợ khác",VII.Các khoản nợ khác,-,2.337.582,-,-,-,,-,-,2.337.582,,2337582.0,,,,,,,2337582.0
Tổng Nợ phải trả,"V.Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro > Tổng Nợ phải trả",Tổng Nợ phải trả,-,2.337.582,16.332.754,4.314.556,1.129.509,59.297.365,26.092.986,1.470.608,110.975.360,,2337582.0,16332754.0,4314556.0,1129509.0,59297365.0,26092986.0,1470608.0,110975360.0
Mức chênh lệch nhạy cảm với lãi suất nội bảng,"V.Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro > Mức chênh lệch nhạy cảm với lãi suất nội bảng",Mức chênh lệch nhạy cảm với lãi suất nội bảng,1.424.730,5.626.234,22.248.130,14.602.357,6.210.310,(28.847.462),(20.145.310),8.878.246,9.997.235,1424730.0,5626234.0,22248130.0,14602357.0,6210310.0,-28847462.0,-20145310.0,8878246.0,9997235.0
Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng),Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng),Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng),-,-,-,-,-,-,-,-,-,,,,,,,,,
"Mức chênh lệch nhạy cảm với lãi suất nội, ngoại bảng","Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng) > Mức chênh lệch nhạy cảm với lãi suất nội, ngoại bảng","Mức chênh lệch nhạy cảm với lãi suất nội, ngoại bảng",1.424.730,5.626.234,22.248.130,14.602.357,6.210.310,(28.847.462),(20.145.310),8.878.246,9.997.235,1424730.0,5626234.0,22248130.0,14602357.0,6210310.0,-28847462.0,-20145310.0,8878246.0,9997235.0
