row_label_raw,row_label_full,10. Tài sản Có khác,31/12/2024,01/01/2024,numeric__31/12/2024,numeric__01/01/2024
+ Phải thu Công ty Cổ phần Đầu tư Infinity Group về các khoản bán tài sản gắn nợ (ii),+ Thuế GTGT được khấu trừ > + Phải thu Công ty Cổ phần Đầu tư Infinity Group về các khoản bán tài sản gắn nợ (ii),+ Phải thu Công ty Cổ phần Đầu tư Infinity Group về các khoản bán tài sản gắn nợ (ii),314.300.800.000,738.302.400.000,314300800000.0,738302400000.0
+ Phải thu phần vốn góp theo hợp đồng hợp tác kinh doanh (iii),+ Thuế GTGT được khấu trừ > + Phải thu phần vốn góp theo hợp đồng hợp tác kinh doanh (iii),+ Phải thu phần vốn góp theo hợp đồng hợp tác kinh doanh (iii),502.000.000.000,502.000.000.000,502000000000.0,502000000000.0
+ Phải thu tiền đặt cọc mua bất động sản,+ Thuế GTGT được khấu trừ > + Phải thu tiền đặt cọc mua bất động sản,+ Phải thu tiền đặt cọc mua bất động sản,142.828.730.200,142.828.730.200,142828730200.0,142828730200.0
"Dự thu lợi nhuận, phí sử dụng vốn từ hợp đồng hợp tác kinh doanh","+ Thuế GTGT được khấu trừ > Dự thu lợi nhuận, phí sử dụng vốn từ hợp đồng hợp tác kinh doanh","Dự thu lợi nhuận, phí sử dụng vốn từ hợp đồng hợp tác kinh doanh",-,8.535.000.000,,8535000000.0
+ Phải thu Công ty CP Đầu tư phát triển Công nghệ và Năng lượng mới Việt Nam (iv),+ Thuế GTGT được khấu trừ > + Phải thu Công ty CP Đầu tư phát triển Công nghệ và Năng lượng mới Việt Nam (iv),+ Phải thu Công ty CP Đầu tư phát triển Công nghệ và Năng lượng mới Việt Nam (iv),-,60.400.000.000,,60400000000.0
+ Phải thu Ông Nguyễn Minh Trọng liên quan đến các khoản bán nợ trả chậm (iv),+ Thuế GTGT được khấu trừ > + Phải thu Ông Nguyễn Minh Trọng liên quan đến các khoản bán nợ trả chậm (iv),+ Phải thu Ông Nguyễn Minh Trọng liên quan đến các khoản bán nợ trả chậm (iv),40.000.000.000,40.000.000.000,40000000000.0,40000000000.0
+ Phải thu Công ty Cổ phần Thanh toán Quốc Gia Việt Nam về giao dịch chuyển tiền,+ Thuế GTGT được khấu trừ > + Phải thu Công ty Cổ phần Thanh toán Quốc Gia Việt Nam về giao dịch chuyển tiền,+ Phải thu Công ty Cổ phần Thanh toán Quốc Gia Việt Nam về giao dịch chuyển tiền,351.280.278.082,596.571.195.171,351280278082.0,596571195171.0
+ Phải thu Công ty Cổ phần Pacific Partners (UPAS),+ Thuế GTGT được khấu trừ > + Phải thu Công ty Cổ phần Pacific Partners (UPAS),+ Phải thu Công ty Cổ phần Pacific Partners (UPAS),-,19.089.447.035,,19089447035.0
+ Các khoản phải thu khác,+ Thuế GTGT được khấu trừ > + Các khoản phải thu khác,+ Các khoản phải thu khác,155.013.155.905,155.217.563.285,155013155905.0,155217563285.0
Cộng,+ Thuế GTGT được khấu trừ > Cộng,Cộng,1.858.916.690.044,3.858.416.302.591,1858916690044.0,3858416302591.0
