row_label_raw,row_label_full,Bên liên quan,Các giao dịch,Phải thu/(phải trả),Phải thu/(phải trả)_1,numeric__Các giao dịch,numeric__Phải thu/(phải trả),numeric__Phải thu/(phải trả)_1
Các công ty liên quan của CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Cổ đông lớn và các bên liên quan với cổ đông lớn > Các công ty liên quan của CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Các công ty liên quan của CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Tiền gửi,(1.871.809),(229.998),,-1871809.0,-229998.0
Các công ty liên quan của CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Cổ đông lớn và các bên liên quan với cổ đông lớn > Các công ty liên quan của CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Các công ty liên quan của CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Lãi dự chi tiền gửi,(16.650),(3.646),,-16650.0,-3646.0
Các công ty liên quan của CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Cổ đông lớn và các bên liên quan với cổ đông lớn > Các công ty liên quan của CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Các công ty liên quan của CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Góp vốn đầu tư,200.000,200.000,,200000.0,200000.0
Các công ty liên quan của CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Cổ đông lớn và các bên liên quan với cổ đông lớn > Các công ty liên quan của CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Các công ty liên quan của CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Lãi phải thu từ góp vốn đầu tư,111,120,,111.0,120.0
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,,
Hội đồng Quản trị,Các bên liên quan khác > Hội đồng Quản trị,Hội đồng Quản trị,Tiền gửi,(508.029),(28.379),,-508029.0,-28379.0
Hội đồng Quản trị,Các bên liên quan khác > Hội đồng Quản trị,Hội đồng Quản trị,Lãi dự chi tiền gửi,(7.214),(250),,-7214.0,-250.0
Ban Điều hành,Các bên liên quan khác > Ban Điều hành,Ban Điều hành,Tiền gửi,(3.972),(4.487),,-3972.0,-4487.0
Ban Điều hành,Các bên liên quan khác > Ban Điều hành,Ban Điều hành,Lãi dự chi tiền gửi,(149),(108),,-149.0,-108.0
Ban Kiểm soát,Các bên liên quan khác > Ban Kiểm soát,Ban Kiểm soát,Tiền gửi,(1.951),(3.949),,-1951.0,-3949.0
Ban Kiểm soát,Các bên liên quan khác > Ban Kiểm soát,Ban Kiểm soát,Lãi dự chi tiền gửi,(73),(45),,-73.0,-45.0
