row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số Thuyết minh,Mã số Thuyết minh_1,Số cuối năm,Đơn vị: VND Số đầu năm,numeric__TÀI SẢN,numeric__Mã số Thuyết minh,numeric__Mã số Thuyết minh_1,numeric__Số cuối năm,numeric__Đơn vị: VND Số đầu năm
2.,2.,2.,Phải thu về cho vay dài hạn,215,,392.794.707,-,,215.0,,392794707.0,
3.,3.,3.,Phải thu dài hạn khác,216,8,164.124.620.038,124.834.616.306,,216.0,8.0,164124620038.0,124834616306.0
4.,4.,4.,Dự phòng phải thu dài hạn khó đòi,219,,(54.729.173.818),(54.729.173.818),,219.0,,-54729173818.0,-54729173818.0
II.,II.,II.,Tài sản cố định,220,,6.513.735.578.258,5.247.285.021.701,,220.0,,6513735578258.0,5247285021701.0
1.,1.,1.,Tài sản cố định hữu hình,221,13,5.207.125.950.106,4.585.493.059.313,,221.0,13.0,5207125950106.0,4585493059313.0
,,,- Nguyễn giá,222,,9.471.984.147.609,8.260.173.587.144,,222.0,,9471984147609.0,8260173587144.0
,,,- Giá trị hao mòn lũy kẽ,223,,(4.264.858.197.503),(3.674.680.527.831),,223.0,,-4264858197503.0,-3674680527831.0
2.,2.,2.,Tài sản cố định thuê tài chính,224,,3.024.593.397,3.656.116.414,,224.0,,3024593397.0,3656116414.0
,,,- Nguyễn giá,225,,5.208.542.803,4.702.426.443,,225.0,,5208542803.0,4702426443.0
,,,- Giá trị hao mòn lũy kẽ,226,,(2.183.949.406),(1.046.310.029),,226.0,,-2183949406.0,-1046310029.0
3.,3.,3.,Tài sản cố định vô hình,227,14,1.303.585.034.755,658.135.845.974,,227.0,14.0,1303585034755.0,658135845974.0
,,,- Nguyên giá,228,,1.915.362.421.263,1.117.419.385.566,,228.0,,1915362421263.0,1117419385566.0
,,,- Giá trị hao mòn lũy kẽ,229,,(611.777.386.508),(459.283.539.592),,229.0,,-611777386508.0,-459283539592.0
III.,III.,III.,Tài sản đó dang dài hạn,240,,1.174.778.083.753,805.559.896.217,,240.0,,1174778083753.0,805559896217.0
1.,1.,1.,Chi phí xây dựng cơ bản đó dang,242,15,1.174.778.083.753,805.559.896.217,,242.0,15.0,1174778083753.0,805559896217.0
IV.,IV.,IV.,Đầu tư tài chính dài hạn,250,,2.202.466.649.730,1.783.369.007.284,,250.0,,2202466649730.0,1783369007284.0
1.,1.,1.,Đầu tư vào công ty liên kết,252,17,1.676.231.689.527,1.333.704.438.239,,252.0,17.0,1676231689527.0,1333704438239.0
2.,2.,2.,Đầu tư góp vốn vào đơn vị khác,253,6,793.360.844.792,749.259.852.282,,253.0,6.0,793360844792.0,749259852282.0
3.,3.,3.,Dự phòng đãu tư tài chính dài hạn,254,,(267.125.884.589),(299.595.283.237),,254.0,,-267125884589.0,-299595283237.0
V.,V.,V.,Tài sản dài hạn khác,260,,1.350.211.370.859,871.868.027.531,,260.0,,1350211370859.0,871868027531.0
1.,1.,1.,Chi phí trả trước dài hạn,261,11,986.963.791.569,811.433.621.590,,261.0,11.0,986963791569.0,811433621590.0
2.,2.,2.,Tài sản thuê thu nhập hoãn lại,262,18,37.229.856.110,60.434.405.941,,262.0,18.0,37229856110.0,60434405941.0
3.,3.,3.,Lợi thể thương mại,269,19,326.017.723.180,-,,269.0,19.0,326017723180.0,
,,,TỔNG CÔNG TÀI SẢN (270=100+200),270,,29.757.067.149.568,24.999.676.895.866,,270.0,,29757067149568.0,24999676895866.0
