row_label_raw,row_label_full,col_0,Dư phòng toán học VND,Dư phòng phí chưa được hưởng VND,Dư phòng bồi thường VND,Dư phòng chia lãi VND,Dư phòng lãi cam kết đầu tư tối thiểu VND,Dư phòng đảm bảo cân đối VND,Dư phòng đào động lớn VND,Tổng công VND,numeric__Dư phòng toán học VND,numeric__Dư phòng phí chưa được hưởng VND,numeric__Dư phòng bồi thường VND,numeric__Dư phòng chia lãi VND,numeric__Dư phòng lãi cam kết đầu tư tối thiểu VND,numeric__Dư phòng đảm bảo cân đối VND,numeric__Dư phòng đào động lớn VND,numeric__Tổng công VND
Chi tiết thay đổi dự phòng nghiệp vụ hoạt động bảo hiểm phi nhân thọ trong năm như sau:,Chi tiết thay đổi dự phòng nghiệp vụ hoạt động bảo hiểm phi nhân thọ trong năm như sau:,Chi tiết thay đổi dự phòng nghiệp vụ hoạt động bảo hiểm phi nhân thọ trong năm như sau:,Chi tiết thay đổi dự phòng nghiệp vụ hoạt động bảo hiểm phi nhân thọ trong năm như sau:,Chi tiết thay đổi dự phòng nghiệp vụ hoạt động bảo hiểm phi nhân thọ trong năm như sau:,Chi tiết thay đổi dự phòng nghiệp vụ hoạt động bảo hiểm phi nhân thọ trong năm như sau:,Chi tiết thay đổi dự phòng nghiệp vụ hoạt động bảo hiểm phi nhân thọ trong năm như sau:,Chi tiết thay đổi dự phòng nghiệp vụ hoạt động bảo hiểm phi nhân thọ trong năm như sau:,Chi tiết thay đổi dự phòng nghiệp vụ hoạt động bảo hiểm phi nhân thọ trong năm như sau:,Chi tiết thay đổi dự phòng nghiệp vụ hoạt động bảo hiểm phi nhân thọ trong năm như sau:,Chi tiết thay đổi dự phòng nghiệp vụ hoạt động bảo hiểm phi nhân thọ trong năm như sau:,,,,,,,,
,,,,,Dư phòngbảo hiểm gốc và nhận tải VND,,Dư phòng nhượngtái bảo hiểm (tài sản tải bảo hiểm) VND,,Dư phòngbảo hiểm thuần VND,,,,,,,,,
Ngày 31/12/2024,Ngày 31/12/2024,Ngày 31/12/2024,,,,,,,,,,,,,,,,
Dư phòng phí chưa được hưởng,Ngày 31/12/2024 > Dư phòng phí chưa được hưởng,Dư phòng phí chưa được hưởng,,,5.209.277.210.371,,(1.686.897.782.968),,3.522.379.427.403,,,,5209277210371.0,,-1686897782968.0,,3522379427403.0,
Dư phòng bồi thường,Ngày 31/12/2024 > Dư phòng bồi thường,Dư phòng bồi thường,,,3.043.167.026.696,,(1.871.236.613.709),,1.171.930.412.987,,,,3043167026696.0,,-1871236613709.0,,1171930412987.0,
Dư phòng dao động lớn,Ngày 31/12/2024 > Dư phòng dao động lớn,Dư phòng dao động lớn,,,186.907.656.143,,-,,186.907.656.143,,,,186907656143.0,,,,186907656143.0,
Dư phòng đảm bảo cân đối,Ngày 31/12/2024 > Dư phòng đảm bảo cân đối,Dư phòng đảm bảo cân đối,,,250.026.183.799,,-,,250.026.183.799,,,,250026183799.0,,,,250026183799.0,
TỔNG CỘNG,Ngày 31/12/2024 > TỔNG CỘNG,TỔNG CỘNG,,,8.689.378.077.009,,(3.558.134.396.677),,5.131.243.680.332,,,,8689378077009.0,,-3558134396677.0,,5131243680332.0,
Ngày 31/12/2025,Ngày 31/12/2025,Ngày 31/12/2025,,,,,,,,,,,,,,,,
Dư phòng phí chưa được hưởng,Ngày 31/12/2025 > Dư phòng phí chưa được hưởng,Dư phòng phí chưa được hưởng,,,5.564.312.424.245,,(1.890.740.497.412),,3.673.571.926.833,,,,5564312424245.0,,-1890740497412.0,,3673571926833.0,
Dư phòng bồi thường,Ngày 31/12/2025 > Dư phòng bồi thường,Dư phòng bồi thường,,,3.164.674.687.097,,(1.791.669.701.205),,1.373.004.985.892,,,,3164674687097.0,,-1791669701205.0,,1373004985892.0,
Dư phòng dao động lớn,Ngày 31/12/2025 > Dư phòng dao động lớn,Dư phòng dao động lớn,,,172.891.835.464,,-,,172.891.835.464,,,,172891835464.0,,,,172891835464.0,
Dư phòng đảm bảo cân đối,Ngày 31/12/2025 > Dư phòng đảm bảo cân đối,Dư phòng đảm bảo cân đối,,,329.353.303.474,,-,,329.353.303.474,,,,329353303474.0,,,,329353303474.0,
TỔNG CỘNG,Ngày 31/12/2025 > TỔNG CỘNG,TỔNG CỘNG,,,9.231.232.250.280,,(3.682.410.198.617),,5.548.822.051.663,,,,9231232250280.0,,-3682410198617.0,,5548822051663.0,
