row_label_raw,row_label_full,col_0,Dư phòng toán học VND,Dư phòng phí chưa được hưởng VND,Dư phòng bồi thường VND,Dư phòng chia lãi VND,Dư phòng lãi cam kết đầu tư tối thiểu VND,Dư phòng đảm bảo cần đổi VND,Dư phòng deso động lớn VND,Tổng công VND,numeric__Dư phòng toán học VND,numeric__Dư phòng phí chưa được hưởng VND,numeric__Dư phòng bồi thường VND,numeric__Dư phòng chia lãi VND,numeric__Dư phòng lãi cam kết đầu tư tối thiểu VND,numeric__Dư phòng đảm bảo cần đổi VND,numeric__Dư phòng deso động lớn VND,numeric__Tổng công VND
Ngày 31/12/2020,Bảo hiểm phí nhân thọ > Ngày 31/12/2020,Ngày 31/12/2020,93.090.719.199.763,4.970.615.412.207,2.575.753.599.129,1.935.346.562.096,2.547.998.489.075,133.720.703.795,16.207.748.985,105.270.361.715.051,93090719199763.0,4970615412207.0,2575753599129.0,1935346562096.0,2547998489075.0,133720703795.0,16207748985.0,105270361715051.0
Chỉ tiết thay đổi dự phòng nghiệp vụ hoạt động bảo hiểm phi nhân thọ như sau:,Chỉ tiết thay đổi dự phòng nghiệp vụ hoạt động bảo hiểm phi nhân thọ như sau:,Chỉ tiết thay đổi dự phòng nghiệp vụ hoạt động bảo hiểm phi nhân thọ như sau:,Chỉ tiết thay đổi dự phòng nghiệp vụ hoạt động bảo hiểm phi nhân thọ như sau:,Chỉ tiết thay đổi dự phòng nghiệp vụ hoạt động bảo hiểm phi nhân thọ như sau:,Chỉ tiết thay đổi dự phòng nghiệp vụ hoạt động bảo hiểm phi nhân thọ như sau:,Chỉ tiết thay đổi dự phòng nghiệp vụ hoạt động bảo hiểm phi nhân thọ như sau:,Chỉ tiết thay đổi dự phòng nghiệp vụ hoạt động bảo hiểm phi nhân thọ như sau:,Chỉ tiết thay đổi dự phòng nghiệp vụ hoạt động bảo hiểm phi nhân thọ như sau:,Chỉ tiết thay đổi dự phòng nghiệp vụ hoạt động bảo hiểm phi nhân thọ như sau:,Chỉ tiết thay đổi dự phòng nghiệp vụ hoạt động bảo hiểm phi nhân thọ như sau:,,,,,,,,
,,,,,,,Dư phòng bảo hiểm gốc và nhận tài báo hiểm VND,Dư phòng nhượng tài báo hiểm (tài sản tài báo hiểm) VND,,Dư phòng bảo hiểm thuần VND,,,,,,,,
Ngày 31/12/2019,Ngày 31/12/2019,Ngày 31/12/2019,,,,,,,,,,,,,,,,
Dư phòng phí chưa được hưởng,Ngày 31/12/2019 > Dư phòng phí chưa được hưởng,Dư phòng phí chưa được hưởng,,,,,5.087.942.673.015,(1.701.325.224.944),,3.386.617.448.071,,,,,5087942673015.0,-1701325224944.0,,3386617448071.0
Dư phòng bồi thường,Ngày 31/12/2019 > Dư phòng bồi thường,Dư phòng bồi thường,,,,,2.819.503.256.634,(1.340.049.750.160),,1.479.463.506.465,,,,,2819503256634.0,-1340049750160.0,,1479463506465.0
Dư phòng dao động lớn,Ngày 31/12/2019 > Dư phòng dao động lớn,Dư phòng dao động lớn,,,,,42.564.972,-,,42.564.972,,,,,42564972.0,,,42564972.0
Tổng cộng,Ngày 31/12/2019 > Tổng cộng,Tổng cộng,,,,,7.907.488.494.621,(3.041.374.975.113),,4.866.113.519.508,,,,,7907488494621.0,-3041374975113.0,,4866113519508.0
Ngày 31/12/2020,Ngày 31/12/2020,Ngày 31/12/2020,,,,,,,,,,,,,,,,
Dư phòng phí chưa được hưởng,Ngày 31/12/2020 > Dư phòng phí chưa được hưởng,Dư phòng phí chưa được hưởng,,,,,4.769.440.601.933,(1.059.460.785.355),,3.709.979.816.578,,,,,4769440601933.0,-1059460785355.0,,3709979816578.0
Dư phòng bồi thường,Ngày 31/12/2020 > Dư phòng bồi thường,Dư phòng bồi thường,,,,,2.509.844.747.126,(1.187.235.382.389),,1.322.609.364.737,,,,,2509844747126.0,-1187235382389.0,,1322609364737.0
Dư phòng dao động lớn,Ngày 31/12/2020 > Dư phòng dao động lớn,Dư phòng dao động lớn,,,,,16.207.748.985,-,,16.207.748.985,,,,,16207748985.0,,,16207748985.0
Dư phòng đảm bảo cản dôi,Ngày 31/12/2020 > Dư phòng đảm bảo cản dôi,Dư phòng đảm bảo cản dôi,,,,,27.185.006.695,-,,27.185.006.695,,,,,27185006695.0,,,27185006695.0
Tổng cộng,Ngày 31/12/2020 > Tổng cộng,Tổng cộng,,,,,7.322.678.104.739,(2.246.696.167.744),,5.075.981.936.995,,,,,7322678104739.0,-2246696167744.0,,5075981936995.0
