row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số,Thuyết minh,31/12/2018,01/7/2018,numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2018,numeric__01/7/2018
V.,V.,V.,Tài sản ngắn hạn khác,150,,172.137.027.222,142.428.468.817,,150.0,,172137027222.0,142428468817.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,11,39.209.633.649,32.261.459.452,,151.0,11.0,39209633649.0,32261459452.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,132.500.096.856,108.904.114.645,,152.0,,132500096856.0,108904114645.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,18,427.296.717,1.262.894.720,,153.0,18.0,427296717.0,1262894720.0
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,42.860.348.445.729,44.709.351.239.710,,200.0,,42860348445729.0,44709351239710.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,41.591.339.201,40.146.195.841,,210.0,,41591339201.0,40146195841.0
1.,1.,1.,Phải thu dài hạn của khách hàng,211,,1.268.440.794,739.635.016,,211.0,,1268440794.0,739635016.0
2.,2.,2.,Phải thu dài hạn khác,216,8,40.322.898.407,39.406.560.825,,216.0,8.0,40322898407.0,39406560825.0
II.,II.,II.,Tài sản cố định,220,,40.177.239.576.482,41.955.536.795.692,,220.0,,40177239576482.0,41955536795692.0
1.,1.,1.,Tài sản cố định hữu hình,221,12,40.113.277.709.063,41.890.909.331.196,,221.0,12.0,40113277709063.0,41890909331196.0
,,,- Nguyên giá,222,,69.293.799.627.813,69.168.357.816.479,,222.0,,69293799627813.0,69168357816479.0
,,,- Giá trị hao mòn lũy kế,223,,(29.180.521.918.750),(27.277.448.485.283),,223.0,,-29180521918750.0,-27277448485283.0
2.,2.,2.,Tài sản cố định vô hình,227,13,63.961.867.419,64.627.464.496,,227.0,13.0,63961867419.0,64627464496.0
,,,- Nguyên giá,228,,98.742.512.044,96.644.741.901,,228.0,,98742512044.0,96644741901.0
,,,- Giá trị hao mòn lũy kế,229,,(34.780.644.625),(32.017.277.405),,229.0,,-34780644625.0,-32017277405.0
III.,III.,III.,Bất động sản đầu tư,230,14,33.528.513,93.056.967,,230.0,14.0,33528513.0,93056967.0
,,,- Nguyên giá,231,,17.545.622.940,17.545.622.940,,231.0,,17545622940.0,17545622940.0
,,,- Giá trị hao mòn lũy kế,232,,(17.512.094.427),(17.452.565.973),,232.0,,-17512094427.0,-17452565973.0
IV.,IV.,IV.,Tài sản dở dang dài hạn,240,,377.538.888.628,373.391.066.778,,240.0,,377538888628.0,373391066778.0
1.,1.,1.,Chi phí xây dựng có bản dở dang,242,15,377.538.888.628,373.391.066.778,,242.0,15.0,377538888628.0,373391066778.0
V.,V.,V.,Đầu tư tài chính dài hạn,250,,936.917.037.288,926.513.502.784,,250.0,,936917037288.0,926513502784.0
1.,1.,1.,"Đầu tư vào công ty liên doanh, liên kết",252,5,367.903.598.694,336.569.414.542,,252.0,5.0,367903598694.0,336569414542.0
2.,2.,2.,Đầu tư góp vốn vào đơn vị khác,253,5,604.520.976.073,604.520.976.073,,253.0,5.0,604520976073.0,604520976073.0
3.,3.,3.,Dự phòng đầu tư tài chính dài hạn,254,5,(35.507.537.479),(14.576.887.831),,254.0,5.0,-35507537479.0,-14576887831.0
VI.,VI.,VI.,Tài sản dài hạn khác,260,,1.327.028.075.617,1.413.670.621.648,,260.0,,1327028075617.0,1413670621648.0
1.,1.,1.,Chi phí trả trước dài hạn,261,11,671.717.153.227,725.304.361.157,,261.0,11.0,671717153227.0,725304361157.0
2.,2.,2.,Tài sản thuê thu nhập hoãn lại,262,,-,250.816.922,,262.0,,,250816922.0
3.,3.,3.,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,16,639.372.102.109,668.708.213.585,,263.0,16.0,639372102109.0,668708213585.0
4.,4.,4.,Lợi thế thương mại,269,,15.938.820.281,19.407.229.984,,269.0,,15938820281.0,19407229984.0
,,,TỔNG CỔNG TÀI SẢN (270=100+200),270,,58.111.429.597.685,64.274.561.490.568,,270.0,,58111429597685.0,64274561490568.0
