row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiện vận tảivà thiết bị truyền dẫn,Thiết bịvăn phòng,Tài sảncố định khác,Tổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiện vận tảivà thiết bị truyền dẫn,numeric__Thiết bịvăn phòng,numeric__Tài sảncố định khác,numeric__Tổng cộng
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,3.189.464.612.844,3.014.615.327.076,628.497.283.010,216.643.608.354,22.082.495.185.269,29.131.716.016.553,3189464612844.0,3014615327076.0,628497283010.0,216643608354.0,22082495185269.0,29131716016553.0
Trích khấu hao/hao mòn trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao/hao mòn trong năm,Trích khấu hao/hao mòn trong năm,606.779.484.966,655.410.232.286,41.295.365.363,47.290.244.586,1.373.854.729.015,2.724.630.056.216,606779484966.0,655410232286.0,41295365363.0,47290244586.0,1373854729015.0,2724630056216.0
Chuyển sang từ Tài sản cố định thuệtài chính,GIÁ TRỊ HAO MÒN LỦY KẾ > Chuyển sang từ Tài sản cố định thuệtài chính,Chuyển sang từ Tài sản cố định thuệtài chính,-,32.768.844.515,-,-,-,32.768.844.515,,32768844515.0,,,,32768844515.0
Tăng do sáp nhập,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng do sáp nhập,Tăng do sáp nhập,350.175.249,2.033.432.594,-,-,88.587.545,2.472.195.388,350175249.0,2033432594.0,,,88587545.0,2472195388.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(515.369.073),(5.621.617.027),(2.296.093.206),(249.604.416),(97.132.624),(8.779.816.346),-515369073.0,-5621617027.0,-2296093206.0,-249604416.0,-97132624.0,-8779816346.0
Phân loại lại,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại,Phân loại lại,(189.774.602),189.774.602,-,-,-,-,-189774602.0,189774602.0,,,,
Giảm khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm khác,Giảm khác,(352.420.799),(436.861.023),-,(1.340.100.181),-,(2.129.382.003),-352420799.0,-436861023.0,,-1340100181.0,,-2129382003.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,3.795.536.708.585,3.698.959.133.023,667.496.555.167,262.344.148.343,23.456.341.369.205,31.880.677.914.323,3795536708585.0,3698959133023.0,667496555167.0,262344148343.0,23456341369205.0,31880677914323.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,3.193.418.869.686,2.949.020.003.155,138.565.335.715,107.841.922.286,8.535.943.908.818,14.924.790.039.660,3193418869686.0,2949020003155.0,138565335715.0,107841922286.0,8535943908818.0,14924790039660.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,4.359.564.586.522,6.347.415.594.912,192.875.884.507,81.843.788.494,7.167.300.594.084,18.149.000.448.519,4359564586522.0,6347415594912.0,192875884507.0,81843788494.0,7167300594084.0,18149000448519.0
