row_label_raw,row_label_full,a) Quá hạn trên 3 năm,Số cuối năm > Giá gốcVND > 205.704.004.169,Số cuối năm > Giá trị có thể thu hồiVND > 1.443.384.555,Số đầu năm > Giá gốcVND > 147.184.756.037,Số đầu năm > Giá trị có thể thu hồiVND > 6.046.797.090,numeric__Số cuối năm > Giá gốcVND > 205.704.004.169,numeric__Số cuối năm > Giá trị có thể thu hồiVND > 1.443.384.555,numeric__Số đầu năm > Giá gốcVND > 147.184.756.037,numeric__Số đầu năm > Giá trị có thể thu hồiVND > 6.046.797.090
c) Quá hạn từ 1 năm đến dưới 2 năm,c) Quá hạn từ 1 năm đến dưới 2 năm,c) Quá hạn từ 1 năm đến dưới 2 năm,29.098.738.030,14.549.369.016,124.311.871.097,66.255.979.766,29098738030.0,14549369016.0,124311871097.0,66255979766.0
Tổng Công ty Tư vấn Thiết kẽ Dầu khí - CTCP,Tổng Công ty Tư vấn Thiết kẽ Dầu khí - CTCP,Tổng Công ty Tư vấn Thiết kẽ Dầu khí - CTCP,14.050.322.156,7.025.161.078,14.752.536.375,7.376.268.188,14050322156.0,7025161078.0,14752536375.0,7376268188.0
Công ty Cổ phần Chế tạo Giàn khoan Dầu khí,Công ty Cổ phần Chế tạo Giàn khoan Dầu khí,Công ty Cổ phần Chế tạo Giàn khoan Dầu khí,5.842.366.173,2.921.183.087,11.042.366.173,7.729.656.321,5842366173.0,2921183087.0,11042366173.0,7729656321.0
Công ty Cổ phần Kết cấu Kim loại và Lắp máy Dầu khí,Công ty Cổ phần Kết cấu Kim loại và Lắp máy Dầu khí,Công ty Cổ phần Kết cấu Kim loại và Lắp máy Dầu khí,4.860.698.667,2.430.349.334,9.860.698.667,6.902.489.067,4860698667.0,2430349334.0,9860698667.0,6902489067.0
Công ty Cổ phần Sản xuất - Dịch vụ - Thương mại - Xây dựng Thành Tài,Công ty Cổ phần Sản xuất - Dịch vụ - Thương mại - Xây dựng Thành Tài,Công ty Cổ phần Sản xuất - Dịch vụ - Thương mại - Xây dựng Thành Tài,-,-,74.610.276.802,37.305.138.399,,,74610276802.0,37305138399.0
Công ty Cổ phần Năng lượng Đất Việt,Công ty Cổ phần Năng lượng Đất Việt,Công ty Cổ phần Năng lượng Đất Việt,-,-,7.061.641.125,3.530.820.563,,,7061641125.0,3530820563.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,4.345.351.034,2.172.675.517,6.984.351.955,3.411.607.228,4345351034.0,2172675517.0,6984351955.0,3411607228.0
d) Quá hạn từ 6 tháng đến dưới 1 năm,d) Quá hạn từ 6 tháng đến dưới 1 năm,d) Quá hạn từ 6 tháng đến dưới 1 năm,9.125.574.295,6.389.882.006,10.116.176.796,7.081.323.757,9125574295.0,6389882006.0,10116176796.0,7081323757.0
Tổng Công ty Tư vấn Thiết kẽ Dầu khí - CTCP,Tổng Công ty Tư vấn Thiết kẽ Dầu khí - CTCP,Tổng Công ty Tư vấn Thiết kẽ Dầu khí - CTCP,7.141.167.852,5.000.797.496,7.398.770.013,5.179.139.009,7141167852.0,5000797496.0,7398770013.0,5179139009.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,1.984.406.443,1.389.084.510,2.717.406.783,1.902.184.748,1984406443.0,1389084510.0,2717406783.0,1902184748.0
e) Quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi từ 11 ngày đến 6 tháng,e) Quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi từ 11 ngày đến 6 tháng,e) Quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi từ 11 ngày đến 6 tháng,25.555.860.794,23.902.339.827,36.406.270.573,32.174.429.969,25555860794.0,23902339827.0,36406270573.0,32174429969.0
Công ty Cổ phần Khai thác Khoáng sản và Sản xuất,Công ty Cổ phần Khai thác Khoáng sản và Sản xuất,Công ty Cổ phần Khai thác Khoáng sản và Sản xuất,-,-,10.517.292.190,9.079.272.367,,,10517292190.0,9079272367.0
Vật liệu xây dựng Trung Nguyên,Vật liệu xây dựng Trung Nguyên,Vật liệu xây dựng Trung Nguyên,,,,,,,,
Công ty TNHH MTV SX VLXD Đông Tâm,Vật liệu xây dựng Trung Nguyên > Công ty TNHH MTV SX VLXD Đông Tâm,Công ty TNHH MTV SX VLXD Đông Tâm,8.528.887.113,8.054.553.827,3.148.692.271,2.988.434.592,8528887113.0,8054553827.0,3148692271.0,2988434592.0
Các đối tượng khác,Vật liệu xây dựng Trung Nguyên > Các đối tượng khác,Các đối tượng khác,17.026.973.681,15.847.786.000,22.740.286.112,20.106.723.010,17026973681.0,15847786000.0,22740286112.0,20106723010.0
,,,366.202.716.476,76.199.903.444,402.415.563.463,136.877.477.269,366202716476.0,76199903444.0,402415563463.0,136877477269.0
