row_label_raw,row_label_full,"CÔNG TY CỔ PHẦN TẬP ĐOÀN C.E.OĐịa chỉ: Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, Quận Nam Từ Liêm, thành phố Hà Nội","CÔNG TY CỔ PHẦN TẬP ĐOÀN C.E.OĐịa chỉ: Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, Quận Nam Từ Liêm, thành phố Hà Nội_1","CÔNG TY CỔ PHẦN TẬP ĐOÀN C.E.OĐịa chỉ: Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, Quận Nam Từ Liêm, thành phố Hà Nội_2","CÔNG TY CỔ PHẦN TẬP ĐOÀN C.E.OĐịa chỉ: Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, Quận Nam Từ Liêm, thành phố Hà Nội_3",BÁO CÁO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31/12/2020,BÁO CÁO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31/12/2020_1,"numeric__CÔNG TY CỔ PHẦN TẬP ĐOÀN C.E.OĐịa chỉ: Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, Quận Nam Từ Liêm, thành phố Hà Nội_1","numeric__CÔNG TY CỔ PHẦN TẬP ĐOÀN C.E.OĐịa chỉ: Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, Quận Nam Từ Liêm, thành phố Hà Nội_2","numeric__CÔNG TY CỔ PHẦN TẬP ĐOÀN C.E.OĐịa chỉ: Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, Quận Nam Từ Liêm, thành phố Hà Nội_3",numeric__BÁO CÁO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31/12/2020,numeric__BÁO CÁO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31/12/2020_1
- Trích quỹ khen thưởng ban điều hành,22. Vốn chủ sở hữua) Băng đối chiếu biến động của vốn chủ sở hữuChỉ tiêu > - Trích quỹ khen thưởng ban điều hành,- Trích quỹ khen thưởng ban điều hành,-,(41.121.363.217),(16.796.587.150),(57.917.950.367),(57.917.950.367),,-41121363217.0,-16796587150.0,-57917950367.0,-57917950367.0
- Giảm khác,22. Vốn chủ sở hữua) Băng đối chiếu biến động của vốn chủ sở hữuChỉ tiêu > - Giảm khác,- Giảm khác,-,(1.014.864.672),(87.502.634.994),(88.517.499.666),(88.517.499.666),,-1014864672.0,-87502634994.0,-88517499666.0,-88517499666.0
Số dư tại ngày 31/12/2019,22. Vốn chủ sở hữua) Băng đối chiếu biến động của vốn chủ sở hữuChỉ tiêu > Số dư tại ngày 31/12/2019,Số dư tại ngày 31/12/2019,2.573.399.850.000,258.609.453.114,683.804.870.884,3.515.814.173.998,3.515.814.173.998,2573399850000.0,258609453114.0,683804870884.0,3515814173998.0,3515814173998.0
- Lỗ trong năm nay,22. Vốn chủ sở hữua) Băng đối chiếu biến động của vốn chủ sở hữuChỉ tiêu > - Lỗ trong năm nay,- Lỗ trong năm nay,-,(67.164.548.743),(36.136.663.694),(103.301.212.437),(103.301.212.437),,-67164548743.0,-36136663694.0,-103301212437.0,-103301212437.0
- Chia cổ tức,22. Vốn chủ sở hữua) Băng đối chiếu biến động của vốn chủ sở hữuChỉ tiêu > - Chia cổ tức,- Chia cổ tức,-,-,(98.537.879.637),(98.537.879.637),(98.537.879.637),,,-98537879637.0,-98537879637.0,-98537879637.0
- Trích quỹ đầu tư phát triển,22. Vốn chủ sở hữua) Băng đối chiếu biến động của vốn chủ sở hữuChỉ tiêu > - Trích quỹ đầu tư phát triển,- Trích quỹ đầu tư phát triển,-,(14.412.043.583),-,(14.412.043.583),(14.412.043.583),,-14412043583.0,,-14412043583.0,-14412043583.0
"- Trích quỹ đầu khen thưởng, ban điều hành","22. Vốn chủ sở hữua) Băng đối chiếu biến động của vốn chủ sở hữuChỉ tiêu > - Trích quỹ đầu khen thưởng, ban điều hành","- Trích quỹ đầu khen thưởng, ban điều hành",-,(4.280.390.343),(3.289.487.929),(7.569.878.272),(7.569.878.272),,-4280390343.0,-3289487929.0,-7569878272.0,-7569878272.0
Số dư tại ngày 31/12/2020,22. Vốn chủ sở hữua) Băng đối chiếu biến động của vốn chủ sở hữuChỉ tiêu > Số dư tại ngày 31/12/2020,Số dư tại ngày 31/12/2020,2.573.399.850.000,172.752.470.445,545.840.839.624,3.291.993.160.069,3.291.993.160.069,2573399850000.0,172752470445.0,545840839624.0,3291993160069.0,3291993160069.0
b) Chi tiết góp vốn của chủ sở hữu,b) Chi tiết góp vốn của chủ sở hữu,b) Chi tiết góp vốn của chủ sở hữu,,,31/12/2020,01/01/2020,01/01/2020,,,,,
,,,,,VND,VND,VND,,,,,
Vốn góp của các cổ đông,b) Chi tiết góp vốn của chủ sở hữu > Vốn góp của các cổ đông,Vốn góp của các cổ đông,,,2.573.399.850.000,2.573.399.850.000,2.573.399.850.000,,,2573399850000.0,2573399850000.0,2573399850000.0
Cộng,b) Chi tiết góp vốn của chủ sở hữu > Cộng,Cộng,,,2.573.399.850.000,2.573.399.850.000,2.573.399.850.000,,,2573399850000.0,2573399850000.0,2573399850000.0
