row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Số cuối năm_2,Số đầu năm,Số đầu năm_1,Số đầu năm_2,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số cuối năm_2,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Số đầu năm_2
Công ty CP Đầu tư Phát triển Xây dựng Số 1,Công Nghiệp DIC > Công ty CP Đầu tư Phát triển Xây dựng Số 1,Công ty CP Đầu tư Phát triển Xây dựng Số 1,"51,68",14.726.900.000,-,"51,68",14.726.900.000,-,51.68,14726900000.0,,51.68,14726900000.0,
Đầu tư vào công ty liên kết,Công Nghiệp DIC > Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,,447.522.688.500,(225.400.000.000),,447.522.688.500,(225.400.000.000),,447522688500.0,-225400000000.0,,447522688500.0,-225400000000.0
Công ty CP Đầu tư phát triển Phương Nam,Công Nghiệp DIC > Công ty CP Đầu tư phát triển Phương Nam,Công ty CP Đầu tư phát triển Phương Nam,"43,35",225.400.000.000,(225.400.000.000),"43,35",225.400.000.000,(225.400.000.000),43.35,225400000000.0,-225400000000.0,43.35,225400000000.0,-225400000000.0
Công ty CP Xây dựng DIC Holdings,Công Nghiệp DIC > Công ty CP Xây dựng DIC Holdings,Công ty CP Xây dựng DIC Holdings,"35,89",171.602.184.500,-,"35,89",171.602.184.500,-,35.89,171602184500.0,,35.89,171602184500.0,
Công ty CP Bất động sản D.I.C,Công Nghiệp DIC > Công ty CP Bất động sản D.I.C,Công ty CP Bất động sản D.I.C,"42,68",30.582.504.000,-,"42,68",19.938.000.000,-,42.68,30582504000.0,,42.68,19938000000.0,
Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,Công Nghiệp DIC > Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,"36,00",19.938.000.000,-,"36,00",30.582.504.000,-,36.0,19938000000.0,,36.0,30582504000.0,
Đầu tư góp vốn vào đơn vị khác,Công Nghiệp DIC > Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,,1.769.594.112,-,,21.769.594.112,(20.000.000.000),,1769594112.0,,,21769594112.0,-20000000000.0
Công ty CP Vina Đại Phước,Công Nghiệp DIC > Công ty CP Vina Đại Phước,Công ty CP Vina Đại Phước,,1.610.000.000,-,,1.610.000.000,-,,1610000000.0,,,1610000000.0,
Công ty CP Đầu tư Phát triển Xây dựng Hội An,Công Nghiệp DIC > Công ty CP Đầu tư Phát triển Xây dựng Hội An,Công ty CP Đầu tư Phát triển Xây dựng Hội An,,159.594.112,-,,159.594.112,-,,159594112.0,,,159594112.0,
Công ty CP Cao su Phú Riềng – Kratie,Công Nghiệp DIC > Công ty CP Cao su Phú Riềng – Kratie,Công ty CP Cao su Phú Riềng – Kratie,,-,-,"5,00",20.000.000.000,(20.000.000.000),,,,5.0,20000000000.0,-20000000000.0
Cộng,Công Nghiệp DIC > Cộng,Cộng,,3.500.599.336.034,(320.712.704.648),,2.569.989.015.907,(362.820.273.924),,3500599336034.0,-320712704648.0,,2569989015907.0,-362820273924.0
