row_label_raw,row_label_full,Các bên liên quan,Nội dung nghiệp vụ,Năm nay VND,Năm trước VND,numeric__Nội dung nghiệp vụ,numeric__Năm nay VND,numeric__Năm trước VND
Công ty CP Gạch men Anh Em DIC,Các hoạt động khác > Công ty CP Gạch men Anh Em DIC,Công ty CP Gạch men Anh Em DIC,Thu gốc vay,-,300.000.000,,,300000000.0
Công ty Cổ phần Du lịch DIC,Các hoạt động khác > Công ty Cổ phần Du lịch DIC,Công ty Cổ phần Du lịch DIC,Chi phí dịch vụ,4.003.255.278,3.943.138.456,,4003255278.0,3943138456.0
Công ty Cổ phần Du lịch DIC,Các hoạt động khác > Công ty Cổ phần Du lịch DIC,Công ty Cổ phần Du lịch DIC,Bán tài sản,108.666.672,35.925.391,,108666672.0,35925391.0
Công ty Cổ phần Du lịch DIC,Các hoạt động khác > Công ty Cổ phần Du lịch DIC,Công ty Cổ phần Du lịch DIC,Góp thêm vốn điều lệ,160.000.000.000,-,,160000000000.0,
Công ty CP Bất động sản D.I.C,Các hoạt động khác > Công ty CP Bất động sản D.I.C,Công ty CP Bất động sản D.I.C,Chi phí môi giới,28.516.455.736,19.315.314.209,,28516455736.0,19315314209.0
Công ty CP Bất động sản D.I.C,Các hoạt động khác > Công ty CP Bất động sản D.I.C,Công ty CP Bất động sản D.I.C,Chi phí dịch vụ,828.785.700,312.806.482,,828785700.0,312806482.0
Công ty CP Bất động sản D.I.C,Các hoạt động khác > Công ty CP Bất động sản D.I.C,Công ty CP Bất động sản D.I.C,Cổ tức cổ phiếu,-,4.282.200.000,,,4282200000.0
Công ty CP Đầu tư Phát triển Phương Nam,Các hoạt động khác > Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Chi phí dịch vụ,2.528.112.834,945.949.135,,2528112834.0,945949135.0
Công ty CP Đầu tư Phát triển Phương Nam,Các hoạt động khác > Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Chi phí thuê đất,-,358.780.205,,,358780205.0
Công ty CP Đầu tư Phát triển Phương Nam,Các hoạt động khác > Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Lãi cho vay,30.501.825.618,21.097.622.329,,30501825618.0,21097622329.0
Công ty CP Đầu tư Phát triển Phương Nam,Các hoạt động khác > Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Thu gốc vay,36.350.000.000,1.080.000.000,,36350000000.0,1080000000.0
Công ty CP Đầu tư Phát triển Phương Nam,Các hoạt động khác > Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Cho vay,82.000.000.000,-,,82000000000.0,
Công ty CP Xây dựng DIC Holdings,Các hoạt động khác > Công ty CP Xây dựng DIC Holdings,Công ty CP Xây dựng DIC Holdings,Chi phí xây dựng,721.189.211.485,-,,721189211485.0,
Công ty CP Xây dựng DIC Holdings,Các hoạt động khác > Công ty CP Xây dựng DIC Holdings,Công ty CP Xây dựng DIC Holdings,Cổ tức cổ phiếu,18.841.340.000,-,,18841340000.0,
Công ty CP Xây dựng DIC Holdings,Các hoạt động khác > Công ty CP Xây dựng DIC Holdings,Công ty CP Xây dựng DIC Holdings,Nhận chuyển nhượng dự án,670.935.915.533,263.545.000.000,,670935915533.0,263545000000.0
Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,Các hoạt động khác > Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,Cổ tức bằng tiền,2.167.189.600,-,,2167189600.0,
Công ty TNHH MTV Đầu Tư Phát Triển Đô Thị và Khu Công Nghiệp DIC,Các hoạt động khác > Công ty TNHH MTV Đầu Tư Phát Triển Đô Thị và Khu Công Nghiệp DIC,Công ty TNHH MTV Đầu Tư Phát Triển Đô Thị và Khu Công Nghiệp DIC,Góp vốn điều lệ,48.299.531.767,1.400.468.233,,48299531767.0,1400468233.0
Công ty CP Đầu tư Phát triển Xây dựng Hội An,Các hoạt động khác > Công ty CP Đầu tư Phát triển Xây dựng Hội An,Công ty CP Đầu tư Phát triển Xây dựng Hội An,Cổ tức bằng tiền,22.500.000,9.000.000,,22500000.0,9000000.0
