row_label_raw,row_label_full,col_0,col_1,Số cuối năm VND,Số đầu năm VND,numeric__col_1,numeric__Số cuối năm VND,numeric__Số đầu năm VND
Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Lãi vay phải thu,9.491.780.822,57.004.592.371,,9491780822.0,57004592371.0
Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Ký quỹ,79.863.293.821,82.306.078.333,,79863293821.0,82306078333.0
Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Khác,186.499.974.132,-,,186499974132.0,
Công ty CP Gạch men Anh Em DIC,Công ty CP Gạch men Anh Em DIC,Công ty CP Gạch men Anh Em DIC,Lãi vay phải thu,-,29.117.902.075,,,29117902075.0
Công ty Cổ phần Du lịch DIC,Công ty Cổ phần Du lịch DIC,Công ty Cổ phần Du lịch DIC,Chi hộ,29.081.250,-,,29081250.0,
Công ty TNHH MTV Đầu tư Phát triển Đô thị và Khu công nghiệp DIC,Công ty TNHH MTV Đầu tư Phát triển Đô thị và Khu công nghiệp DIC,Công ty TNHH MTV Đầu tư Phát triển Đô thị và Khu công nghiệp DIC,Chi hộ,-,807.506.093,,,807506093.0
Công ty CP Xây dựng DIC Holdings,Công ty CP Xây dựng DIC Holdings,Công ty CP Xây dựng DIC Holdings,Chi hộ,-,30.000.000,,,30000000.0
Công ty TNHH Đại Phước Thiên An,Công ty TNHH Đại Phước Thiên An,Công ty TNHH Đại Phước Thiên An,Chi hộ,20.000.000,20.000.000,,20000000.0,20000000.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,329.708.426.405,370.650.070.764,,329708426405.0,370650070764.0
Công ty CP Xây dựng DIC Holdings,Công ty CP Xây dựng DIC Holdings,Công ty CP Xây dựng DIC Holdings,Chi phí xây dựng,243.252.056.228,110.346.045.083,,243252056228.0,110346045083.0
Công ty CP Đầu tư Phát triển - Xây dựng (DIC) Số 2,Công ty CP Đầu tư Phát triển - Xây dựng (DIC) Số 2,Công ty CP Đầu tư Phát triển - Xây dựng (DIC) Số 2,Chi phí xây dựng,44.010.821.552,85.652.711.720,,44010821552.0,85652711720.0
Công ty CP Đầu tư Phát triển Xây dựng Số 1,Công ty CP Đầu tư Phát triển Xây dựng Số 1,Công ty CP Đầu tư Phát triển Xây dựng Số 1,Chi phí xây dựng,34.294.681.628,34.568.480.982,,34294681628.0,34568480982.0
Công ty Cổ phần Bất động sản D.I.C,Công ty Cổ phần Bất động sản D.I.C,Công ty Cổ phần Bất động sản D.I.C,Chi phí môi giới,5.125.226.329,19.284.216.110,,5125226329.0,19284216110.0
Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Chi phí dịch vụ,182.146.263,169.164.574,,182146263.0,169164574.0
Công ty Cổ phần Du lịch DIC,Công ty Cổ phần Du lịch DIC,Công ty Cổ phần Du lịch DIC,Chuyển nhượng khoản đầu tư,2.843.494.405,120.629.452.295,,2843494405.0,120629452295.0
