row_label_raw,row_label_full,col_0,Mãsố,2024VND,2023VNDĐã điều chỉnh lại,numeric__Mãsố,numeric__2024VND,numeric__2023VNDĐã điều chỉnh lại
Biến động chi phí trả trước,Điều chỉnh cho các khoản > Biến động chi phí trả trước,Biến động chi phí trả trước,12,4.901.864.912,12.055.953.375,12.0,4901864912.0,12055953375.0
,,,,1.905.740.857.026,2.048.922.860.375,,1905740857026.0,2048922860375.0
Tiền lãi vay đã trả,Điều chỉnh cho các khoản > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,(698.053.796.352),(860.760.606.701),14.0,-698053796352.0,-860760606701.0
Thuế thu nhập doanh nghiệp đã nộp,Điều chỉnh cho các khoản > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,(76.541.785.887),(102.724.509.099),15.0,-76541785887.0,-102724509099.0
Tiền chi khác cho hoạt động kinh doanh,Điều chỉnh cho các khoản > Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,(41.196.926.352),(34.052.117.239),17.0,-41196926352.0,-34052117239.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,Điều chỉnh cho các khoản > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,1.089.948.348.435,1.051.385.627.336,20.0,1089948348435.0,1051385627336.0
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
"Tiền chi mua sắm, xây dựng tài sản cố định và tài sản dài hạn khác","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi mua sắm, xây dựng tài sản cố định và tài sản dài hạn khác","Tiền chi mua sắm, xây dựng tài sản cố định và tài sản dài hạn khác",21,(446.492.057.301),(492.252.091.207),21.0,-446492057301.0,-492252091207.0
"Tiền thu từ thanh lý, nhượng bán tài sản cố định và các tài sản dài hạn khác","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu từ thanh lý, nhượng bán tài sản cố định và các tài sản dài hạn khác","Tiền thu từ thanh lý, nhượng bán tài sản cố định và các tài sản dài hạn khác",22,31.808.133.068,168.210.675.156,22.0,31808133068.0,168210675156.0
Tiền chi cho vay và gửi tiền gửi có kỳ hạn trên ba tháng,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi cho vay và gửi tiền gửi có kỳ hạn trên ba tháng,Tiền chi cho vay và gửi tiền gửi có kỳ hạn trên ba tháng,23,(1.594.612.558.972),(1.047.101.801.345),23.0,-1594612558972.0,-1047101801345.0
Tiền thu hồi cho vay và nhận lại tiền gửi có kỳ hạn trên ba tháng,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu hồi cho vay và nhận lại tiền gửi có kỳ hạn trên ba tháng,Tiền thu hồi cho vay và nhận lại tiền gửi có kỳ hạn trên ba tháng,24,1.337.867.672.755,1.239.957.199.980,24.0,1337867672755.0,1239957199980.0
Tiền chi đầu tư góp vốn vào các đơn vị khác,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi đầu tư góp vốn vào các đơn vị khác,Tiền chi đầu tư góp vốn vào các đơn vị khác,25,(90.243.900.000),(68.400.000.000),25.0,-90243900000.0,-68400000000.0
Tiền thu hồi đầu tư góp vốn vào các đơn vị khác,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu hồi đầu tư góp vốn vào các đơn vị khác,Tiền thu hồi đầu tư góp vốn vào các đơn vị khác,26,17.285.093.051,28.472.376.468,26.0,17285093051.0,28472376468.0
"Tiền thu lãi tiền gửi, cổ tức và nhận phân phối lợi nhuận","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu lãi tiền gửi, cổ tức và nhận phân phối lợi nhuận","Tiền thu lãi tiền gửi, cổ tức và nhận phân phối lợi nhuận",27,98.284.542.872,98.803.414.042,27.0,98284542872.0,98803414042.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,(646.103.074.527),(72.310.226.906),30.0,-646103074527.0,-72310226906.0
