row_label_raw,row_label_full,MãMãSố,CHỈ TIẾUTÀI SẢN,Thuyếtthuyếtmlnh,Tổng cộng,Loại trừ nội bộ,Tổng Cộng,Văn phòng TổngCông ty,Khách sạn ĐồSon,Công ty Lâmsản Giáp Bát,Công ty Lâmnghiệp HàTỉnh,Công ty Lâmnghiệp TháiNguyễn,Công ty MDFGia Lai,numeric__CHỈ TIẾUTÀI SẢN,numeric__Thuyếtthuyếtmlnh,numeric__Tổng cộng,numeric__Loại trừ nội bộ,numeric__Tổng Cộng,numeric__Văn phòng TổngCông ty,numeric__Khách sạn ĐồSon,numeric__Công ty Lâmsản Giáp Bát,numeric__Công ty Lâmnghiệp HàTỉnh,numeric__Công ty Lâmnghiệp TháiNguyễn,numeric__Công ty MDFGia Lai
133 3.,MãMãSố > 133 3.,133 3.,Phải thu nội bộ ngắn hạn,,-,(30.408.120.240),30.408.120.240,23.349.313.274,1.949.779.534,-,-,5.109.027.432,-,,,,-30408120240.0,30408120240.0,23349313274.0,1949779534.0,,,5109027432.0,
135 4.,MãMãSố > 135 4.,135 4.,Phải thu về cho vay ngắn hạn,,22.146.180.274,-,22.146.180.274,22.146.180.274,-,-,-,-,-,,,22146180274.0,,22146180274.0,22146180274.0,,,,,
136 6.,MãMãSố > 136 6.,136 6.,Phải thu ngắn hạn khác,,48.876.400.991,-,48.876.400.991,37.978.285.312,52.050.000,143.428.946,1.055.984.768,493.798.217,9.152.853.748,,,48876400991.0,,48876400991.0,37978285312.0,52050000.0,143428946.0,1055984768.0,493798217.0,9152853748.0
139 8.,MãMãSố > 139 8.,139 8.,Tài sản thiếu chờ xử lý,,315.929.669,-,315.929.669,-,-,-,-,315.929.669,-,,,315929669.0,,315929669.0,,,,,315929669.0,
,,,,,-,-,-,,,,,,,,,,,,,,,,,
140 V.,MãMãSố > 140 V.,140 V.,Hàng tồn kho,,225.146.058.274,-,225.146.058.274,113.988.395.451,-,3.018.864.717,6.608.178.519,9.454.368.791,92.076.250.796,,,225146058274.0,,225146058274.0,113988395451.0,,3018864717.0,6608178519.0,9454368791.0,92076250796.0
141 1.,MãMãSố > 141 1.,141 1.,Hàng tồn kho,,225.146.058.274,-,225.146.058.274,113.988.395.451,-,3.018.864.717,6.608.178.519,9.454.368.791,92.076.250.796,,,225146058274.0,,225146058274.0,113988395451.0,,3018864717.0,6608178519.0,9454368791.0,92076250796.0
,,,,,-,-,-,,,,,,,,,,,,,,,,,
150 V.,MãMãSố > 150 V.,150 V.,Tài sản ngắn hạn khác,,8.103.727.932,-,8.103.727.932,5.486.879.846,487.820.957,244.502.715,93.545.328,202.338.049,1.588.641.037,,,8103727932.0,,8103727932.0,5486879846.0,487820957.0,244502715.0,93545328.0,202338049.0,1588641037.0
151 1.,MãMãSố > 151 1.,151 1.,Chi phí trả trước ngắn hạn,,2.287.705.797,-,2.287.705.797,100.721.211,487.820.957,235.611.029,93.545.328,194.350.564,1.175.656.708,,,2287705797.0,,2287705797.0,100721211.0,487820957.0,235611029.0,93545328.0,194350564.0,1175656708.0
152 2.,MãMãSố > 152 2.,152 2.,Thuế GTGT được khấu trừ,,4.165.437.063,-,4.165.437.063,3.752.452.734,-,-,-,-,412.984.329,,,4165437063.0,,4165437063.0,3752452734.0,,,,,412984329.0
153 3.,MãMãSố > 153 3.,153 3.,Thuế và các khoản khác phải thu Nhà nước,,1.650.585.072,-,1.650.585.072,1.633.705.901,-,8.891.686,-,7.987.485,-,,,1650585072.0,,1650585072.0,1633705901.0,,8891686.0,,7987485.0,
,,,,,-,-,-,,,,,,,,,,,,,,,,,
200 B.,MãMãSố > 200 B.,200 B.,TÀI SẢN DÀI HẠN,,2.023.453.142.651,(173.282.754.088),2.196.735.896.739,2.077.557.018.747,15.113.058.075,3.651.621.716,4.887.267.453,2.107.239.486,93.419.691.262,,,2023453142651.0,-173282754088.0,2196735896739.0,2077557018747.0,15113058075.0,3651621716.0,4887267453.0,2107239486.0,93419691262.0
,,,,,-,-,-,,,,,,,,,,,,,,,,,
210 I.,MãMãSố > 210 I.,210 I.,Các khoản phải thu dài hạn,,87.424.117.251,(173.282.754.088),260.706.871.339,258.339.182.050,-,-,-,-,2.367.689.289,,,87424117251.0,-173282754088.0,260706871339.0,258339182050.0,,,,,2367689289.0
213 3.,MãMãSố > 213 3.,213 3.,Vốn kinh doanh ở đơn vị trực thuộc,,-,(172.942.754.088),172.942.754.088,172.942.754.088,-,-,-,-,-,,,,-172942754088.0,172942754088.0,172942754088.0,,,,,
215 5.,MãMãSố > 215 5.,215 5.,Phải thu về cho vay dài hạn,,83.267.536.900,(340.000.000),83.607.536.900,83.607.536.900,-,-,-,-,-,,,83267536900.0,-340000000.0,83607536900.0,83607536900.0,,,,,
216 6.,MãMãSố > 216 6.,216 6.,Phải thu dài hạn khác,,4.156.580.351,-,4.156.580.351,1.788.891.062,-,-,-,-,2.367.689.289,,,4156580351.0,,4156580351.0,1788891062.0,,,,,2367689289.0
,,,,,-,-,-,,,,,,,,,,,,,,,,,
220 II.,MãMãSố > 220 II.,220 II.,Tài sản cố định,,381.770.043.402,-,381.770.043.402,288.315.656.571,14.963.297.611,3.618.271.301,4.873.631.089,2.083.636.364,67.915.550.466,,,381770043402.0,,381770043402.0,288315656571.0,14963297611.0,3618271301.0,4873631089.0,2083636364.0,67915550466.0
221 1.,MãMãSố > 221 1.,221 1.,Tài sản cố định hữu hình,,357.571.609.058,-,357.571.609.058,270.591.971.722,14.963.297.611,3.618.271.301,2.803.031.089,2.083.636.364,63.511.400.971,,,357571609058.0,,357571609058.0,270591971722.0,14963297611.0,3618271301.0,2803031089.0,2083636364.0,63511400971.0
222 -,MãMãSố > 222 -,222 -,Nguyên giá,,759.887.676.213,-,759.887.676.213,361.343.268.577,35.839.976.622,15.865.170.958,5.260.165.980,5.377.676.400,336.201.417.676,,,759887676213.0,,759887676213.0,361343268577.0,35839976622.0,15865170958.0,5260165980.0,5377676400.0,336201417676.0
223 -,MãMãSố > 223 -,223 -,Giá trị hao mòn luợ kế,,(402.316.067.155),-,(402.316.067.155),(90.751.296.855),(20.876.679.011),(12.246.899.657),(2.457.134.891),(3.294.040.036),(272.690.016.705),,,-402316067155.0,,-402316067155.0,-90751296855.0,-20876679011.0,-12246899657.0,-2457134891.0,-3294040036.0,-272690016705.0
227 3.,MãMãSố > 227 3.,227 3.,Tài sản cố định vô hình,,24.198.434.344,-,24.198.434.344,17.723.684.849,-,-,2.070.600.000,-,4.404.149.495,,,24198434344.0,,24198434344.0,17723684849.0,,,2070600000.0,,4404149495.0
