row_label_raw,row_label_full,228,- Nguyên giá,44.387.249.258,-,44.387.249.258_1,19.475.198.076,-_1,-_2,2.070.600.000,-_3,22.841.451.182,numeric__- Nguyên giá,numeric__44.387.249.258,numeric__-,numeric__44.387.249.258_1,numeric__19.475.198.076,numeric__-_1,numeric__-_2,numeric__2.070.600.000,numeric__-_3,numeric__22.841.451.182
Mã số NGƯỜN VỐN,Mã số NGƯỜN VỐN,Mã số NGƯỜN VỐN,Mã số NGƯỜN VỐN,Mã số NGƯỜN VỐN,Mã số NGƯỜN VỐN,Mã số NGƯỜN VỐN,Mã số NGƯỜN VỐN,Mã số NGƯỜN VỐN,Mã số NGƯỜN VỐN,Mã số NGƯỜN VỐN,Mã số NGƯỜN VỐN,Mã số NGƯỜN VỐN,,,,,,,,,,
,,,,Thu yết min h,,,,,,,,,,,,,,,,,,
,,,,,-,-,,,,,,,,,,,,,,,,
300 C.,Mã số NGƯỜN VỐN > 300 C.,300 C.,NỘ PHẢI TRẢ,233.115.734.396,(31.229.128.240),264.344.862.636,144.146.956.482,876.949.598,3.805.064.599,464.026.287,2.077.321.387,112.974.544.283,,233115734396.0,-31229128240.0,264344862636.0,144146956482.0,876949598.0,3805064599.0,464026287.0,2077321387.0,112974544283.0
,,,,,-,-,,,,,,,,,,,,,,,,
310 I.,Mã số NGƯỜN VỐN > 310 I.,310 I.,Nợ ngắn hạn,193.909.983.331,(30.889.128.240),224.799.111.571,136.651.865.917,876.949.598,3.805.064.599,124.026.287,2.077.321.387,81.263.883.783,,193909983331.0,-30889128240.0,224799111571.0,136651865917.0,876949598.0,3805064599.0,124026287.0,2077321387.0,81263883783.0
311 1.,Mã số NGƯỜN VỐN > 311 1.,311 1.,Phải trả người bán ngắn hạn,79.182.241.086,(481.008.000),79.663.249.086,59.168.358.903,571.770.872,1.477.207.311,39.400.000,640.677.400,17.765.834.600,,79182241086.0,-481008000.0,79663249086.0,59168358903.0,571770872.0,1477207311.0,39400000.0,640677400.0,17765834600.0
312 2.,Mã số NGƯỜN VỐN > 312 2.,312 2.,Người mua trả tiền trước ngắn hạn,11.445.838.082,-,11.445.838.082,11.107.661.201,-,121.401,-,171.572.916,166.482.564,,11445838082.0,,11445838082.0,11107661201.0,,121401.0,,171572916.0,166482564.0
313 3.,Mã số NGƯỜN VỐN > 313 3.,313 3.,Thuế và các khoản phải nộp Nhà nước,15.672.087.129,-,15.672.087.129,14.999.775.872,24.694.041,590.333.153,-,24.486.905,32.797.158,,15672087129.0,,15672087129.0,14999775872.0,24694041.0,590333153.0,,24486905.0,32797158.0
314 4.,Mã số NGƯỜN VỐN > 314 4.,314 4.,Phải trả người lao động,22.642.693.218,-,22.642.693.218,14.610.788.587,105.275.168,735.294.922,-,326.479.144,6.864.855.397,,22642693218.0,,22642693218.0,14610788587.0,105275168.0,735294922.0,,326479144.0,6864855397.0
315 5.,Mã số NGƯỜN VỐN > 315 5.,315 5.,Chi phí phải trả ngắn hạn,7.378.756.313,-,7.378.756.313,150.945.924,-,177.536.481,-,-,7.050.273.908,,7378756313.0,,7378756313.0,150945924.0,,177536481.0,,,7050273908.0
316 6.,Mã số NGƯỜN VỐN > 316 6.,316 6.,Phải trả nội bộ ngắn hạn,-,(30.408.120.240),30.408.120.240,7.058.806.966,-,708.320.988,70.158.291,-,22.570.833.995,,,-30408120240.0,30408120240.0,7058806966.0,,708320988.0,70158291.0,,22570833995.0
318 8.,Mã số NGƯỜN VỐN > 318 8.,318 8.,Doanh thu chưa thực hiện ngắn hạn,2.309.648.326,-,2.309.648.326,2.309.648.326,-,-,-,-,-,,2309648326.0,,2309648326.0,2309648326.0,,,,,
319 9.,Mã số NGƯỜN VỐN > 319 9.,319 9.,Phải trả ngắn hạn khác,9.836.163.610,-,9.836.163.610,6.804.704.571,175.209.517,116.250.343,14.467.996,912.725.022,1.812.806.161,,9836163610.0,,9836163610.0,6804704571.0,175209517.0,116250343.0,14467996.0,912725022.0,1812806161.0
320 10.,Mã số NGƯỜN VỐN > 320 10.,320 10.,Vay và nợ thuê tài chính ngắn hạn,25.000.000.000,-,25.000.000.000,-,-,-,-,-,25.000.000.000,,25000000000.0,,25000000000.0,,,,,,25000000000.0
322 12.,Mã số NGƯỜN VỐN > 322 12.,322 12.,Quỹ khen thưởng phúc lợi,14.679.339.900,-,14.679.339.900,14.677.959.900,-,-,-,1.380.000,-,,14679339900.0,,14679339900.0,14677959900.0,,,,1380000.0,
,,,,,-,-,,,,,,,,,,,,,,,,
330 IL,Mã số NGƯỜN VỐN > 330 IL,330 IL,Nợ dài hạn,39.205.751.065,(340.000.000),39.545.751.065,7.495.090.565,-,-,340.000.000,-,31.710.660.500,,39205751065.0,-340000000.0,39545751065.0,7495090565.0,,,340000000.0,,31710660500.0
331 1.,Mã số NGƯỜN VỐN > 331 1.,331 1.,Phải trả người bán dài hạn,10.660.500,-,10.660.500,-,-,-,-,-,10.660.500,,10660500.0,,10660500.0,,,,,,10660500.0
336 6.,336 6.,336 6.,Doanh thu chưa thực hiện dài hạn,-,-,-,-,-,-,-,-,-,,,,,,,,,,
337 7.,336 6. > 337 7.,337 7.,Phải trả dài hạn khác,7.495.090.565,-,7.495.090.565,7.495.090.565,-,-,-,-,-,,7495090565.0,,7495090565.0,7495090565.0,,,,,
338 8.,336 6. > 338 8.,338 8.,Vay và nợ thuê tài chính dài hạn,31.700.000.000,(340.000.000),32.040.000.000,-,-,-,340.000.000,-,31.700.000.000,,31700000000.0,-340000000.0,32040000000.0,,,,340000000.0,,31700000000.0
