row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2024 > Giá gốc,Ngày 31 tháng 12 năm 2024 > Giá trị ghi số(sau khi trích lập dự phòng),Đơn vị: VND > Giá gốc,Đơn vị: VND > Giá trị ghi số(sau khi trích lập dự phòng),numeric__Ngày 31 tháng 12 năm 2024 > Giá gốc,numeric__Ngày 31 tháng 12 năm 2024 > Giá trị ghi số(sau khi trích lập dự phòng),numeric__Đơn vị: VND > Giá gốc,numeric__Đơn vị: VND > Giá trị ghi số(sau khi trích lập dự phòng)
,,,80.044.359.555,35.848.584.262,78.889.952.616,32.749.497.847,80044359555.0,35848584262.0,78889952616.0,32749497847.0
Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,,,,
BVPF,Chứng chỉ quỹ > BVPF,BVPF,77.000.000.000,77.000.000.000,77.000.000.000,77.000.000.000,77000000000.0,77000000000.0,77000000000.0,77000000000.0
BVBF,Chứng chỉ quỹ > BVBF,BVBF,60.000.000.000,60.000.000.000,60.000.000.000,60.000.000.000,60000000000.0,60000000000.0,60000000000.0,60000000000.0
BVFED,Chứng chỉ quỹ > BVFED,BVFED,55.000.000.000,55.000.000.000,55.000.000.000,55.000.000.000,55000000000.0,55000000000.0,55000000000.0,55000000000.0
E1VFVN30,Chứng chỉ quỹ > E1VFVN30,E1VFVN30,43.387.220.470,43.387.220.470,36.070.642.840,36.070.642.840,43387220470.0,43387220470.0,36070642840.0,36070642840.0
Khác,Chứng chỉ quỹ > Khác,Khác,56.492.683.136,56.492.683.136,56.293.969.800,55.818.322.851,56492683136.0,56492683136.0,56293969800.0,55818322851.0
,,,291.879.903.606,291.879.903.606,284.364.612.640,283.888.965.691,291879903606.0,291879903606.0,284364612640.0,283888965691.0
Trái phiếu,Trái phiếu,Trái phiếu,Trái phiếu,Trái phiếu,Trái phiếu,Trái phiếu,,,,
Công ty Cổ phần Máy tính - Truyền thông - Điều khiển 3C,Trái phiếu > Công ty Cổ phần Máy tính - Truyền thông - Điều khiển 3C,Công ty Cổ phần Máy tính - Truyền thông - Điều khiển 3C,-,-,63.322.561.630,63.322.561.630,,,63322561630.0,63322561630.0
Công ty Cổ phần Đầu tư và Phát triển Du lịch Phú Quốc,Trái phiếu > Công ty Cổ phần Đầu tư và Phát triển Du lịch Phú Quốc,Công ty Cổ phần Đầu tư và Phát triển Du lịch Phú Quốc,-,-,199.999.994.934,199.999.994.934,,,199999994934.0,199999994934.0
Công ty cổ phần Thương mại Dịch vụ TNS Holdings,Trái phiếu > Công ty cổ phần Thương mại Dịch vụ TNS Holdings,Công ty cổ phần Thương mại Dịch vụ TNS Holdings,-,-,50.983.100.000,50.983.100.000,,,50983100000.0,50983100000.0
Ngân hàng Thương mại Cổ phần Bảo Việt,Trái phiếu > Ngân hàng Thương mại Cổ phần Bảo Việt,Ngân hàng Thương mại Cổ phần Bảo Việt,-,-,50.325.953.400,50.325.953.400,,,50325953400.0,50325953400.0
Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,Trái phiếu > Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,50.096.953.403,50.096.953.403,-,-,50096953403.0,50096953403.0,,
Khác,Trái phiếu > Khác,Khác,31.068.000.000,-,77.954.438.500,77.954.438.500,31068000000.0,,77954438500.0,77954438500.0
,,,81.164.953.403,50.096.953.403,442.586.048.464,442.586.048.464,81164953403.0,50096953403.0,442586048464.0,442586048464.0
TỔNG CỘNG,Trái phiếu > TỔNG CỘNG,TỔNG CỘNG,3.660.368.511.864,3.457.389.220.024,3.266.850.541.874,3.060.793.683.756,3660368511864.0,3457389220024.0,3266850541874.0,3060793683756.0
