row_label_raw,row_label_full,col_0,31/12/2016 > Giá gốc,31/12/2016 > Giá trị hợp lý,31/12/2016 > Dự phòng,01/01/2016 > Giá gốc,01/01/2016 > Giá trị hợp lý,01/01/2016 > Dự phòng,numeric__31/12/2016 > Giá gốc,numeric__31/12/2016 > Giá trị hợp lý,numeric__31/12/2016 > Dự phòng,numeric__01/01/2016 > Giá gốc,numeric__01/01/2016 > Giá trị hợp lý,numeric__01/01/2016 > Dự phòng
"Đầu tư vào Công ty liên doanh, liên kết","Đầu tư vào Công ty liên doanh, liên kết","Đầu tư vào Công ty liên doanh, liên kết",301.677.049.400,314.276.167.622,(2.873.833.698),301.677.049.400,315.691.249.053,(2.873.833.698),301677049400.0,314276167622.0,-2873833698.0,301677049400.0,315691249053.0,-2873833698.0
Tổng Công ty Thăng Long - CTCP,Tổng Công ty Thăng Long - CTCP,Tổng Công ty Thăng Long - CTCP,211.907.349.400,228.722.156.268,-,211.907.349.400,229.982.998.814,-,211907349400.0,228722156268.0,,211907349400.0,229982998814.0,
Công ty TNHH BOT Hùng Thắng-Phú Thọ,Công ty TNHH BOT Hùng Thắng-Phú Thọ,Công ty TNHH BOT Hùng Thắng-Phú Thọ,69.000.000.000,69.000.000.000,-,69.000.000.000,69.000.000.000,-,69000000000.0,69000000000.0,,69000000000.0,69000000000.0,
Công ty CP Bất động sản Thái An,Công ty CP Bất động sản Thái An,Công ty CP Bất động sản Thái An,16.969.700.000,13.309.915.911,(2.336.336.527),16.969.700.000,13.463.627.845,(2.336.336.527),16969700000.0,13309915911.0,-2336336527.0,16969700000.0,13463627845.0,-2336336527.0
Công ty CP Tasco Thắng Long,Công ty CP Tasco Thắng Long,Công ty CP Tasco Thắng Long,1.800.000.000,1.784.098.341,-,1.800.000.000,1.784.098.341,-,1800000000.0,1784098341.0,,1800000000.0,1784098341.0,
Công ty CP D - Tech,Công ty CP D - Tech,Công ty CP D - Tech,2.000.000.000,1.459.997.102,(537.497.171),2.000.000.000,1.460.524.053,(537.497.171),2000000000.0,1459997102.0,-537497171.0,2000000000.0,1460524053.0,-537497171.0
Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,6.130.000.000,6.130.000.000,-,6.130.000.000,6.130.000.000,-,6130000000.0,6130000000.0,,6130000000.0,6130000000.0,
Công ty CP ĐT PT Nhà và Đô thị HUD8,Công ty CP ĐT PT Nhà và Đô thị HUD8,Công ty CP ĐT PT Nhà và Đô thị HUD8,4.500.000.000,4.500.000.000,-,4.500.000.000,4.500.000.000,-,4500000000.0,4500000000.0,,4500000000.0,4500000000.0,
Công ty CP Cotabig,Công ty CP Cotabig,Công ty CP Cotabig,300.000.000,300.000.000,,300.000.000,300.000.000,,300000000.0,300000000.0,,300000000.0,300000000.0,
Công ty Cổ phần TIC,Công ty Cổ phần TIC,Công ty Cổ phần TIC,1.330.000.000,1.330.000.000,-,1.330.000.000,1.330.000.000,-,1330000000.0,1330000000.0,,1330000000.0,1330000000.0,
Tổng,Tổng,Tổng,1.831.638.403.928,1.868.334.504.957,(2.873.833.698),1.611.965.033.444,1.653.661.939.823,(2.873.833.698),1831638403928.0,1868334504957.0,-2873833698.0,1611965033444.0,1653661939823.0,-2873833698.0
