row_label_raw,row_label_full,Chỉ tiêu,Mã số,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 > Số liệu trình bày trước đây,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 > Ảnh hưởng của việc trình bày lại,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 > Số liệu đã được trình bày lại,numeric__Mã số,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 > Số liệu trình bày trước đây,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 > Ảnh hưởng của việc trình bày lại,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 > Số liệu đã được trình bày lại
BÁO CÁO LƯU CHUYÊN TIÊN TỆ RIÊNG,BÁO CÁO LƯU CHUYÊN TIÊN TỆ RIÊNG,BÁO CÁO LƯU CHUYÊN TIÊN TỆ RIÊNG,BÁO CÁO LƯU CHUYÊN TIÊN TỆ RIÊNG,BÁO CÁO LƯU CHUYÊN TIÊN TỆ RIÊNG,BÁO CÁO LƯU CHUYÊN TIÊN TỆ RIÊNG,BÁO CÁO LƯU CHUYÊN TIÊN TỆ RIÊNG,,,,
Lợi nhuận trước thuế,BÁO CÁO LƯU CHUYÊN TIÊN TỆ RIÊNG > Lợi nhuận trước thuế,Lợi nhuận trước thuế,1,805.842.017.590,6.476.050.847,812.318.068.437,1.0,805842017590.0,6476050847.0,812318068437.0
Khấu hao tài sản cố định hữu hình,BÁO CÁO LƯU CHUYÊN TIÊN TỆ RIÊNG > Khấu hao tài sản cố định hữu hình,Khấu hao tài sản cố định hữu hình,2,728.197.202.630,884.914.223,729.082.116.853,2.0,728197202630.0,884914223.0,729082116853.0
Các khoản dự phòng,BÁO CÁO LƯU CHUYÊN TIÊN TỆ RIÊNG > Các khoản dự phòng,Các khoản dự phòng,3,11.132.480.546,(12.763.647.351),(1.631.166.805),3.0,11132480546.0,-12763647351.0,-1631166805.0
Lãi chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,BÁO CÁO LƯU CHUYÊN TIÊN TỆ RIÊNG > Lãi chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Lãi chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,4,(491.564.360),(9.076.978.227),(9.568.542.587),4.0,-491564360.0,-9076978227.0,-9568542587.0
Lãi từ hoạt động đầu tư,BÁO CÁO LƯU CHUYÊN TIÊN TỆ RIÊNG > Lãi từ hoạt động đầu tư,Lãi từ hoạt động đầu tư,5,(14.570.667.632),(2.319.613.449),(16.890.281.081),5.0,-14570667632.0,-2319613449.0,-16890281081.0
Giảm các khoản phải thu,BÁO CÁO LƯU CHUYÊN TIÊN TỆ RIÊNG > Giảm các khoản phải thu,Giảm các khoản phải thu,9,61.271.740.930,(2.625.105.973),58.646.634.957,9.0,61271740930.0,-2625105973.0,58646634957.0
Giảm hàng tồn kho,BÁO CÁO LƯU CHUYÊN TIÊN TỆ RIÊNG > Giảm hàng tồn kho,Giảm hàng tồn kho,10,174.797.807.747,(2.586.716.559),172.211.091.188,10.0,174797807747.0,-2586716559.0,172211091188.0
Tăng các khoản phải trả,BÁO CÁO LƯU CHUYÊN TIÊN TỆ RIÊNG > Tăng các khoản phải trả,Tăng các khoản phải trả,11,372.299.411.045,17.942.950.623,390.242.361.668,11.0,372299411045.0,17942950623.0,390242361668.0
Giảm chi phí trả trước,BÁO CÁO LƯU CHUYÊN TIÊN TỆ RIÊNG > Giảm chi phí trả trước,Giảm chi phí trả trước,12,4.205.001.970,421.412.866,4.626.414.836,12.0,4205001970.0,421412866.0,4626414836.0
Tiền thu do thanh lý tài sản cố định,BÁO CÁO LƯU CHUYÊN TIÊN TỆ RIÊNG > Tiền thu do thanh lý tài sản cố định,Tiền thu do thanh lý tài sản cố định,22,,3.646.733.000,3.646.733.000,22.0,,3646733000.0,3646733000.0
