row_label_raw,row_label_full,31/12/2015,Không chịu lãi > Triệu VND,Quá hạn > Trên 3 tháng > Triệu VND,Quá hạn > Đến 3 tháng > Triệu VND,Quá hạn > Đến 01 tháng > Triệu VND,Trong hạn > Từ 01-03 tháng > Triệu VND,Trong hạn > Từ 03-06 tháng > Triệu VND,Trong hạn > Từ 06 -12 tháng > Triệu VND,Trong hạn > Từ 01-05 năm > Triệu VND,Trong hạn > Trên 05 năm > Triệu VND,Tổng > Triệu VND,numeric__Không chịu lãi > Triệu VND,numeric__Quá hạn > Trên 3 tháng > Triệu VND,numeric__Quá hạn > Đến 3 tháng > Triệu VND,numeric__Quá hạn > Đến 01 tháng > Triệu VND,numeric__Trong hạn > Từ 01-03 tháng > Triệu VND,numeric__Trong hạn > Từ 03-06 tháng > Triệu VND,numeric__Trong hạn > Từ 06 -12 tháng > Triệu VND,numeric__Trong hạn > Từ 01-05 năm > Triệu VND,numeric__Trong hạn > Trên 05 năm > Triệu VND,numeric__Tổng > Triệu VND
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,44.968.696,4.942.240,3.211.051,452.748.532,145.894.600,51.612.999,28.685.129,40.631.992,13.233.351,785.928.590,44968696.0,4942240.0,3211051.0,452748532.0,145894600.0,51612999.0,28685129.0,40631992.0,13233351.0,785928590.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,-,7.013.061,3.599.556,568.148,1.800.778,222.362,23.210,13.227.115,,,,7013061.0,3599556.0,568148.0,1800778.0,222362.0,23210.0,13227115.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,-,58.850.751,27.845.042,11.180.956,1.292.467,-,-,99.169.216,,,,58850751.0,27845042.0,11180956.0,1292467.0,,,99169216.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,123.240.016,133.099.217,56.197.447,131.127.377,49.296.007,-,492.960.064,,,,123240016.0,133099217.0,56197447.0,131127377.0,49296007.0,,492960064.0
Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Công cụ tài chính phải sinh và các khoản nợ tài chính khác,117.619,-,-,-,-,-,-,-,-,117.619,117619.0,,,,,,,,,117619.0
"Vốn tài trợ, uỷ thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, uỷ thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, uỷ thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,24.581.940,4.892.448,22.678.030,2.015.752,69.077,-,54.237.247,,,,24581940.0,4892448.0,22678030.0,2015752.0,69077.0,,54237247.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,2.851.681,1.745.322,5.651.992,1.638.601,5.472.901,3.500.000,20.860.497,,,,2851681.0,1745322.0,5651992.0,1638601.0,5472901.0,3500000.0,20860497.0
Các khoản nợ khác (*),Nợ phải trả > Các khoản nợ khác (*),Các khoản nợ khác (*),42.682.407,-,-,-,-,-,-,-,-,42.682.407,42682407.0,,,,,,,,,42682407.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,42.800.026,-,-,216.537.449,171.181.585,96.276.573,137.874.975,55.060.347,3.523.210,723.254.165,42800026.0,,,216537449.0,171181585.0,96276573.0,137874975.0,55060347.0,3523210.0,723254165.0
Mức chênh nhạy cảm với lãi suất nội bằng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bằng,Mức chênh nhạy cảm với lãi suất nội bằng,2.168.670,4.942.240,3.211.051,236.211.083,(25.286.985),(44.663.574),(109.189.846),(14.428.355),9.710.141,62.674.425,2168670.0,4942240.0,3211051.0,236211083.0,-25286985.0,-44663574.0,-109189846.0,-14428355.0,9710141.0,62674425.0
