row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận tải,Thiết bị văn phòng,Tài sản khác,Tổng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Tài sản khác,numeric__Tổng
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,3.618.766.090.555,6.117.989.779.489,398.990.042.321,53.007.801.273,53.250.395.224,10.242.004.108.862,3618766090555.0,6117989779489.0,398990042321.0,53007801273.0,53250395224.0,10242004108862.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,463.813.550.525,979.499.144.878,58.456.888.517,5.077.561.619,23.029.040.998,1.529.876.186.537,463813550525.0,979499144878.0,58456888517.0,5077561619.0,23029040998.0,1529876186537.0
Mua lại tài sản cố định thuê tài chính,GIÁ TRỊ HAO MÒN LỦY KẾ > Mua lại tài sản cố định thuê tài chính,Mua lại tài sản cố định thuê tài chính,-,19.726.630.178,1.838.348.368,-,-,21.564.978.546,,19726630178.0,1838348368.0,,,21564978546.0
Bán tài sản (tái thuê tài chính như trình bày tại Thuyết minh số 13),GIÁ TRỊ HAO MÒN LỦY KẾ > Bán tài sản (tái thuê tài chính như trình bày tại Thuyết minh số 13),Bán tài sản (tái thuê tài chính như trình bày tại Thuyết minh số 13),-,(126.109.263.323),-,-,-,(126.109.263.323),,-126109263323.0,,,,-126109263323.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(2.430.139.228),(58.496.623.560),(14.355.854.968),(578.400.326),-,(75.861.018.082),-2430139228.0,-58496623560.0,-14355854968.0,-578400326.0,,-75861018082.0
Phân loại lại,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại,Phân loại lại,44.445.821.648,23.341.690.885,1.963.864.015,(263.004.871),(68.556.351.795),932.019.882,44445821648.0,23341690885.0,1963864015.0,-263004871.0,-68556351795.0,932019882.0
"Tăng, giảm khác","GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng, giảm khác","Tăng, giảm khác",-,(7.770.296.943),(1.241.229.662),(259.949.999),679.727,(9.270.796.877),,-7770296943.0,-1241229662.0,-259949999.0,679727.0,-9270796877.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,4.124.595.323.500,6.948.181.061.604,445.652.058.591,56.984.007.696,7.723.764.154,11.583.136.215.545,4124595323500.0,6948181061604.0,445652058591.0,56984007696.0,7723764154.0,11583136215545.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,6.219.120.886.394,9.395.015.085.679,264.127.309.749,19.641.493.771,133.036.291.191,16.030.941.066.784,6219120886394.0,9395015085679.0,264127309749.0,19641493771.0,133036291191.0,16030941066784.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,8.490.827.925.203,9.077.074.126.863,274.992.363.017,17.654.784.485,2.735.098.624,17.863.284.298.192,8490827925203.0,9077074126863.0,274992363017.0,17654784485.0,2735098624.0,17863284298192.0
