row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > VND Số có khả năng trả nợ,Số đầu năm > Giá trị,Số đầu năm > VND Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > VND Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > VND Số có khả năng trả nợ
- Công ty Cổ phần SCI E&C,a. Phải trả người bán ngắn hạn > - Công ty Cổ phần SCI E&C,- Công ty Cổ phần SCI E&C,-,-,14.440.320.973,14.440.320.973,,,14440320973.0,14440320973.0
- Phải trả các người bán khác,a. Phải trả người bán ngắn hạn > - Phải trả các người bán khác,- Phải trả các người bán khác,39.380.849.444,39.380.849.444,112.961.207.937,112.961.207.937,39380849444.0,39380849444.0,112961207937.0,112961207937.0
Phải trả người bán khác,a. Phải trả người bán ngắn hạn > Phải trả người bán khác,Phải trả người bán khác,52.859.763.897,52.859.763.897,92.216.616.755,92.216.616.755,52859763897.0,52859763897.0,92216616755.0,92216616755.0
,,,2.197.004.693.731,2.197.004.693.731,3.315.649.076.267,3.315.649.076.267,2197004693731.0,2197004693731.0,3315649076267.0,3315649076267.0
Trong đó: Phải trả người bán ngắn hạn là các bên liên quan (Chi tiết tại Thuyết minh số 40),a. Phải trả người bán ngắn hạn > Trong đó: Phải trả người bán ngắn hạn là các bên liên quan (Chi tiết tại Thuyết minh số 40),Trong đó: Phải trả người bán ngắn hạn là các bên liên quan (Chi tiết tại Thuyết minh số 40),76.105.891.865,76.105.891.865,103.611.951.442,103.611.951.442,76105891865.0,76105891865.0,103611951442.0,103611951442.0
b. Phải trả người bán dài hạn,b. Phải trả người bán dài hạn,b. Phải trả người bán dài hạn,b. Phải trả người bán dài hạn,b. Phải trả người bán dài hạn,b. Phải trả người bán dài hạn,b. Phải trả người bán dài hạn,,,,
"Phải trả người bán sản xuất, kinh doanh năng lượng và nước sạch","b. Phải trả người bán dài hạn > Phải trả người bán sản xuất, kinh doanh năng lượng và nước sạch","Phải trả người bán sản xuất, kinh doanh năng lượng và nước sạch",122.882.473.158,122.882.473.158,-,-,122882473158.0,122882473158.0,,
- Tổng Công ty Đầu tư Nước và Môi trường Việt Nam - CTCP,b. Phải trả người bán dài hạn > - Tổng Công ty Đầu tư Nước và Môi trường Việt Nam - CTCP,- Tổng Công ty Đầu tư Nước và Môi trường Việt Nam - CTCP,93.257.429.719,93.257.429.719,-,-,93257429719.0,93257429719.0,,
- Công ty Cổ phần VIWASEEN3,b. Phải trả người bán dài hạn > - Công ty Cổ phần VIWASEEN3,- Công ty Cổ phần VIWASEEN3,14.015.933.603,14.015.933.603,-,-,14015933603.0,14015933603.0,,
- Phải trả các người bán khác,b. Phải trả người bán dài hạn > - Phải trả các người bán khác,- Phải trả các người bán khác,15.609.109.836,15.609.109.836,-,-,15609109836.0,15609109836.0,,
Phải trả người bán sản xuất kinh doanh thiết bị điện,b. Phải trả người bán dài hạn > Phải trả người bán sản xuất kinh doanh thiết bị điện,Phải trả người bán sản xuất kinh doanh thiết bị điện,-,-,9.259.078.400,9.259.078.400,,,9259078400.0,9259078400.0
,,,122.882.473.158,122.882.473.158,9.259.078.400,9.259.078.400,122882473158.0,122882473158.0,9259078400.0,9259078400.0
Trong đó: Phải trả người bán dài hạn là các bên liên quan (Chi tiết tại Thuyết minh số 40),b. Phải trả người bán dài hạn > Trong đó: Phải trả người bán dài hạn là các bên liên quan (Chi tiết tại Thuyết minh số 40),Trong đó: Phải trả người bán dài hạn là các bên liên quan (Chi tiết tại Thuyết minh số 40),-,-,9.259.078.400,9.259.078.400,,,9259078400.0,9259078400.0
