row_label_raw,row_label_full,col_0,Thuyết minh,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2022Triệu đồng,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2021Triệu đồng,numeric__Thuyết minh,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2022Triệu đồng,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2021Triệu đồng
Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,,,
15,Những thay đổi về công nợ hoạt động > 15,15,Tăng/(giảm) các khoản nợ Chính phủ và NHNN,10.728.602,(50.114),,10728602.0,-50114.0
16,Những thay đổi về công nợ hoạt động > 16,16,(Giảm)/tăng các khoản tiền gửi và vay các TCTD khác,(16.393.825),31.186.214,,-16393825.0,31186214.0
17,Những thay đổi về công nợ hoạt động > 17,17,Tăng tiền gửi của khách hàng,32.505.899,8.651.630,,32505899.0,8651630.0
18,Những thay đổi về công nợ hoạt động > 18,18,Tăng phát hành giấy tờ có giá,1.710.527,11.458.855,,1710527.0,11458855.0
19,Những thay đổi về công nợ hoạt động > 19,19,"Giảm vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",(76.709),(100.299),,-76709.0,-100299.0
20,Những thay đổi về công nợ hoạt động > 20,20,Tăng/(giảm) các công cụ tài chính phải sinh và các khoản nợ tài chính khác,164.660,(200.545),,164660.0,-200545.0
21,Những thay đổi về công nợ hoạt động > 21,21,Tăng khác về công nợ hoạt động,791.667,893.069,,791667.0,893069.0
22,Những thay đổi về công nợ hoạt động > 22,22,Chi từ các quỹ của TCTD,(10.262),(7.434),,-10262.0,-7434.0
LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG KINH DOANH,Những thay đổi về công nợ hoạt động > LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG KINH DOANH,(15.714.692),15.409.007,,-15714692.0,15409007.0,
